a,b
0m0.036s,1
0m0.037s,2
0m0.031s,3
0m0.031s,4
0m0.030s,5
0m0.031s,6
0m0.028s,7
0m0.178s,8
0m0.031s,9
0m0.049s,10
0m0.255s,11
0m0.194s,12
0m0.029s,13
0m0.282s,14
0m0.019s,15
0m0.135s,16
0m0.133s,17
0m0.142s,18
0m0.217s,19
0m0.134s,20
0m0.148s,21
0m0.024s,22
0m0.102s,23
0m0.179s,24
0m0.176s,25
0m0.219s,26
0m0.126s,27
0m0.020s,28
0m0.145s,29
0m0.195s,30
0m0.136s,31
0m0.180s,32
0m0.155s,33
0m0.159s,34
0m0.567s,35
0m12.661s,36
0m0.144s,37
0m0.173s,38
0m0.505s,39
0m0.159s,40
0m0.180s,41
0m0.186s,42
0m0.179s,43
0m1.934s,44
0m0.453s,45
0m0.397s,46
0m0.310s,47
0m0.776s,48
0m0.134s,49
0m0.789s,50
0m0.204s,51
0m0.029s,52
0m0.136s,53
0m0.030s,54
0m0.249s,55
0m1.438s,56
0m0.800s,57
0m14.307s,58
0m1.014s,59
0m0.034s,60
0m2.252s,61
0m4.735s,62
26m1.232s,63
0m47.973s,64
0m0.255s,65
3m51.123s,66
0m3.368s,67
0m0.834s,68
0m2.301s,69
0m22.808s,70
0m31.578s,71
0m0.074s,72
0m0.419s,73
0m0.590s,74
0m17.019s,75
0m0.341s,76
0m22.260s,77
0m0.094s,78
0m24.307s,79
0m1.764s,80
0m0.046s,81
0m0.277s,82
0m2.545s,83
0m1.820s,84
0m0.695s,85
0m43.340s,86
0m1.741s,87
1m31.608s,88
12m31.505s,89
0m0.179s,90
0m0.819s,91
0m0.236s,92
0m0.065s,93
0m0.822s,94
0m0.985s,95
0m0.369s,96
0m0.298s,97
0m0.062s,98
0m36.944s,99
6m26.165s,100
