D = 1;
n = [ 3 ];

N = 11;
d = [ 1 1 1 1 1 1 1 1 1 1 1 ];
m = [
[ 1.00 0.70 0.79 0.22 0.06 0.21 0.18 0.28 0.83 0.94 0.93 ]
[ 0.70 1.00 0.85 0.41 0.49 1.00 0.48 0.93 0.32 0.94 0.89 ]
[ 0.79 0.85 1.00 0.84 0.83 0.24 0.72 0.86 0.96 0.87 0.37 ]
[ 0.22 0.41 0.84 1.00 0.94 0.16 0.44 0.81 0.96 0.91 0.53 ]
[ 0.06 0.49 0.83 0.94 1.00 0.38 0.86 0.93 0.48 0.89 0.96 ]
[ 0.21 1.00 0.24 0.16 0.38 1.00 0.87 0.96 0.46 0.32 0.76 ]
[ 0.18 0.48 0.72 0.44 0.86 0.87 1.00 0.99 0.57 0.15 0.17 ]
[ 0.28 0.93 0.86 0.81 0.93 0.96 0.99 1.00 0.95 0.19 0.61 ]
[ 0.83 0.32 0.96 0.96 0.48 0.46 0.57 0.95 1.00 0.79 0.82 ]
[ 0.94 0.94 0.87 0.91 0.89 0.32 0.15 0.19 0.79 1.00 0.95 ]
[ 0.93 0.89 0.37 0.53 0.96 0.76 0.17 0.61 0.82 0.95 1.00 ]
];
