D = 1;
n = [ 7 ];

N = 12;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 ];
m = [
[ 1.00 0.15 0.78 0.13 0.05 0.13 0.95 1.00 0.67 0.97 0.77 0.60 ]
[ 0.15 1.00 0.69 0.65 0.73 0.48 0.00 0.48 0.93 0.32 0.94 0.89 ]
[ 0.78 0.69 1.00 0.84 0.83 0.24 0.72 0.86 0.96 0.87 0.37 0.94 ]
[ 0.13 0.65 0.84 1.00 0.16 0.44 0.81 0.96 0.91 0.53 0.38 0.86 ]
[ 0.05 0.73 0.83 0.16 1.00 0.93 0.48 0.89 0.96 0.87 0.96 0.46 ]
[ 0.13 0.48 0.24 0.44 0.93 1.00 0.32 0.76 0.99 0.57 0.15 0.17 ]
[ 0.95 0.00 0.72 0.81 0.48 0.32 1.00 0.95 0.19 0.61 0.79 0.82 ]
[ 1.00 0.48 0.86 0.96 0.89 0.76 0.95 1.00 0.95 0.88 0.94 0.30 ]
[ 0.67 0.93 0.96 0.91 0.96 0.99 0.19 0.95 1.00 0.89 0.08 0.23 ]
[ 0.97 0.32 0.87 0.53 0.87 0.57 0.61 0.88 0.89 1.00 0.82 0.24 ]
[ 0.77 0.94 0.37 0.38 0.96 0.15 0.79 0.94 0.08 0.82 1.00 0.64 ]
[ 0.60 0.89 0.94 0.86 0.46 0.17 0.82 0.30 0.23 0.24 0.64 1.00 ]
];
