D = 1;
n = [ 12 ];

N = 13;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 ];
m = [
[ 1.00 0.00 0.43 0.25 0.37 0.70 0.02 0.71 0.92 0.97 0.69 0.43 0.00 ]
[ 0.00 1.00 0.96 0.22 0.96 0.06 0.84 0.91 0.57 0.86 0.41 0.26 0.60 ]
[ 0.43 0.96 1.00 0.46 0.83 0.91 0.65 0.89 0.19 0.95 0.95 0.97 0.52 ]
[ 0.25 0.22 0.46 1.00 0.39 0.97 0.27 0.31 0.26 0.51 0.92 0.78 0.62 ]
[ 0.37 0.96 0.83 0.39 1.00 0.03 0.17 0.90 0.16 0.71 0.57 0.85 0.92 ]
[ 0.70 0.06 0.91 0.97 0.03 1.00 0.90 0.85 0.99 0.46 0.68 0.80 0.67 ]
[ 0.02 0.84 0.65 0.27 0.17 0.90 1.00 0.34 0.54 0.27 0.16 0.75 0.84 ]
[ 0.71 0.91 0.89 0.31 0.90 0.85 0.34 1.00 0.24 0.44 0.12 0.28 0.36 ]
[ 0.92 0.57 0.19 0.26 0.16 0.99 0.54 0.24 1.00 0.99 0.94 0.60 0.41 ]
[ 0.97 0.86 0.95 0.51 0.71 0.46 0.27 0.44 0.99 1.00 0.02 0.90 0.99 ]
[ 0.69 0.41 0.95 0.92 0.57 0.68 0.16 0.12 0.94 0.02 1.00 0.56 0.62 ]
[ 0.43 0.26 0.97 0.78 0.85 0.80 0.75 0.28 0.60 0.90 0.56 1.00 0.68 ]
[ 0.00 0.60 0.52 0.62 0.92 0.67 0.84 0.36 0.41 0.99 0.62 0.68 1.00 ]
];
