D = 1;
n = [ 2 ];

N = 14;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ];
m = [
[ 1.00 0.71 0.92 0.97 0.69 0.43 0.00 0.96 0.22 0.96 0.06 0.84 0.91 0.57 ]
[ 0.71 1.00 0.86 0.41 0.26 0.60 0.46 0.83 0.91 0.65 0.89 0.19 0.95 0.95 ]
[ 0.92 0.86 1.00 0.97 0.52 0.39 0.97 0.27 0.31 0.26 0.51 0.92 0.78 0.62 ]
[ 0.97 0.41 0.97 1.00 0.03 0.17 0.90 0.16 0.71 0.57 0.85 0.92 0.90 0.85 ]
[ 0.69 0.26 0.52 0.03 1.00 0.99 0.46 0.68 0.80 0.67 0.34 0.54 0.27 0.16 ]
[ 0.43 0.60 0.39 0.17 0.99 1.00 0.75 0.84 0.24 0.44 0.12 0.28 0.36 0.99 ]
[ 0.00 0.46 0.97 0.90 0.46 0.75 1.00 0.94 0.60 0.41 0.02 0.90 0.99 0.56 ]
[ 0.96 0.83 0.27 0.16 0.68 0.84 0.94 1.00 0.62 0.68 0.78 0.60 0.48 0.18 ]
[ 0.22 0.91 0.31 0.71 0.80 0.24 0.60 0.62 1.00 0.89 0.70 0.21 0.79 0.77 ]
[ 0.96 0.65 0.26 0.57 0.67 0.44 0.41 0.68 0.89 1.00 0.23 0.79 0.66 0.79 ]
[ 0.06 0.89 0.51 0.85 0.34 0.12 0.02 0.78 0.70 0.23 1.00 0.70 0.67 0.89 ]
[ 0.84 0.19 0.92 0.92 0.54 0.28 0.90 0.60 0.21 0.79 0.70 1.00 0.92 0.99 ]
[ 0.91 0.95 0.78 0.90 0.27 0.36 0.99 0.48 0.79 0.66 0.67 0.92 1.00 0.37 ]
[ 0.57 0.95 0.62 0.85 0.16 0.99 0.56 0.18 0.77 0.79 0.89 0.99 0.37 1.00 ]
];
