D = 4;
n = [ 0 0 1 0 ];

N = 15;
d = [ 3 1 3 4 2 1 3 1 4 3 1 1 4 4 3 ];
m = [
[ 1.00 0.13 0.31 0.84 0.96 0.22 0.96 0.06 0.84 0.91 0.57 0.86 0.41 0.26 0.60 ]
[ 0.13 1.00 0.46 0.83 0.91 0.65 0.89 0.19 0.95 0.95 0.97 0.52 0.39 0.97 0.27 ]
[ 0.31 0.46 1.00 0.31 0.26 0.51 0.92 0.78 0.62 0.03 0.17 0.90 0.16 0.71 0.57 ]
[ 0.84 0.83 0.31 1.00 0.85 0.92 0.90 0.85 0.99 0.46 0.68 0.80 0.67 0.34 0.54 ]
[ 0.96 0.91 0.26 0.85 1.00 0.27 0.16 0.75 0.84 0.24 0.44 0.12 0.28 0.36 0.99 ]
[ 0.22 0.65 0.51 0.92 0.27 1.00 0.94 0.60 0.41 0.02 0.90 0.99 0.56 0.62 0.68 ]
[ 0.96 0.89 0.92 0.90 0.16 0.94 1.00 0.78 0.60 0.48 0.18 0.89 0.70 0.21 0.79 ]
[ 0.06 0.19 0.78 0.85 0.75 0.60 0.78 1.00 0.77 0.23 0.79 0.66 0.79 0.70 0.67 ]
[ 0.84 0.95 0.62 0.99 0.84 0.41 0.60 0.77 1.00 0.89 0.92 0.99 0.37 0.54 0.38 ]
[ 0.91 0.95 0.03 0.46 0.24 0.02 0.48 0.23 0.89 1.00 0.68 0.65 0.02 0.99 0.60 ]
[ 0.57 0.97 0.17 0.68 0.44 0.90 0.18 0.79 0.92 0.68 1.00 0.64 0.65 0.61 0.28 ]
[ 0.86 0.52 0.90 0.80 0.12 0.99 0.89 0.66 0.99 0.65 0.64 1.00 0.86 0.17 0.36 ]
[ 0.41 0.39 0.16 0.67 0.28 0.56 0.70 0.79 0.37 0.02 0.65 0.86 1.00 0.42 0.99 ]
[ 0.26 0.97 0.71 0.34 0.36 0.62 0.21 0.70 0.54 0.99 0.61 0.17 0.42 1.00 0.27 ]
[ 0.60 0.27 0.57 0.54 0.99 0.68 0.79 0.67 0.38 0.60 0.28 0.36 0.99 0.27 1.00 ]
];
