D = 4;
n = [ 2 0 1 0 ];

N = 16;
d = [ 1 1 3 1 3 4 2 1 3 1 4 3 1 1 4 4 ];
m = [
[ 1.00 0.97 0.69 0.43 0.00 0.96 0.22 0.96 0.06 0.84 0.91 0.57 0.86 0.41 0.26 0.60 ]
[ 0.97 1.00 0.46 0.83 0.91 0.65 0.89 0.19 0.95 0.95 0.97 0.52 0.39 0.97 0.27 0.31 ]
[ 0.69 0.46 1.00 0.26 0.51 0.92 0.78 0.62 0.03 0.17 0.90 0.16 0.71 0.57 0.85 0.92 ]
[ 0.43 0.83 0.26 1.00 0.90 0.85 0.99 0.46 0.68 0.80 0.67 0.34 0.54 0.27 0.16 0.75 ]
[ 0.00 0.91 0.51 0.90 1.00 0.84 0.24 0.44 0.12 0.28 0.36 0.99 0.94 0.60 0.41 0.02 ]
[ 0.96 0.65 0.92 0.85 0.84 1.00 0.90 0.99 0.56 0.62 0.68 0.78 0.60 0.48 0.18 0.89 ]
[ 0.22 0.89 0.78 0.99 0.24 0.90 1.00 0.70 0.21 0.79 0.77 0.23 0.79 0.66 0.79 0.70 ]
[ 0.96 0.19 0.62 0.46 0.44 0.99 0.70 1.00 0.67 0.89 0.92 0.99 0.37 0.54 0.38 0.68 ]
[ 0.06 0.95 0.03 0.68 0.12 0.56 0.21 0.67 1.00 0.65 0.02 0.99 0.60 0.64 0.65 0.61 ]
[ 0.84 0.95 0.17 0.80 0.28 0.62 0.79 0.89 0.65 1.00 0.28 0.86 0.17 0.36 0.42 0.99 ]
[ 0.91 0.97 0.90 0.67 0.36 0.68 0.77 0.92 0.02 0.28 1.00 0.27 0.35 0.64 0.09 0.94 ]
[ 0.57 0.52 0.16 0.34 0.99 0.78 0.23 0.99 0.99 0.86 0.27 1.00 0.87 0.45 0.00 0.87 ]
[ 0.86 0.39 0.71 0.54 0.94 0.60 0.79 0.37 0.60 0.17 0.35 0.87 1.00 0.35 0.59 0.95 ]
[ 0.41 0.97 0.57 0.27 0.60 0.48 0.66 0.54 0.64 0.36 0.64 0.45 0.35 1.00 0.65 0.90 ]
[ 0.26 0.27 0.85 0.16 0.41 0.18 0.79 0.38 0.65 0.42 0.09 0.00 0.59 0.65 1.00 0.93 ]
[ 0.60 0.31 0.92 0.75 0.02 0.89 0.70 0.68 0.61 0.99 0.94 0.87 0.95 0.90 0.93 1.00 ]
];
