D = 4;
n = [ 2 0 1 0 ];

N = 17;
d = [ 1 1 3 1 3 4 2 1 3 1 4 3 1 1 4 4 3 ];
m = [
[ 1.00 0.13 0.31 0.84 0.96 0.22 0.96 0.06 0.84 0.91 0.57 0.86 0.41 0.26 0.60 0.46 0.83 ]
[ 0.13 1.00 0.91 0.65 0.89 0.19 0.95 0.95 0.97 0.52 0.39 0.97 0.27 0.31 0.26 0.51 0.92 ]
[ 0.31 0.91 1.00 0.78 0.62 0.03 0.17 0.90 0.16 0.71 0.57 0.85 0.92 0.90 0.85 0.99 0.46 ]
[ 0.84 0.65 0.78 1.00 0.68 0.80 0.67 0.34 0.54 0.27 0.16 0.75 0.84 0.24 0.44 0.12 0.28 ]
[ 0.96 0.89 0.62 0.68 1.00 0.36 0.99 0.94 0.60 0.41 0.02 0.90 0.99 0.56 0.62 0.68 0.78 ]
[ 0.22 0.19 0.03 0.80 0.36 1.00 0.60 0.48 0.18 0.89 0.70 0.21 0.79 0.77 0.23 0.79 0.66 ]
[ 0.96 0.95 0.17 0.67 0.99 0.60 1.00 0.79 0.70 0.67 0.89 0.92 0.99 0.37 0.54 0.38 0.68 ]
[ 0.06 0.95 0.90 0.34 0.94 0.48 0.79 1.00 0.65 0.02 0.99 0.60 0.64 0.65 0.61 0.28 0.86 ]
[ 0.84 0.97 0.16 0.54 0.60 0.18 0.70 0.65 1.00 0.17 0.36 0.42 0.99 0.27 0.35 0.64 0.09 ]
[ 0.91 0.52 0.71 0.27 0.41 0.89 0.67 0.02 0.17 1.00 0.94 0.87 0.45 0.00 0.87 0.35 0.59 ]
[ 0.57 0.39 0.57 0.16 0.02 0.70 0.89 0.99 0.36 0.94 1.00 0.95 0.65 0.90 0.93 0.59 0.25 ]
[ 0.86 0.97 0.85 0.75 0.90 0.21 0.92 0.60 0.42 0.87 0.95 1.00 0.69 0.09 0.63 0.43 0.56 ]
[ 0.41 0.27 0.92 0.84 0.99 0.79 0.99 0.64 0.99 0.45 0.65 0.69 1.00 0.63 0.35 0.74 0.92 ]
[ 0.26 0.31 0.90 0.24 0.56 0.77 0.37 0.65 0.27 0.00 0.90 0.09 0.63 1.00 0.32 0.51 0.34 ]
[ 0.60 0.26 0.85 0.44 0.62 0.23 0.54 0.61 0.35 0.87 0.93 0.63 0.35 0.32 1.00 0.59 0.98 ]
[ 0.46 0.51 0.99 0.12 0.68 0.79 0.38 0.28 0.64 0.35 0.59 0.43 0.74 0.51 0.59 1.00 0.34 ]
[ 0.83 0.92 0.46 0.28 0.78 0.66 0.68 0.86 0.09 0.59 0.25 0.56 0.92 0.34 0.98 0.34 1.00 ]
];
