D = 4;
n = [ 2 0 1 0 ];

N = 19;
d = [ 1 1 3 1 3 4 2 1 3 1 4 3 1 1 4 4 3 3 2 ];
m = [
[ 1.00 0.31 0.84 0.96 0.22 0.96 0.06 0.84 0.91 0.57 0.86 0.41 0.26 0.60 0.46 0.83 0.91 0.65 0.89 ]
[ 0.31 1.00 0.19 0.95 0.95 0.97 0.52 0.39 0.97 0.27 0.31 0.26 0.51 0.92 0.78 0.62 0.03 0.17 0.90 ]
[ 0.84 0.19 1.00 0.16 0.71 0.57 0.85 0.92 0.90 0.85 0.99 0.46 0.68 0.80 0.67 0.34 0.54 0.27 0.16 ]
[ 0.96 0.95 0.16 1.00 0.75 0.84 0.24 0.44 0.12 0.28 0.36 0.99 0.94 0.60 0.41 0.02 0.90 0.99 0.56 ]
[ 0.22 0.95 0.71 0.75 1.00 0.62 0.68 0.78 0.60 0.48 0.18 0.89 0.70 0.21 0.79 0.77 0.23 0.79 0.66 ]
[ 0.96 0.97 0.57 0.84 0.62 1.00 0.79 0.70 0.67 0.89 0.92 0.99 0.37 0.54 0.38 0.68 0.65 0.02 0.99 ]
[ 0.06 0.52 0.85 0.24 0.68 0.79 1.00 0.60 0.64 0.65 0.61 0.28 0.86 0.17 0.36 0.42 0.99 0.27 0.35 ]
[ 0.84 0.39 0.92 0.44 0.78 0.70 0.60 1.00 0.64 0.09 0.94 0.87 0.45 0.00 0.87 0.35 0.59 0.95 0.65 ]
[ 0.91 0.97 0.90 0.12 0.60 0.67 0.64 0.64 1.00 0.90 0.93 0.59 0.25 0.69 0.09 0.63 0.43 0.56 0.63 ]
[ 0.57 0.27 0.85 0.28 0.48 0.89 0.65 0.09 0.90 1.00 0.35 0.74 0.92 0.32 0.51 0.34 0.59 0.98 0.34 ]
[ 0.86 0.31 0.99 0.36 0.18 0.92 0.61 0.94 0.93 0.35 1.00 0.25 0.20 0.72 0.30 0.16 0.98 0.31 0.52 ]
[ 0.41 0.26 0.46 0.99 0.89 0.99 0.28 0.87 0.59 0.74 0.25 1.00 0.66 0.53 0.22 0.79 0.80 0.87 0.70 ]
[ 0.26 0.51 0.68 0.94 0.70 0.37 0.86 0.45 0.25 0.92 0.20 0.66 1.00 0.69 0.07 0.63 0.58 0.50 0.64 ]
[ 0.60 0.92 0.80 0.60 0.21 0.54 0.17 0.00 0.69 0.32 0.72 0.53 0.69 1.00 0.39 0.52 0.85 0.74 0.31 ]
[ 0.46 0.78 0.67 0.41 0.79 0.38 0.36 0.87 0.09 0.51 0.30 0.22 0.07 0.39 1.00 0.56 0.36 0.62 0.36 ]
[ 0.83 0.62 0.34 0.02 0.77 0.68 0.42 0.35 0.63 0.34 0.16 0.79 0.63 0.52 0.56 1.00 0.98 0.91 0.80 ]
[ 0.91 0.03 0.54 0.90 0.23 0.65 0.99 0.59 0.43 0.59 0.98 0.80 0.58 0.85 0.36 0.98 1.00 0.60 0.83 ]
[ 0.65 0.17 0.27 0.99 0.79 0.02 0.27 0.95 0.56 0.98 0.31 0.87 0.50 0.74 0.62 0.91 0.60 1.00 0.88 ]
[ 0.89 0.90 0.16 0.56 0.66 0.99 0.35 0.65 0.63 0.34 0.52 0.70 0.64 0.31 0.36 0.80 0.83 0.88 1.00 ]
];
