D = 2;
n = [ 4 1 ];

N = 20;
d = [ 1 1 1 1 2 2 1 2 2 1 1 1 2 1 1 2 2 2 1 1 ];
m = [
[ 1.00 0.49 0.15 0.59 0.10 0.72 0.51 0.93 0.95 0.99 0.99 0.30 0.56 0.06 0.75 0.86 0.95 0.60 0.68 0.40 ]
[ 0.49 1.00 0.97 0.83 0.70 0.76 0.24 0.90 0.98 0.88 0.19 0.73 0.93 0.72 0.45 0.74 0.66 0.58 0.41 0.74 ]
[ 0.15 0.97 1.00 0.87 0.59 0.07 0.89 0.52 0.97 0.23 0.49 0.51 0.97 0.67 0.25 0.13 1.00 0.40 0.43 0.52 ]
[ 0.59 0.83 0.87 1.00 0.64 0.84 0.41 0.48 0.86 0.72 0.31 0.76 0.35 0.66 0.86 0.88 0.73 0.78 0.15 0.32 ]
[ 0.10 0.70 0.59 0.64 1.00 0.46 0.95 0.96 0.15 0.68 0.00 1.00 0.04 0.92 0.96 0.84 0.86 0.03 0.82 0.94 ]
[ 0.72 0.76 0.07 0.84 0.46 1.00 0.60 0.72 0.84 0.59 0.59 0.79 0.98 0.57 0.14 0.01 0.79 0.00 0.83 0.03 ]
[ 0.51 0.24 0.89 0.41 0.95 0.60 1.00 0.22 0.03 0.33 0.35 0.49 0.69 0.93 0.93 0.25 0.58 0.40 0.46 0.55 ]
[ 0.93 0.90 0.52 0.48 0.96 0.72 0.22 1.00 0.20 0.62 0.24 0.77 0.32 0.97 0.36 0.46 0.99 0.37 0.15 0.79 ]
[ 0.95 0.98 0.97 0.86 0.15 0.84 0.03 0.20 1.00 0.72 0.34 0.37 0.69 0.00 0.00 0.61 0.03 0.71 0.64 0.83 ]
[ 0.99 0.88 0.23 0.72 0.68 0.59 0.33 0.62 0.72 1.00 0.98 0.86 0.91 0.37 0.98 0.00 0.51 0.80 0.24 0.30 ]
[ 0.99 0.19 0.49 0.31 0.00 0.59 0.35 0.24 0.34 0.98 1.00 0.25 0.84 0.45 0.97 0.43 0.87 0.28 0.87 0.58 ]
[ 0.30 0.73 0.51 0.76 1.00 0.79 0.49 0.77 0.37 0.86 0.25 1.00 0.16 0.63 0.26 0.38 0.85 0.97 0.81 0.87 ]
[ 0.56 0.93 0.97 0.35 0.04 0.98 0.69 0.32 0.69 0.91 0.84 0.16 1.00 0.34 0.66 0.64 0.13 0.46 0.19 0.94 ]
[ 0.06 0.72 0.67 0.66 0.92 0.57 0.93 0.97 0.00 0.37 0.45 0.63 0.34 1.00 0.17 0.27 0.62 0.79 0.43 0.46 ]
[ 0.75 0.45 0.25 0.86 0.96 0.14 0.93 0.36 0.00 0.98 0.97 0.26 0.66 0.17 1.00 0.29 0.22 0.37 0.98 0.46 ]
[ 0.86 0.74 0.13 0.88 0.84 0.01 0.25 0.46 0.61 0.00 0.43 0.38 0.64 0.27 0.29 1.00 0.28 0.92 0.37 0.29 ]
[ 0.95 0.66 1.00 0.73 0.86 0.79 0.58 0.99 0.03 0.51 0.87 0.85 0.13 0.62 0.22 0.28 1.00 0.28 0.56 0.14 ]
[ 0.60 0.58 0.40 0.78 0.03 0.00 0.40 0.37 0.71 0.80 0.28 0.97 0.46 0.79 0.37 0.92 0.28 1.00 0.62 0.33 ]
[ 0.68 0.41 0.43 0.15 0.82 0.83 0.46 0.15 0.64 0.24 0.87 0.81 0.19 0.43 0.98 0.37 0.56 0.62 1.00 0.72 ]
[ 0.40 0.74 0.52 0.32 0.94 0.03 0.55 0.79 0.83 0.30 0.58 0.87 0.94 0.46 0.46 0.29 0.14 0.33 0.72 1.00 ]
];
