D = 2;
n = [ 4 1 ];

N = 21;
d = [ 1 1 1 1 2 2 1 2 2 1 1 1 2 1 1 2 2 2 1 1 1 ];
m = [
[ 1.00 0.96 0.30 0.95 0.52 0.93 0.59 0.53 0.58 0.00 0.99 0.30 0.56 0.06 0.75 0.86 0.95 0.60 0.68 0.40 0.97 ]
[ 0.96 1.00 0.83 0.70 0.76 0.24 0.90 0.98 0.88 0.19 0.73 0.93 0.72 0.45 0.74 0.66 0.58 0.41 0.74 0.87 0.59 ]
[ 0.30 0.83 1.00 0.07 0.89 0.52 0.97 0.23 0.49 0.51 0.97 0.67 0.25 0.13 1.00 0.40 0.43 0.52 0.64 0.84 0.41 ]
[ 0.95 0.70 0.07 1.00 0.48 0.86 0.72 0.31 0.76 0.35 0.66 0.86 0.88 0.73 0.78 0.15 0.32 0.46 0.95 0.96 0.15 ]
[ 0.52 0.76 0.89 0.48 1.00 0.68 0.00 1.00 0.04 0.92 0.96 0.84 0.86 0.03 0.82 0.94 0.60 0.72 0.84 0.59 0.59 ]
[ 0.93 0.24 0.52 0.86 0.68 1.00 0.79 0.98 0.57 0.14 0.01 0.79 0.00 0.83 0.03 0.22 0.03 0.33 0.35 0.49 0.69 ]
[ 0.59 0.90 0.97 0.72 0.00 0.79 1.00 0.93 0.93 0.25 0.58 0.40 0.46 0.55 0.20 0.62 0.24 0.77 0.32 0.97 0.36 ]
[ 0.53 0.98 0.23 0.31 1.00 0.98 0.93 1.00 0.46 0.99 0.37 0.15 0.79 0.72 0.34 0.37 0.69 0.00 0.00 0.61 0.03 ]
[ 0.58 0.88 0.49 0.76 0.04 0.57 0.93 0.46 1.00 0.71 0.64 0.83 0.98 0.86 0.91 0.37 0.98 0.00 0.51 0.80 0.24 ]
[ 0.00 0.19 0.51 0.35 0.92 0.14 0.25 0.99 0.71 1.00 0.30 0.25 0.84 0.45 0.97 0.43 0.87 0.28 0.87 0.58 0.16 ]
[ 0.99 0.73 0.97 0.66 0.96 0.01 0.58 0.37 0.64 0.30 1.00 0.63 0.26 0.38 0.85 0.97 0.81 0.87 0.34 0.66 0.64 ]
[ 0.30 0.93 0.67 0.86 0.84 0.79 0.40 0.15 0.83 0.25 0.63 1.00 0.13 0.46 0.19 0.94 0.17 0.27 0.62 0.79 0.43 ]
[ 0.56 0.72 0.25 0.88 0.86 0.00 0.46 0.79 0.98 0.84 0.26 0.13 1.00 0.46 0.29 0.22 0.37 0.98 0.46 0.28 0.92 ]
[ 0.06 0.45 0.13 0.73 0.03 0.83 0.55 0.72 0.86 0.45 0.38 0.46 0.46 1.00 0.37 0.29 0.28 0.56 0.14 0.62 0.33 ]
[ 0.75 0.74 1.00 0.78 0.82 0.03 0.20 0.34 0.91 0.97 0.85 0.19 0.29 0.37 1.00 0.72 0.89 0.22 0.39 0.96 0.07 ]
[ 0.86 0.66 0.40 0.15 0.94 0.22 0.62 0.37 0.37 0.43 0.97 0.94 0.22 0.29 0.72 1.00 0.74 0.46 0.34 0.70 0.96 ]
[ 0.95 0.58 0.43 0.32 0.60 0.03 0.24 0.69 0.98 0.87 0.81 0.17 0.37 0.28 0.89 0.74 1.00 0.96 0.37 0.54 0.52 ]
[ 0.60 0.41 0.52 0.46 0.72 0.33 0.77 0.00 0.00 0.28 0.87 0.27 0.98 0.56 0.22 0.46 0.96 1.00 0.86 0.52 0.41 ]
[ 0.68 0.74 0.64 0.95 0.84 0.35 0.32 0.00 0.51 0.87 0.34 0.62 0.46 0.14 0.39 0.34 0.37 0.86 1.00 0.62 0.18 ]
[ 0.40 0.87 0.84 0.96 0.59 0.49 0.97 0.61 0.80 0.58 0.66 0.79 0.28 0.62 0.96 0.70 0.54 0.52 0.62 1.00 0.83 ]
[ 0.97 0.59 0.41 0.15 0.59 0.69 0.36 0.03 0.24 0.16 0.64 0.43 0.92 0.33 0.07 0.96 0.52 0.41 0.18 0.83 1.00 ]
];
