D = 2;
n = [ 2 10 ];

N = 22;
d = [ 1 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 1 1 2 1 1 ];
m = [
[ 1.00 0.40 0.95 0.67 0.96 0.30 0.95 0.52 0.93 0.59 0.53 0.58 0.00 0.99 0.30 0.56 0.06 0.75 0.86 0.95 0.60 0.68 ]
[ 0.40 1.00 0.40 0.97 0.83 0.70 0.76 0.24 0.90 0.98 0.88 0.19 0.73 0.93 0.72 0.45 0.74 0.66 0.58 0.41 0.74 0.87 ]
[ 0.95 0.40 1.00 0.59 0.07 0.89 0.52 0.97 0.23 0.49 0.51 0.97 0.67 0.25 0.13 1.00 0.40 0.43 0.52 0.64 0.84 0.41 ]
[ 0.67 0.97 0.59 1.00 0.48 0.86 0.72 0.31 0.76 0.35 0.66 0.86 0.88 0.73 0.78 0.15 0.32 0.46 0.95 0.96 0.15 0.68 ]
[ 0.96 0.83 0.07 0.48 1.00 0.00 1.00 0.04 0.92 0.96 0.84 0.86 0.03 0.82 0.94 0.60 0.72 0.84 0.59 0.59 0.79 0.98 ]
[ 0.30 0.70 0.89 0.86 0.00 1.00 0.57 0.14 0.01 0.79 0.00 0.83 0.03 0.22 0.03 0.33 0.35 0.49 0.69 0.93 0.93 0.25 ]
[ 0.95 0.76 0.52 0.72 1.00 0.57 1.00 0.58 0.40 0.46 0.55 0.20 0.62 0.24 0.77 0.32 0.97 0.36 0.46 0.99 0.37 0.15 ]
[ 0.52 0.24 0.97 0.31 0.04 0.14 0.58 1.00 0.79 0.72 0.34 0.37 0.69 0.00 0.00 0.61 0.03 0.71 0.64 0.83 0.98 0.86 ]
[ 0.93 0.90 0.23 0.76 0.92 0.01 0.40 0.79 1.00 0.91 0.37 0.98 0.00 0.51 0.80 0.24 0.30 0.25 0.84 0.45 0.97 0.43 ]
[ 0.59 0.98 0.49 0.35 0.96 0.79 0.46 0.72 0.91 1.00 0.87 0.28 0.87 0.58 0.16 0.63 0.26 0.38 0.85 0.97 0.81 0.87 ]
[ 0.53 0.88 0.51 0.66 0.84 0.00 0.55 0.34 0.37 0.87 1.00 0.34 0.66 0.64 0.13 0.46 0.19 0.94 0.17 0.27 0.62 0.79 ]
[ 0.58 0.19 0.97 0.86 0.86 0.83 0.20 0.37 0.98 0.28 0.34 1.00 0.43 0.46 0.29 0.22 0.37 0.98 0.46 0.28 0.92 0.37 ]
[ 0.00 0.73 0.67 0.88 0.03 0.03 0.62 0.69 0.00 0.87 0.66 0.43 1.00 0.29 0.28 0.56 0.14 0.62 0.33 0.72 0.89 0.22 ]
[ 0.99 0.93 0.25 0.73 0.82 0.22 0.24 0.00 0.51 0.58 0.64 0.46 0.29 1.00 0.39 0.96 0.07 0.74 0.46 0.34 0.70 0.96 ]
[ 0.30 0.72 0.13 0.78 0.94 0.03 0.77 0.00 0.80 0.16 0.13 0.29 0.28 0.39 1.00 0.96 0.37 0.54 0.52 0.86 0.52 0.41 ]
[ 0.56 0.45 1.00 0.15 0.60 0.33 0.32 0.61 0.24 0.63 0.46 0.22 0.56 0.96 0.96 1.00 0.62 0.18 0.83 0.00 0.12 0.15 ]
[ 0.06 0.74 0.40 0.32 0.72 0.35 0.97 0.03 0.30 0.26 0.19 0.37 0.14 0.07 0.37 0.62 1.00 0.91 0.76 0.48 0.57 0.25 ]
[ 0.75 0.66 0.43 0.46 0.84 0.49 0.36 0.71 0.25 0.38 0.94 0.98 0.62 0.74 0.54 0.18 0.91 1.00 0.90 0.71 0.28 0.62 ]
[ 0.86 0.58 0.52 0.95 0.59 0.69 0.46 0.64 0.84 0.85 0.17 0.46 0.33 0.46 0.52 0.83 0.76 0.90 1.00 0.52 0.28 0.38 ]
[ 0.95 0.41 0.64 0.96 0.59 0.93 0.99 0.83 0.45 0.97 0.27 0.28 0.72 0.34 0.86 0.00 0.48 0.71 0.52 1.00 0.88 0.02 ]
[ 0.60 0.74 0.84 0.15 0.79 0.93 0.37 0.98 0.97 0.81 0.62 0.92 0.89 0.70 0.52 0.12 0.57 0.28 0.28 0.88 1.00 0.15 ]
[ 0.68 0.87 0.41 0.68 0.98 0.25 0.15 0.86 0.43 0.87 0.79 0.37 0.22 0.96 0.41 0.15 0.25 0.62 0.38 0.02 0.15 1.00 ]
];
