D = 7;
n = [ 2 2 0 2 0 0 2 ];

N = 23;
d = [ 1 1 2 2 4 4 7 7 7 6 2 3 1 5 4 6 3 7 2 6 6 6 5 ];
m = [
[ 1.00 0.95 0.52 0.93 0.59 0.53 0.58 0.00 0.99 0.30 0.56 0.06 0.75 0.86 0.95 0.60 0.68 0.40 0.97 0.83 0.70 0.76 0.24 ]
[ 0.95 1.00 0.90 0.98 0.88 0.19 0.73 0.93 0.72 0.45 0.74 0.66 0.58 0.41 0.74 0.87 0.59 0.07 0.89 0.52 0.97 0.23 0.49 ]
[ 0.52 0.90 1.00 0.51 0.97 0.67 0.25 0.13 1.00 0.40 0.43 0.52 0.64 0.84 0.41 0.48 0.86 0.72 0.31 0.76 0.35 0.66 0.86 ]
[ 0.93 0.98 0.51 1.00 0.88 0.73 0.78 0.15 0.32 0.46 0.95 0.96 0.15 0.68 0.00 1.00 0.04 0.92 0.96 0.84 0.86 0.03 0.82 ]
[ 0.59 0.88 0.97 0.88 1.00 0.94 0.60 0.72 0.84 0.59 0.59 0.79 0.98 0.57 0.14 0.01 0.79 0.00 0.83 0.03 0.22 0.03 0.33 ]
[ 0.53 0.19 0.67 0.73 0.94 1.00 0.35 0.49 0.69 0.93 0.93 0.25 0.58 0.40 0.46 0.55 0.20 0.62 0.24 0.77 0.32 0.97 0.36 ]
[ 0.58 0.73 0.25 0.78 0.60 0.35 1.00 0.46 0.99 0.37 0.15 0.79 0.72 0.34 0.37 0.69 0.00 0.00 0.61 0.03 0.71 0.64 0.83 ]
[ 0.00 0.93 0.13 0.15 0.72 0.49 0.46 1.00 0.98 0.86 0.91 0.37 0.98 0.00 0.51 0.80 0.24 0.30 0.25 0.84 0.45 0.97 0.43 ]
[ 0.99 0.72 1.00 0.32 0.84 0.69 0.99 0.98 1.00 0.87 0.28 0.87 0.58 0.16 0.63 0.26 0.38 0.85 0.97 0.81 0.87 0.34 0.66 ]
[ 0.30 0.45 0.40 0.46 0.59 0.93 0.37 0.86 0.87 1.00 0.64 0.13 0.46 0.19 0.94 0.17 0.27 0.62 0.79 0.43 0.46 0.29 0.22 ]
[ 0.56 0.74 0.43 0.95 0.59 0.93 0.15 0.91 0.28 0.64 1.00 0.37 0.98 0.46 0.28 0.92 0.37 0.29 0.28 0.56 0.14 0.62 0.33 ]
[ 0.06 0.66 0.52 0.96 0.79 0.25 0.79 0.37 0.87 0.13 0.37 1.00 0.72 0.89 0.22 0.39 0.96 0.07 0.74 0.46 0.34 0.70 0.96 ]
[ 0.75 0.58 0.64 0.15 0.98 0.58 0.72 0.98 0.58 0.46 0.98 0.72 1.00 0.96 0.37 0.54 0.52 0.86 0.52 0.41 0.62 0.18 0.83 ]
[ 0.86 0.41 0.84 0.68 0.57 0.40 0.34 0.00 0.16 0.19 0.46 0.89 0.96 1.00 0.00 0.12 0.15 0.91 0.76 0.48 0.57 0.25 0.90 ]
[ 0.95 0.74 0.41 0.00 0.14 0.46 0.37 0.51 0.63 0.94 0.28 0.22 0.37 0.00 1.00 0.71 0.28 0.62 0.52 0.28 0.38 0.88 0.02 ]
[ 0.60 0.87 0.48 1.00 0.01 0.55 0.69 0.80 0.26 0.17 0.92 0.39 0.54 0.12 0.71 1.00 0.15 0.87 0.79 0.35 0.97 0.87 0.25 ]
[ 0.68 0.59 0.86 0.04 0.79 0.20 0.00 0.24 0.38 0.27 0.37 0.96 0.52 0.15 0.28 0.15 1.00 0.00 0.82 0.34 0.35 0.60 0.84 ]
[ 0.40 0.07 0.72 0.92 0.00 0.62 0.00 0.30 0.85 0.62 0.29 0.07 0.86 0.91 0.62 0.87 0.00 1.00 0.79 0.87 0.96 0.66 0.89 ]
[ 0.97 0.89 0.31 0.96 0.83 0.24 0.61 0.25 0.97 0.79 0.28 0.74 0.52 0.76 0.52 0.79 0.82 0.79 1.00 0.70 0.43 0.19 0.37 ]
[ 0.83 0.52 0.76 0.84 0.03 0.77 0.03 0.84 0.81 0.43 0.56 0.46 0.41 0.48 0.28 0.35 0.34 0.87 0.70 1.00 0.91 0.22 0.42 ]
[ 0.70 0.97 0.35 0.86 0.22 0.32 0.71 0.45 0.87 0.46 0.14 0.34 0.62 0.57 0.38 0.97 0.35 0.96 0.43 0.91 1.00 0.49 0.27 ]
[ 0.76 0.23 0.66 0.03 0.03 0.97 0.64 0.97 0.34 0.29 0.62 0.70 0.18 0.25 0.88 0.87 0.60 0.66 0.19 0.22 0.49 1.00 0.89 ]
[ 0.24 0.49 0.86 0.82 0.33 0.36 0.83 0.43 0.66 0.22 0.33 0.96 0.83 0.90 0.02 0.25 0.84 0.89 0.37 0.42 0.27 0.89 1.00 ]
];
