D = 3;
n = [ 6 6 2 ];

N = 24;
d = [ 1 1 1 1 1 1 2 2 2 2 2 2 3 3 2 1 1 3 2 3 1 3 3 2 ];
m = [
[ 1.00 0.88 0.24 0.29 0.67 0.97 0.68 0.99 0.32 0.38 0.72 0.98 0.61 0.73 0.58 0.16 0.96 0.45 0.33 0.92 0.37 0.77 0.24 0.21 ]
[ 0.88 1.00 0.41 0.94 0.26 0.93 0.00 0.56 0.46 0.29 0.70 0.15 0.89 0.18 0.96 0.94 0.66 0.04 0.23 0.35 0.38 0.20 0.24 0.83 ]
[ 0.24 0.41 1.00 0.33 0.11 0.70 0.21 0.88 0.56 0.18 0.73 0.80 0.76 0.99 0.90 0.82 0.59 0.19 0.61 0.68 0.40 0.23 0.09 0.55 ]
[ 0.29 0.94 0.33 1.00 0.33 0.42 0.42 0.28 0.05 0.45 0.46 0.20 0.07 0.95 0.00 0.46 0.70 0.58 0.54 0.97 0.28 0.22 0.97 0.07 ]
[ 0.67 0.26 0.11 0.33 1.00 0.97 0.50 0.86 0.08 0.38 0.71 0.22 0.82 0.31 0.24 0.08 0.50 0.39 0.82 0.85 0.31 0.18 0.34 0.56 ]
[ 0.97 0.93 0.70 0.42 0.97 1.00 0.88 0.48 0.40 0.89 0.48 0.77 0.35 0.52 0.20 0.43 0.17 0.92 0.32 0.83 0.58 0.38 0.07 0.77 ]
[ 0.68 0.00 0.21 0.42 0.50 0.88 1.00 0.41 0.24 0.62 0.91 0.91 0.11 0.97 0.51 0.57 0.22 0.50 0.90 0.58 0.82 0.92 0.77 0.16 ]
[ 0.99 0.56 0.88 0.28 0.86 0.48 0.41 1.00 0.63 0.18 0.60 0.01 0.99 0.93 0.11 0.44 0.85 0.77 0.16 0.85 0.94 0.72 0.38 0.49 ]
[ 0.32 0.46 0.56 0.05 0.08 0.40 0.24 0.63 1.00 0.92 0.24 0.83 0.53 0.21 0.90 0.33 0.95 0.59 0.94 0.18 0.94 0.87 0.21 0.31 ]
[ 0.38 0.29 0.18 0.45 0.38 0.89 0.62 0.18 0.92 1.00 0.47 0.22 0.98 0.69 0.81 0.52 0.62 0.83 0.86 0.76 0.32 0.89 0.53 0.34 ]
[ 0.72 0.70 0.73 0.46 0.71 0.48 0.91 0.60 0.24 0.47 1.00 0.98 0.29 0.31 0.98 0.90 0.08 0.50 0.93 0.74 0.50 0.02 0.53 0.36 ]
[ 0.98 0.15 0.80 0.20 0.22 0.77 0.91 0.01 0.83 0.22 0.98 1.00 0.31 0.88 0.47 0.84 0.38 0.99 0.38 0.74 0.94 0.99 0.51 0.65 ]
[ 0.61 0.89 0.76 0.07 0.82 0.35 0.11 0.99 0.53 0.98 0.29 0.31 1.00 0.59 0.06 0.31 1.00 0.93 0.99 0.31 0.59 0.27 0.68 0.78 ]
[ 0.73 0.18 0.99 0.95 0.31 0.52 0.97 0.93 0.21 0.69 0.31 0.88 0.59 1.00 0.90 0.14 0.65 0.85 0.47 0.35 0.72 0.50 1.00 1.00 ]
[ 0.58 0.96 0.90 0.00 0.24 0.20 0.51 0.11 0.90 0.81 0.98 0.47 0.06 0.90 1.00 0.83 0.13 0.69 0.88 0.93 0.87 0.58 0.25 0.51 ]
[ 0.16 0.94 0.82 0.46 0.08 0.43 0.57 0.44 0.33 0.52 0.90 0.84 0.31 0.14 0.83 1.00 0.96 0.71 0.71 0.55 0.91 0.35 0.92 0.59 ]
[ 0.96 0.66 0.59 0.70 0.50 0.17 0.22 0.85 0.95 0.62 0.08 0.38 1.00 0.65 0.13 0.96 1.00 0.75 0.43 0.80 0.23 0.72 0.25 0.19 ]
[ 0.45 0.04 0.19 0.58 0.39 0.92 0.50 0.77 0.59 0.83 0.50 0.99 0.93 0.85 0.69 0.71 0.75 1.00 0.87 0.94 0.98 0.52 0.65 0.15 ]
[ 0.33 0.23 0.61 0.54 0.82 0.32 0.90 0.16 0.94 0.86 0.93 0.38 0.99 0.47 0.88 0.71 0.43 0.87 1.00 0.90 0.33 0.75 0.41 0.26 ]
[ 0.92 0.35 0.68 0.97 0.85 0.83 0.58 0.85 0.18 0.76 0.74 0.74 0.31 0.35 0.93 0.55 0.80 0.94 0.90 1.00 0.88 0.40 0.15 0.83 ]
[ 0.37 0.38 0.40 0.28 0.31 0.58 0.82 0.94 0.94 0.32 0.50 0.94 0.59 0.72 0.87 0.91 0.23 0.98 0.33 0.88 1.00 0.26 0.77 0.16 ]
[ 0.77 0.20 0.23 0.22 0.18 0.38 0.92 0.72 0.87 0.89 0.02 0.99 0.27 0.50 0.58 0.35 0.72 0.52 0.75 0.40 0.26 1.00 0.29 0.88 ]
[ 0.24 0.24 0.09 0.97 0.34 0.07 0.77 0.38 0.21 0.53 0.53 0.51 0.68 1.00 0.25 0.92 0.25 0.65 0.41 0.15 0.77 0.29 1.00 0.50 ]
[ 0.21 0.83 0.55 0.07 0.56 0.77 0.16 0.49 0.31 0.34 0.36 0.65 0.78 1.00 0.51 0.59 0.19 0.15 0.26 0.83 0.16 0.88 0.50 1.00 ]
];
