D = 3;
n = [ 6 6 2 ];

N = 25;
d = [ 1 1 1 1 1 1 2 2 2 2 2 2 3 3 2 1 1 3 2 3 1 3 3 2 3 ];
m = [
[ 1.00 0.75 0.19 0.58 0.63 0.77 0.98 0.85 0.53 0.30 0.67 0.90 0.08 0.69 0.22 0.55 0.29 0.74 0.58 0.84 0.35 0.20 0.00 0.21 0.41 ]
[ 0.75 1.00 0.94 0.26 0.93 0.00 0.56 0.46 0.29 0.70 0.15 0.89 0.18 0.96 0.94 0.66 0.04 0.23 0.35 0.38 0.20 0.24 0.83 0.33 0.11 ]
[ 0.19 0.94 1.00 0.70 0.21 0.88 0.56 0.18 0.73 0.80 0.76 0.99 0.90 0.82 0.59 0.19 0.61 0.68 0.40 0.23 0.09 0.55 0.33 0.42 0.42 ]
[ 0.58 0.26 0.70 1.00 0.28 0.05 0.45 0.46 0.20 0.07 0.95 0.00 0.46 0.70 0.58 0.54 0.97 0.28 0.22 0.97 0.07 0.97 0.50 0.86 0.08 ]
[ 0.63 0.93 0.21 0.28 1.00 0.38 0.71 0.22 0.82 0.31 0.24 0.08 0.50 0.39 0.82 0.85 0.31 0.18 0.34 0.56 0.88 0.48 0.40 0.89 0.48 ]
[ 0.77 0.00 0.88 0.05 0.38 1.00 0.77 0.35 0.52 0.20 0.43 0.17 0.92 0.32 0.83 0.58 0.38 0.07 0.77 0.41 0.24 0.62 0.91 0.91 0.11 ]
[ 0.98 0.56 0.56 0.45 0.71 0.77 1.00 0.97 0.51 0.57 0.22 0.50 0.90 0.58 0.82 0.92 0.77 0.16 0.63 0.18 0.60 0.01 0.99 0.93 0.11 ]
[ 0.85 0.46 0.18 0.46 0.22 0.35 0.97 1.00 0.44 0.85 0.77 0.16 0.85 0.94 0.72 0.38 0.49 0.92 0.24 0.83 0.53 0.21 0.90 0.33 0.95 ]
[ 0.53 0.29 0.73 0.20 0.82 0.52 0.51 0.44 1.00 0.59 0.94 0.18 0.94 0.87 0.21 0.31 0.47 0.22 0.98 0.69 0.81 0.52 0.62 0.83 0.86 ]
[ 0.30 0.70 0.80 0.07 0.31 0.20 0.57 0.85 0.59 1.00 0.76 0.32 0.89 0.53 0.34 0.98 0.29 0.31 0.98 0.90 0.08 0.50 0.93 0.74 0.50 ]
[ 0.67 0.15 0.76 0.95 0.24 0.43 0.22 0.77 0.94 0.76 1.00 0.02 0.53 0.36 0.31 0.88 0.47 0.84 0.38 0.99 0.38 0.74 0.94 0.99 0.51 ]
[ 0.90 0.89 0.99 0.00 0.08 0.17 0.50 0.16 0.18 0.32 0.02 1.00 0.65 0.59 0.06 0.31 1.00 0.93 0.99 0.31 0.59 0.27 0.68 0.78 0.90 ]
[ 0.08 0.18 0.90 0.46 0.50 0.92 0.90 0.85 0.94 0.89 0.53 0.65 1.00 0.14 0.65 0.85 0.47 0.35 0.72 0.50 1.00 1.00 0.83 0.13 0.69 ]
[ 0.69 0.96 0.82 0.70 0.39 0.32 0.58 0.94 0.87 0.53 0.36 0.59 0.14 1.00 0.88 0.93 0.87 0.58 0.25 0.51 0.96 0.71 0.71 0.55 0.91 ]
[ 0.22 0.94 0.59 0.58 0.82 0.83 0.82 0.72 0.21 0.34 0.31 0.06 0.65 0.88 1.00 0.35 0.92 0.59 0.75 0.43 0.80 0.23 0.72 0.25 0.19 ]
[ 0.55 0.66 0.19 0.54 0.85 0.58 0.92 0.38 0.31 0.98 0.88 0.31 0.85 0.93 0.35 1.00 0.87 0.94 0.98 0.52 0.65 0.15 0.90 0.33 0.75 ]
[ 0.29 0.04 0.61 0.97 0.31 0.38 0.77 0.49 0.47 0.29 0.47 1.00 0.47 0.87 0.92 0.87 1.00 0.41 0.26 0.88 0.40 0.15 0.83 0.26 0.77 ]
[ 0.74 0.23 0.68 0.28 0.18 0.07 0.16 0.92 0.22 0.31 0.84 0.93 0.35 0.58 0.59 0.94 0.41 1.00 0.16 0.29 0.88 0.50 0.99 0.95 0.72 ]
[ 0.58 0.35 0.40 0.22 0.34 0.77 0.63 0.24 0.98 0.98 0.38 0.99 0.72 0.25 0.75 0.98 0.26 0.16 1.00 0.35 0.97 0.00 0.84 0.74 0.11 ]
[ 0.84 0.38 0.23 0.97 0.56 0.41 0.18 0.83 0.69 0.90 0.99 0.31 0.50 0.51 0.43 0.52 0.88 0.29 0.35 1.00 0.83 0.49 0.95 0.21 0.92 ]
[ 0.35 0.20 0.09 0.07 0.88 0.24 0.60 0.53 0.81 0.08 0.38 0.59 1.00 0.96 0.80 0.65 0.40 0.88 0.97 0.83 1.00 0.57 0.24 0.89 0.51 ]
[ 0.20 0.24 0.55 0.97 0.48 0.62 0.01 0.21 0.52 0.50 0.74 0.27 1.00 0.71 0.23 0.15 0.15 0.50 0.00 0.49 0.57 1.00 0.12 0.66 0.98 ]
[ 0.00 0.83 0.33 0.50 0.40 0.91 0.99 0.90 0.62 0.93 0.94 0.68 0.83 0.71 0.72 0.90 0.83 0.99 0.84 0.95 0.24 0.12 1.00 0.45 0.75 ]
[ 0.21 0.33 0.42 0.86 0.89 0.91 0.93 0.33 0.83 0.74 0.99 0.78 0.13 0.55 0.25 0.33 0.26 0.95 0.74 0.21 0.89 0.66 0.45 1.00 0.00 ]
[ 0.41 0.11 0.42 0.08 0.48 0.11 0.11 0.95 0.86 0.50 0.51 0.90 0.69 0.91 0.19 0.75 0.77 0.72 0.11 0.92 0.51 0.98 0.75 0.00 1.00 ]
];
