D = 4;
n = [ 5 5 0 6 ];

N = 29;
d = [ 1 1 1 1 1 2 2 2 2 2 4 4 4 4 4 4 2 2 4 1 4 3 2 4 2 2 1 4 3 ];
m = [
[ 1.00 0.42 0.99 0.93 0.74 0.18 0.47 0.21 0.81 0.97 0.98 0.06 0.22 0.55 0.19 0.11 0.04 0.65 0.36 0.00 0.87 0.42 0.98 0.61 0.34 0.16 0.42 0.00 0.33 ]
[ 0.42 1.00 0.87 0.73 0.33 0.99 0.64 0.72 0.98 0.87 0.93 0.24 0.41 0.24 0.90 0.89 0.59 0.45 0.40 0.79 0.73 0.26 0.92 0.51 0.23 0.94 0.05 0.92 0.86 ]
[ 0.99 0.87 1.00 0.59 0.71 0.04 0.92 0.26 0.82 0.44 0.79 0.37 0.08 0.96 0.48 0.36 0.87 0.54 0.44 0.59 0.87 0.59 0.58 0.06 0.98 0.40 0.41 0.00 0.80 ]
[ 0.93 0.73 0.59 1.00 0.78 0.82 0.78 0.91 0.90 0.02 0.88 0.60 0.81 0.67 0.56 0.00 0.41 0.43 0.90 0.63 0.47 0.71 0.88 0.21 0.80 1.00 0.98 0.23 0.89 ]
[ 0.74 0.33 0.71 0.78 1.00 0.66 0.78 0.56 0.66 0.85 0.52 0.79 0.84 0.64 0.05 0.18 0.47 0.64 0.36 0.38 0.87 0.51 0.23 0.00 0.74 0.38 0.58 0.73 0.17 ]
[ 0.18 0.99 0.04 0.82 0.66 1.00 0.89 0.75 0.00 0.22 0.33 0.76 0.58 0.21 0.34 0.69 0.64 0.30 0.44 0.42 0.82 0.49 0.89 0.40 0.80 0.79 0.89 0.11 0.84 ]
[ 0.47 0.64 0.92 0.78 0.78 0.89 1.00 0.58 0.45 0.59 0.48 0.99 0.83 0.38 0.34 0.07 0.50 0.79 0.32 0.94 0.58 0.90 0.02 0.73 0.41 0.95 0.36 0.65 0.76 ]
[ 0.21 0.72 0.26 0.91 0.56 0.75 0.58 1.00 0.29 0.76 0.63 0.45 0.71 0.45 0.27 0.65 0.59 0.51 0.43 0.79 0.65 0.62 0.48 0.92 0.10 0.37 0.96 0.83 0.44 ]
[ 0.81 0.98 0.82 0.90 0.66 0.00 0.45 0.29 1.00 0.79 0.47 0.02 0.48 0.53 0.50 0.82 0.95 0.95 0.28 0.72 0.49 0.31 0.76 0.67 0.58 0.77 0.34 0.25 0.60 ]
[ 0.97 0.87 0.44 0.02 0.85 0.22 0.59 0.76 0.79 1.00 0.58 0.24 0.40 0.30 0.99 0.25 0.89 0.75 0.75 0.95 0.16 0.89 0.90 0.99 0.34 0.28 0.95 0.92 0.22 ]
[ 0.98 0.93 0.79 0.88 0.52 0.33 0.48 0.63 0.47 0.58 1.00 0.86 0.21 0.68 0.75 0.97 0.38 0.37 0.72 0.31 0.22 0.95 0.62 0.04 0.00 0.66 0.37 0.48 0.50 ]
[ 0.06 0.24 0.37 0.60 0.79 0.76 0.99 0.45 0.02 0.24 0.86 1.00 0.21 0.93 0.62 0.16 0.54 0.16 0.56 0.32 0.77 0.91 0.13 1.00 0.25 0.18 0.94 0.35 0.43 ]
[ 0.22 0.41 0.08 0.81 0.84 0.58 0.83 0.71 0.48 0.40 0.21 0.21 1.00 0.42 0.19 0.04 0.67 0.96 0.48 0.17 0.58 0.24 0.26 0.24 0.43 0.80 0.96 0.65 0.17 ]
[ 0.55 0.24 0.96 0.67 0.64 0.21 0.38 0.45 0.53 0.30 0.68 0.93 0.42 1.00 0.28 0.49 0.65 0.96 0.54 0.92 0.53 0.15 0.56 0.70 0.48 0.98 0.29 0.58 0.65 ]
[ 0.19 0.90 0.48 0.56 0.05 0.34 0.34 0.27 0.50 0.99 0.75 0.62 0.19 0.28 1.00 0.85 0.67 0.39 0.66 0.80 0.32 0.98 0.92 0.92 0.17 0.96 0.46 0.78 0.04 ]
[ 0.11 0.89 0.36 0.00 0.18 0.69 0.07 0.65 0.82 0.25 0.97 0.16 0.04 0.49 0.85 1.00 0.93 0.26 0.98 0.21 0.39 0.33 0.22 0.61 0.35 0.74 0.27 0.85 0.41 ]
[ 0.04 0.59 0.87 0.41 0.47 0.64 0.50 0.59 0.95 0.89 0.38 0.54 0.67 0.65 0.67 0.93 1.00 0.93 0.23 0.70 0.68 0.33 0.73 0.72 0.26 0.47 0.55 0.88 0.00 ]
[ 0.65 0.45 0.54 0.43 0.64 0.30 0.79 0.51 0.95 0.75 0.37 0.16 0.96 0.96 0.39 0.26 0.93 1.00 0.20 0.91 0.60 0.37 0.76 0.31 0.91 0.92 0.27 0.24 0.75 ]
[ 0.36 0.40 0.44 0.90 0.36 0.44 0.32 0.43 0.28 0.75 0.72 0.56 0.48 0.54 0.66 0.98 0.23 0.20 1.00 0.62 0.69 0.50 0.25 0.87 1.00 0.02 0.72 0.96 0.19 ]
[ 0.00 0.79 0.59 0.63 0.38 0.42 0.94 0.79 0.72 0.95 0.31 0.32 0.17 0.92 0.80 0.21 0.70 0.91 0.62 1.00 0.41 0.76 0.96 0.75 0.54 0.88 0.10 0.00 0.26 ]
[ 0.87 0.73 0.87 0.47 0.87 0.82 0.58 0.65 0.49 0.16 0.22 0.77 0.58 0.53 0.32 0.39 0.68 0.60 0.69 0.41 1.00 0.89 0.79 0.00 0.44 0.25 0.87 0.80 0.98 ]
[ 0.42 0.26 0.59 0.71 0.51 0.49 0.90 0.62 0.31 0.89 0.95 0.91 0.24 0.15 0.98 0.33 0.33 0.37 0.50 0.76 0.89 1.00 0.58 0.23 0.69 0.88 0.62 0.54 0.36 ]
[ 0.98 0.92 0.58 0.88 0.23 0.89 0.02 0.48 0.76 0.90 0.62 0.13 0.26 0.56 0.92 0.22 0.73 0.76 0.25 0.96 0.79 0.58 1.00 0.48 1.00 0.85 0.93 0.27 0.62 ]
[ 0.61 0.51 0.06 0.21 0.00 0.40 0.73 0.92 0.67 0.99 0.04 1.00 0.24 0.70 0.92 0.61 0.72 0.31 0.87 0.75 0.00 0.23 0.48 1.00 0.93 0.50 0.78 0.24 0.46 ]
[ 0.34 0.23 0.98 0.80 0.74 0.80 0.41 0.10 0.58 0.34 0.00 0.25 0.43 0.48 0.17 0.35 0.26 0.91 1.00 0.54 0.44 0.69 1.00 0.93 1.00 1.00 0.31 0.16 0.83 ]
[ 0.16 0.94 0.40 1.00 0.38 0.79 0.95 0.37 0.77 0.28 0.66 0.18 0.80 0.98 0.96 0.74 0.47 0.92 0.02 0.88 0.25 0.88 0.85 0.50 1.00 1.00 0.48 0.91 0.91 ]
[ 0.42 0.05 0.41 0.98 0.58 0.89 0.36 0.96 0.34 0.95 0.37 0.94 0.96 0.29 0.46 0.27 0.55 0.27 0.72 0.10 0.87 0.62 0.93 0.78 0.31 0.48 1.00 0.83 0.79 ]
[ 0.00 0.92 0.00 0.23 0.73 0.11 0.65 0.83 0.25 0.92 0.48 0.35 0.65 0.58 0.78 0.85 0.88 0.24 0.96 0.00 0.80 0.54 0.27 0.24 0.16 0.91 0.83 1.00 0.57 ]
[ 0.33 0.86 0.80 0.89 0.17 0.84 0.76 0.44 0.60 0.22 0.50 0.43 0.17 0.65 0.04 0.41 0.00 0.75 0.19 0.26 0.98 0.36 0.62 0.46 0.83 0.91 0.79 0.57 1.00 ]
];
