D = 4;
n = [ 5 5 0 6 ];

N = 30;
d = [ 1 1 1 1 1 2 2 2 2 2 4 4 4 4 4 4 2 2 4 1 4 3 2 4 2 2 1 4 3 4 ];
m = [
[ 1.00 0.83 0.26 0.20 0.25 0.46 0.82 0.40 0.76 0.68 0.92 0.00 0.22 0.55 0.19 0.11 0.04 0.65 0.36 0.00 0.87 0.42 0.98 0.61 0.34 0.16 0.42 0.00 0.33 0.87 ]
[ 0.83 1.00 0.73 0.33 0.99 0.64 0.72 0.98 0.87 0.93 0.24 0.41 0.24 0.90 0.89 0.59 0.45 0.40 0.79 0.73 0.26 0.92 0.51 0.23 0.94 0.05 0.92 0.86 0.59 0.71 ]
[ 0.26 0.73 1.00 0.04 0.92 0.26 0.82 0.44 0.79 0.37 0.08 0.96 0.48 0.36 0.87 0.54 0.44 0.59 0.87 0.59 0.58 0.06 0.98 0.40 0.41 0.00 0.80 0.78 0.82 0.78 ]
[ 0.20 0.33 0.04 1.00 0.91 0.90 0.02 0.88 0.60 0.81 0.67 0.56 0.00 0.41 0.43 0.90 0.63 0.47 0.71 0.88 0.21 0.80 1.00 0.98 0.23 0.89 0.66 0.78 0.56 0.66 ]
[ 0.25 0.99 0.92 0.91 1.00 0.85 0.52 0.79 0.84 0.64 0.05 0.18 0.47 0.64 0.36 0.38 0.87 0.51 0.23 0.00 0.74 0.38 0.58 0.73 0.17 0.89 0.75 0.00 0.22 0.33 ]
[ 0.46 0.64 0.26 0.90 0.85 1.00 0.76 0.58 0.21 0.34 0.69 0.64 0.30 0.44 0.42 0.82 0.49 0.89 0.40 0.80 0.79 0.89 0.11 0.84 0.58 0.45 0.59 0.48 0.99 0.83 ]
[ 0.82 0.72 0.82 0.02 0.52 0.76 1.00 0.38 0.34 0.07 0.50 0.79 0.32 0.94 0.58 0.90 0.02 0.73 0.41 0.95 0.36 0.65 0.76 0.29 0.76 0.63 0.45 0.71 0.45 0.27 ]
[ 0.40 0.98 0.44 0.88 0.79 0.58 0.38 1.00 0.65 0.59 0.51 0.43 0.79 0.65 0.62 0.48 0.92 0.10 0.37 0.96 0.83 0.44 0.79 0.47 0.02 0.48 0.53 0.50 0.82 0.95 ]
[ 0.76 0.87 0.79 0.60 0.84 0.21 0.34 0.65 1.00 0.95 0.28 0.72 0.49 0.31 0.76 0.67 0.58 0.77 0.34 0.25 0.60 0.58 0.24 0.40 0.30 0.99 0.25 0.89 0.75 0.75 ]
[ 0.68 0.93 0.37 0.81 0.64 0.34 0.07 0.59 0.95 1.00 0.95 0.16 0.89 0.90 0.99 0.34 0.28 0.95 0.92 0.22 0.86 0.21 0.68 0.75 0.97 0.38 0.37 0.72 0.31 0.22 ]
[ 0.92 0.24 0.08 0.67 0.05 0.69 0.50 0.51 0.28 0.95 1.00 0.95 0.62 0.04 0.00 0.66 0.37 0.48 0.50 0.21 0.93 0.62 0.16 0.54 0.16 0.56 0.32 0.77 0.91 0.13 ]
[ 0.00 0.41 0.96 0.56 0.18 0.64 0.79 0.43 0.72 0.16 0.95 1.00 1.00 0.25 0.18 0.94 0.35 0.43 0.42 0.19 0.04 0.67 0.96 0.48 0.17 0.58 0.24 0.26 0.24 0.43 ]
[ 0.22 0.24 0.48 0.00 0.47 0.30 0.32 0.79 0.49 0.89 0.62 1.00 1.00 0.80 0.96 0.65 0.17 0.28 0.49 0.65 0.96 0.54 0.92 0.53 0.15 0.56 0.70 0.48 0.98 0.29 ]
[ 0.55 0.90 0.36 0.41 0.64 0.44 0.94 0.65 0.31 0.90 0.04 0.25 0.80 1.00 0.58 0.65 0.85 0.67 0.39 0.66 0.80 0.32 0.98 0.92 0.92 0.17 0.96 0.46 0.78 0.04 ]
[ 0.19 0.89 0.87 0.43 0.36 0.42 0.58 0.62 0.76 0.99 0.00 0.18 0.96 0.58 1.00 0.93 0.26 0.98 0.21 0.39 0.33 0.22 0.61 0.35 0.74 0.27 0.85 0.41 0.93 0.23 ]
[ 0.11 0.59 0.54 0.90 0.38 0.82 0.90 0.48 0.67 0.34 0.66 0.94 0.65 0.65 0.93 1.00 0.70 0.68 0.33 0.73 0.72 0.26 0.47 0.55 0.88 0.00 0.20 0.91 0.60 0.37 ]
[ 0.04 0.45 0.44 0.63 0.87 0.49 0.02 0.92 0.58 0.28 0.37 0.35 0.17 0.85 0.26 0.70 1.00 0.76 0.31 0.91 0.92 0.27 0.24 0.75 0.62 0.69 0.50 0.25 0.87 1.00 ]
[ 0.65 0.40 0.59 0.47 0.51 0.89 0.73 0.10 0.77 0.95 0.48 0.43 0.28 0.67 0.98 0.68 0.76 1.00 0.02 0.72 0.96 0.19 0.41 0.76 0.96 0.75 0.54 0.88 0.10 0.00 ]
[ 0.36 0.79 0.87 0.71 0.23 0.40 0.41 0.37 0.34 0.92 0.50 0.42 0.49 0.39 0.21 0.33 0.31 0.02 1.00 0.26 0.89 0.79 0.00 0.44 0.25 0.87 0.80 0.98 0.58 0.23 ]
[ 0.00 0.73 0.59 0.88 0.00 0.80 0.95 0.96 0.25 0.22 0.21 0.19 0.65 0.66 0.39 0.73 0.91 0.72 0.26 1.00 0.69 0.88 0.62 0.54 0.36 0.48 1.00 0.85 0.93 0.27 ]
[ 0.87 0.26 0.58 0.21 0.74 0.79 0.36 0.83 0.60 0.86 0.93 0.04 0.96 0.80 0.33 0.72 0.92 0.96 0.89 0.69 1.00 0.62 0.93 0.50 0.78 0.24 0.46 1.00 0.31 0.16 ]
[ 0.42 0.92 0.06 0.80 0.38 0.89 0.65 0.44 0.58 0.21 0.62 0.67 0.54 0.32 0.22 0.26 0.27 0.19 0.79 0.88 0.62 1.00 0.83 0.48 0.91 0.91 0.83 0.79 0.57 0.00 ]
[ 0.98 0.51 0.98 1.00 0.58 0.11 0.76 0.79 0.24 0.68 0.16 0.96 0.92 0.98 0.61 0.47 0.24 0.41 0.00 0.62 0.93 0.83 1.00 0.87 0.81 0.21 0.63 0.50 0.00 0.25 ]
[ 0.61 0.23 0.40 0.98 0.73 0.84 0.29 0.47 0.40 0.75 0.54 0.48 0.53 0.92 0.35 0.55 0.75 0.76 0.44 0.54 0.50 0.48 0.87 1.00 0.65 0.57 0.47 0.87 0.54 0.40 ]
[ 0.34 0.94 0.41 0.23 0.17 0.58 0.76 0.02 0.30 0.97 0.16 0.17 0.15 0.92 0.74 0.88 0.62 0.96 0.25 0.36 0.78 0.91 0.81 0.65 1.00 0.07 0.95 0.75 0.33 0.20 ]
[ 0.16 0.05 0.00 0.89 0.89 0.45 0.63 0.48 0.99 0.38 0.56 0.58 0.56 0.17 0.27 0.00 0.69 0.75 0.87 0.48 0.24 0.91 0.21 0.57 0.07 1.00 0.87 0.50 0.09 0.35 ]
[ 0.42 0.92 0.80 0.66 0.75 0.59 0.45 0.53 0.25 0.37 0.32 0.24 0.70 0.96 0.85 0.20 0.50 0.54 0.80 1.00 0.46 0.83 0.63 0.47 0.95 0.87 1.00 0.79 0.98 0.95 ]
[ 0.00 0.86 0.78 0.78 0.00 0.48 0.71 0.50 0.89 0.72 0.77 0.26 0.48 0.46 0.41 0.91 0.25 0.88 0.98 0.85 1.00 0.79 0.50 0.87 0.75 0.50 0.79 1.00 0.09 0.33 ]
[ 0.33 0.59 0.82 0.56 0.22 0.99 0.45 0.82 0.75 0.31 0.91 0.24 0.98 0.78 0.93 0.60 0.87 0.10 0.58 0.93 0.31 0.57 0.00 0.54 0.33 0.09 0.98 0.09 1.00 0.90 ]
