D = 10;
n = [ 0 0 2 1 1 2 1 0 0 0 ];

N = 31;
d = [ 3 3 4 5 6 6 7 6 6 2 10 3 2 9 2 3 1 2 1 2 8 8 3 7 6 2 6 8 8 5 4 ];
m = [
[ 1.00 0.68 0.92 0.00 0.22 0.55 0.19 0.11 0.04 0.65 0.36 0.00 0.87 0.42 0.98 0.61 0.34 0.16 0.42 0.00 0.33 0.87 0.73 0.33 0.99 0.64 0.72 0.98 0.87 0.93 0.24 ]
[ 0.68 1.00 0.41 0.24 0.90 0.89 0.59 0.45 0.40 0.79 0.73 0.26 0.92 0.51 0.23 0.94 0.05 0.92 0.86 0.59 0.71 0.04 0.92 0.26 0.82 0.44 0.79 0.37 0.08 0.96 0.48 ]
[ 0.92 0.41 1.00 0.36 0.87 0.54 0.44 0.59 0.87 0.59 0.58 0.06 0.98 0.40 0.41 0.00 0.80 0.78 0.82 0.78 0.91 0.90 0.02 0.88 0.60 0.81 0.67 0.56 0.00 0.41 0.43 ]
[ 0.00 0.24 0.36 1.00 0.90 0.63 0.47 0.71 0.88 0.21 0.80 1.00 0.98 0.23 0.89 0.66 0.78 0.56 0.66 0.85 0.52 0.79 0.84 0.64 0.05 0.18 0.47 0.64 0.36 0.38 0.87 ]
[ 0.22 0.90 0.87 0.90 1.00 0.51 0.23 0.00 0.74 0.38 0.58 0.73 0.17 0.89 0.75 0.00 0.22 0.33 0.76 0.58 0.21 0.34 0.69 0.64 0.30 0.44 0.42 0.82 0.49 0.89 0.40 ]
[ 0.55 0.89 0.54 0.63 0.51 1.00 0.80 0.79 0.89 0.11 0.84 0.58 0.45 0.59 0.48 0.99 0.83 0.38 0.34 0.07 0.50 0.79 0.32 0.94 0.58 0.90 0.02 0.73 0.41 0.95 0.36 ]
[ 0.19 0.59 0.44 0.47 0.23 0.80 1.00 0.65 0.76 0.29 0.76 0.63 0.45 0.71 0.45 0.27 0.65 0.59 0.51 0.43 0.79 0.65 0.62 0.48 0.92 0.10 0.37 0.96 0.83 0.44 0.79 ]
[ 0.11 0.45 0.59 0.71 0.00 0.79 0.65 1.00 0.47 0.02 0.48 0.53 0.50 0.82 0.95 0.95 0.28 0.72 0.49 0.31 0.76 0.67 0.58 0.77 0.34 0.25 0.60 0.58 0.24 0.40 0.30 ]
[ 0.04 0.40 0.87 0.88 0.74 0.89 0.76 0.47 1.00 0.99 0.25 0.89 0.75 0.75 0.95 0.16 0.89 0.90 0.99 0.34 0.28 0.95 0.92 0.22 0.86 0.21 0.68 0.75 0.97 0.38 0.37 ]
[ 0.65 0.79 0.59 0.21 0.38 0.11 0.29 0.02 0.99 1.00 0.72 0.31 0.22 0.95 0.62 0.04 0.00 0.66 0.37 0.48 0.50 0.21 0.93 0.62 0.16 0.54 0.16 0.56 0.32 0.77 0.91 ]
[ 0.36 0.73 0.58 0.80 0.58 0.84 0.76 0.48 0.25 0.72 1.00 0.13 1.00 0.25 0.18 0.94 0.35 0.43 0.42 0.19 0.04 0.67 0.96 0.48 0.17 0.58 0.24 0.26 0.24 0.43 0.80 ]
[ 0.00 0.26 0.06 1.00 0.73 0.58 0.63 0.53 0.89 0.31 0.13 1.00 0.96 0.65 0.17 0.28 0.49 0.65 0.96 0.54 0.92 0.53 0.15 0.56 0.70 0.48 0.98 0.29 0.58 0.65 0.85 ]
[ 0.87 0.92 0.98 0.98 0.17 0.45 0.45 0.50 0.75 0.22 1.00 0.96 1.00 0.67 0.39 0.66 0.80 0.32 0.98 0.92 0.92 0.17 0.96 0.46 0.78 0.04 0.93 0.26 0.98 0.21 0.39 ]
