D = 5;
n = [ 1 2 1 4 1 ];

N = 35;
d = [ 1 2 2 3 4 4 4 4 5 3 1 3 2 3 1 2 3 1 3 3 5 4 4 2 3 3 3 1 5 3 4 2 3 3 2 ];
m = [
[ 1.00 0.24 0.38 0.00 0.85 0.93 0.05 0.17 0.72 0.89 0.38 0.64 0.80 0.99 0.29 0.60 0.97 0.89 0.52 0.47 0.21 0.88 0.32 0.92 0.92 0.17 0.78 0.69 0.32 0.67 0.87 0.00 0.98 0.97 0.22 ]
[ 0.24 1.00 0.03 0.98 0.75 0.45 0.66 0.54 0.51 0.90 0.24 0.50 0.80 0.83 0.48 0.78 0.94 0.17 0.59 1.00 0.27 0.94 0.77 0.42 0.51 0.95 0.99 0.49 0.21 0.03 0.38 0.97 0.20 0.64 0.65 ]
[ 0.38 0.03 1.00 0.28 0.21 0.97 0.82 0.42 0.80 0.86 0.88 0.65 0.17 0.73 0.99 0.35 0.47 0.66 0.62 0.19 0.11 0.66 0.85 0.23 0.26 0.71 0.97 0.60 0.44 0.27 0.87 0.43 0.47 0.11 0.86 ]
[ 0.00 0.98 0.28 1.00 0.77 0.95 0.91 0.67 0.58 0.11 0.33 0.81 0.38 0.91 0.67 1.00 0.19 0.34 0.09 0.55 0.19 0.21 0.76 0.84 0.65 0.14 0.88 0.76 0.30 0.01 0.66 0.22 0.92 0.55 0.62 ]
[ 0.85 0.75 0.21 0.77 1.00 0.51 0.40 0.88 0.44 0.96 0.78 0.22 0.49 0.63 0.31 0.95 0.71 0.67 0.24 0.37 0.92 0.93 0.06 0.19 0.79 0.82 0.43 0.80 0.00 0.58 0.04 0.31 0.26 0.99 0.23 ]
[ 0.93 0.45 0.97 0.95 0.51 1.00 0.96 0.67 0.47 0.84 0.59 0.01 0.97 0.97 0.73 0.76 0.34 0.71 0.40 0.49 0.42 0.56 0.51 0.64 0.98 0.26 0.51 0.79 0.26 0.87 0.43 0.46 0.26 0.27 0.88 ]
[ 0.05 0.66 0.82 0.91 0.40 0.96 1.00 0.73 0.34 0.00 0.70 0.45 0.95 0.78 0.00 0.26 0.99 0.71 0.36 0.86 0.77 0.84 0.68 0.96 0.69 0.85 0.68 0.79 0.91 0.44 0.63 0.61 0.98 0.64 0.95 ]
[ 0.17 0.54 0.42 0.67 0.88 0.67 0.73 1.00 0.99 0.18 0.56 0.01 0.91 0.35 0.05 0.27 0.54 0.36 0.87 0.52 0.57 0.89 0.55 0.87 0.47 0.00 0.18 0.07 0.40 0.59 0.95 0.81 0.31 0.03 0.64 ]
[ 0.72 0.51 0.80 0.58 0.44 0.47 0.34 0.99 1.00 0.96 0.00 0.24 0.22 0.95 0.29 0.39 0.29 0.18 0.61 0.27 0.85 0.41 0.01 0.87 0.58 0.15 0.87 0.78 0.74 0.43 0.68 0.94 0.18 0.49 0.16 ]
[ 0.89 0.90 0.86 0.11 0.96 0.84 0.00 0.18 0.96 1.00 0.87 0.50 0.81 0.91 0.75 0.42 0.87 0.85 0.95 0.59 0.98 0.73 0.05 0.26 0.55 0.92 0.00 0.83 0.24 0.94 0.06 0.56 0.64 0.33 0.68 ]
[ 0.38 0.24 0.88 0.33 0.78 0.59 0.70 0.56 0.00 0.87 1.00 0.90 0.84 0.63 0.18 0.60 0.24 0.38 0.85 0.15 0.75 0.40 0.87 0.52 0.15 0.53 0.98 0.09 0.58 0.40 0.75 0.51 0.73 0.70 0.25 ]
[ 0.64 0.50 0.65 0.81 0.22 0.01 0.45 0.01 0.24 0.50 0.90 1.00 0.15 0.90 0.33 0.36 0.34 0.93 0.20 0.96 0.05 0.84 0.84 0.96 0.71 0.39 0.42 0.40 0.92 0.67 0.23 0.51 0.05 0.28 0.53 ]
