D = 6;
n = [ 3 2 3 4 2 2 ];

N = 36;
d = [ 1 1 1 2 2 3 3 3 4 4 4 4 5 5 6 6 6 3 3 4 4 1 3 1 3 2 6 5 3 5 2 2 4 1 2 2 ];
m = [
[ 1.00 0.97 0.29 0.90 0.68 0.94 0.98 0.65 0.47 0.00 0.59 0.72 0.15 0.24 0.44 0.37 0.90 0.38 0.44 0.73 0.49 0.90 0.42 0.29 0.00 0.84 0.61 0.27 0.66 0.12 0.43 0.29 0.47 0.34 0.71 0.70 ]
[ 0.97 1.00 0.07 0.14 0.63 0.25 0.52 0.55 0.74 0.76 0.66 0.92 0.70 0.21 0.19 0.88 0.90 0.91 0.90 0.96 0.98 0.29 0.85 0.54 0.51 0.47 0.24 0.42 0.56 0.27 0.97 0.93 0.41 0.84 0.35 0.62 ]
[ 0.29 0.07 1.00 0.61 0.50 0.60 0.94 0.50 0.43 0.82 0.93 0.33 0.28 0.21 0.88 0.58 0.87 0.82 0.18 0.95 0.90 0.58 0.48 0.78 0.66 0.95 0.43 0.83 0.15 0.33 0.93 0.91 0.70 0.46 0.84 0.41 ]
[ 0.90 0.14 0.61 1.00 0.45 0.26 0.21 0.68 0.80 0.21 0.90 0.79 0.87 0.48 0.86 0.34 0.34 0.62 0.73 0.53 0.17 0.25 0.69 0.80 0.36 0.18 0.86 0.77 0.87 0.97 0.33 0.18 0.72 0.69 0.69 0.98 ]
[ 0.68 0.63 0.50 0.45 1.00 0.17 0.79 0.80 0.51 0.75 0.74 0.93 0.23 0.87 0.98 0.00 0.77 0.74 0.62 0.91 0.90 0.16 0.20 0.37 0.90 0.68 0.42 0.91 0.71 0.31 0.75 0.69 0.49 0.40 0.21 0.24 ]
[ 0.94 0.25 0.60 0.26 0.17 1.00 0.77 0.98 0.82 0.75 0.96 0.87 0.37 0.88 0.93 0.75 0.19 0.26 0.32 0.63 0.31 0.70 0.14 0.20 0.97 0.88 0.08 0.58 0.77 1.00 0.36 0.00 0.40 0.85 0.95 0.56 ]
[ 0.98 0.52 0.94 0.21 0.79 0.77 1.00 0.96 0.12 0.41 0.79 0.30 0.50 0.91 0.90 0.67 0.33 0.48 0.16 0.53 0.66 0.52 0.34 0.64 0.23 0.50 0.40 0.77 0.46 0.65 0.94 0.99 0.59 0.79 0.32 0.61 ]
[ 0.65 0.55 0.50 0.68 0.80 0.98 0.96 1.00 0.64 0.35 0.46 0.18 0.19 0.56 0.33 0.89 0.68 0.48 0.47 0.27 0.97 0.66 0.54 0.18 0.55 0.32 0.37 0.54 0.72 0.97 0.57 0.69 0.86 0.65 0.60 0.09 ]
[ 0.47 0.74 0.43 0.80 0.51 0.82 0.12 0.64 1.00 0.84 0.53 0.96 0.72 0.80 0.90 0.37 0.58 0.85 0.29 0.49 0.85 0.88 0.21 0.57 0.38 0.86 0.24 0.07 0.87 0.84 0.95 0.38 0.46 0.10 0.85 0.94 ]
[ 0.00 0.76 0.82 0.21 0.75 0.75 0.41 0.35 0.84 1.00 0.10 0.65 0.62 0.92 0.99 0.75 0.40 0.84 0.96 0.79 0.34 0.58 0.09 0.40 0.43 0.94 0.70 0.13 0.95 0.47 0.00 0.37 0.33 0.56 0.41 0.60 ]
[ 0.59 0.66 0.93 0.90 0.74 0.96 0.79 0.46 0.53 0.10 1.00 0.73 0.90 0.49 0.78 0.85 0.95 0.62 0.99 0.59 0.56 0.31 0.70 0.53 0.31 0.80 0.95 0.68 0.35 0.58 0.38 0.00 1.00 0.66 0.63 0.00 ]
[ 0.72 0.92 0.33 0.79 0.93 0.87 0.30 0.18 0.96 0.65 0.73 1.00 0.15 0.71 0.05 0.66 0.82 0.71 0.73 0.94 0.00 0.79 0.20 0.26 0.88 0.43 0.25 0.68 0.22 0.93 0.52 0.20 0.22 0.29 0.75 0.94 ]
[ 0.15 0.70 0.28 0.87 0.23 0.37 0.50 0.19 0.72 0.62 0.90 0.15 1.00 0.23 0.34 0.60 0.75 0.55 0.66 0.40 0.48 0.63 0.70 0.28 0.59 0.98 0.35 0.92 0.88 0.44 0.70 0.98 0.77 0.79 0.88 0.22 ]
[ 0.24 0.21 0.21 0.48 0.87 0.88 0.91 0.56 0.80 0.92 0.49 0.71 0.23 1.00 0.66 0.64 0.16 0.42 0.28 0.50 0.85 0.90 0.57 0.62 0.98 0.16 0.16 0.39 0.29 0.98 0.32 0.46 0.46 0.99 0.21 0.21 ]
[ 0.44 0.19 0.88 0.86 0.98 0.93 0.90 0.33 0.90 0.99 0.78 0.05 0.34 0.66 1.00 0.91 0.90 0.30 0.91 0.53 0.70 0.38 0.69 0.54 0.47 0.27 0.86 0.65 0.04 0.41 0.14 0.69 0.69 0.30 0.18 0.53 ]
[ 0.37 0.88 0.58 0.34 0.00 0.75 0.67 0.89 0.37 0.75 0.85 0.66 0.60 0.64 0.91 1.00 0.38 0.99 0.91 0.96 0.35 0.67 0.08 0.37 0.34 0.01 0.47 0.45 0.74 0.91 0.44 0.96 0.97 0.73 0.24 0.00 ]
[ 0.90 0.90 0.87 0.34 0.77 0.19 0.33 0.68 0.58 0.40 0.95 0.82 0.75 0.16 0.90 0.38 1.00 0.91 0.68 0.99 0.01 0.49 0.69 0.88 0.87 0.47 0.97 0.28 0.86 0.08 0.68 0.97 0.64 0.96 0.15 0.62 ]
[ 0.38 0.91 0.82 0.62 0.74 0.26 0.48 0.48 0.85 0.84 0.62 0.71 0.55 0.42 0.30 0.99 0.91 1.00 0.91 0.73 0.73 0.69 0.49 0.11 0.55 0.01 0.97 0.90 0.04 0.78 0.40 0.44 0.37 0.45 0.31 0.13 ]
[ 0.44 0.90 0.18 0.73 0.62 0.32 0.16 0.47 0.29 0.96 0.99 0.73 0.66 0.28 0.91 0.91 0.68 0.91 1.00 0.89 0.16 0.98 0.86 0.59 0.17 0.64 0.19 0.47 0.80 0.56 0.27 0.45 0.57 0.76 0.65 0.19 ]
[ 0.73 0.96 0.95 0.53 0.91 0.63 0.53 0.27 0.49 0.79 0.59 0.94 0.40 0.50 0.53 0.96 0.99 0.73 0.89 1.00 0.81 0.92 0.37 0.27 0.54 0.63 0.74 0.93 0.82 0.23 0.17 0.96 0.29 0.20 0.69 0.60 ]
[ 0.49 0.98 0.90 0.17 0.90 0.31 0.66 0.97 0.85 0.34 0.56 0.00 0.48 0.85 0.70 0.35 0.01 0.73 0.16 0.81 1.00 0.17 0.68 0.28 0.95 0.72 0.39 0.93 0.46 0.16 0.57 0.22 0.62 0.82 0.29 0.76 ]
[ 0.90 0.29 0.58 0.25 0.16 0.70 0.52 0.66 0.88 0.58 0.31 0.79 0.63 0.90 0.38 0.67 0.49 0.69 0.98 0.92 0.17 1.00 0.92 0.81 0.33 0.26 0.13 0.90 0.59 0.21 0.38 0.58 0.25 0.34 0.15 0.55 ]
[ 0.42 0.85 0.48 0.69 0.20 0.14 0.34 0.54 0.21 0.09 0.70 0.20 0.70 0.57 0.69 0.08 0.69 0.49 0.86 0.37 0.68 0.92 1.00 0.83 0.19 0.90 0.95 0.02 0.54 0.69 0.29 0.67 0.92 0.42 1.00 0.70 ]
[ 0.29 0.54 0.78 0.80 0.37 0.20 0.64 0.18 0.57 0.40 0.53 0.26 0.28 0.62 0.54 0.37 0.88 0.11 0.59 0.27 0.28 0.81 0.83 1.00 0.40 0.93 1.00 0.40 0.79 0.18 0.90 0.40 0.26 0.67 0.08 0.60 ]
[ 0.00 0.51 0.66 0.36 0.90 0.97 0.23 0.55 0.38 0.43 0.31 0.88 0.59 0.98 0.47 0.34 0.87 0.55 0.17 0.54 0.95 0.33 0.19 0.40 1.00 0.53 0.18 0.54 0.72 0.09 0.72 0.97 0.00 0.11 0.64 0.28 ]
[ 0.84 0.47 0.95 0.18 0.68 0.88 0.50 0.32 0.86 0.94 0.80 0.43 0.98 0.16 0.27 0.01 0.47 0.01 0.64 0.63 0.72 0.26 0.90 0.93 0.53 1.00 0.59 0.18 0.71 0.89 0.00 0.32 0.18 0.41 0.87 0.50 ]
[ 0.61 0.24 0.43 0.86 0.42 0.08 0.40 0.37 0.24 0.70 0.95 0.25 0.35 0.16 0.86 0.47 0.97 0.97 0.19 0.74 0.39 0.13 0.95 1.00 0.18 0.59 1.00 0.50 0.90 0.92 1.00 0.62 0.55 0.76 0.56 0.45 ]
