D = 10;
n = [ 0 0 2 1 0 2 1 1 0 1 ];

N = 41;
d = [ 3 3 4 6 6 7 8 10 10 8 3 2 2 5 5 10 4 5 7 3 5 9 4 1 1 5 3 3 7 7 9 9 6 1 9 1 1 9 2 2 6 ];
m = [
[ 1.00 0.31 0.13 0.19 0.52 0.04 0.70 0.68 0.22 0.09 0.05 0.88 0.90 0.96 0.44 0.34 0.63 0.30 0.26 0.28 0.97 0.69 0.36 0.64 0.27 0.20 0.28 0.94 0.92 0.68 0.18 0.03 0.08 0.04 0.64 0.41 0.80 0.23 0.95 0.94 0.24 ]
[ 0.31 1.00 0.39 0.99 0.72 0.34 0.40 0.58 0.00 0.87 0.05 0.10 0.88 0.66 0.37 0.00 0.56 0.89 0.29 0.33 0.91 0.44 0.20 0.56 0.69 0.58 0.56 0.77 0.52 0.27 0.00 0.03 0.26 0.31 0.32 0.65 0.29 0.71 0.49 0.68 0.89 ]
[ 0.13 0.39 1.00 0.00 0.42 0.01 0.77 0.77 0.91 0.32 0.58 0.57 0.93 0.12 0.09 0.96 0.95 0.51 0.51 0.53 0.21 0.27 0.26 0.85 0.50 0.99 0.00 0.53 0.86 0.82 0.54 0.62 0.75 0.98 0.44 0.30 0.80 0.49 0.82 0.78 0.17 ]
[ 0.19 0.99 0.00 1.00 0.47 0.63 0.36 0.81 0.65 0.06 0.72 0.34 0.80 0.50 1.00 0.99 0.90 0.85 0.91 0.40 0.87 0.77 0.97 0.96 0.90 0.77 0.43 0.70 0.75 0.92 0.11 0.38 0.90 0.31 0.90 0.95 0.60 0.84 0.91 0.82 0.73 ]
[ 0.52 0.72 0.42 0.47 1.00 0.74 0.16 0.53 0.79 0.65 0.47 0.60 0.42 0.55 0.07 0.34 0.70 0.93 0.82 0.76 0.39 0.85 0.40 0.31 0.55 0.78 0.85 0.72 0.43 0.24 0.58 0.82 0.61 0.54 0.15 0.42 0.25 0.00 0.92 0.81 0.50 ]
[ 0.04 0.34 0.01 0.63 0.74 1.00 0.62 0.77 0.38 0.94 0.42 0.37 0.45 0.91 0.89 0.80 0.06 0.73 0.85 0.66 0.22 0.97 0.96 0.83 0.82 0.97 0.17 0.23 0.97 0.00 0.20 0.37 0.84 0.57 0.94 0.93 0.17 0.39 0.92 0.68 1.00 ]
[ 0.70 0.40 0.77 0.36 0.16 0.62 1.00 0.90 0.40 0.47 0.29 0.28 0.55 0.18 0.86 0.40 0.55 0.30 0.56 0.91 0.57 0.94 0.92 0.99 0.89 0.95 0.06 0.69 0.39 0.93 0.47 0.24 0.96 0.58 0.98 0.41 0.26 0.21 0.75 0.92 0.43 ]
[ 0.68 0.58 0.77 0.81 0.53 0.77 0.90 1.00 0.59 0.81 0.96 0.29 0.65 0.87 0.63 0.27 0.88 0.04 0.93 0.51 0.21 0.62 0.50 0.61 0.75 0.93 0.00 0.66 0.58 0.82 0.20 0.59 0.83 0.61 0.32 0.17 0.29 0.93 0.77 0.91 0.92 ]
[ 0.22 0.00 0.91 0.65 0.79 0.38 0.40 0.59 1.00 0.53 0.98 0.79 0.62 0.99 0.63 0.22 0.33 0.27 0.76 0.06 0.94 0.71 0.55 0.50 0.28 0.23 0.37 0.93 0.79 0.66 0.18 0.89 0.56 0.70 0.57 0.52 0.24 0.62 0.00 0.27 0.66 ]
[ 0.09 0.87 0.32 0.06 0.65 0.94 0.47 0.81 0.53 1.00 0.13 0.53 0.38 0.71 0.32 0.13 0.59 0.61 0.80 0.60 0.95 0.31 0.51 0.52 0.61 0.99 0.01 0.44 1.00 0.27 0.57 0.89 0.26 0.04 0.20 0.29 0.67 0.96 0.39 0.81 0.50 ]
[ 0.05 0.05 0.58 0.72 0.47 0.42 0.29 0.96 0.98 0.13 1.00 0.51 0.00 0.80 0.89 0.21 0.96 0.71 0.34 0.32 0.72 0.54 0.77 0.89 0.38 0.21 0.85 0.00 0.93 0.69 0.52 0.55 0.95 0.72 0.99 0.98 0.41 0.77 0.79 0.27 0.28 ]
[ 0.88 0.10 0.57 0.34 0.60 0.37 0.28 0.29 0.79 0.53 0.51 1.00 0.25 0.64 0.40 0.38 0.67 0.19 0.98 0.84 0.41 0.89 0.89 0.34 0.53 0.16 0.32 0.43 0.96 0.48 0.41 0.29 0.61 0.45 0.83 0.31 0.41 0.09 0.23 0.97 0.86 ]
[ 0.90 0.88 0.93 0.80 0.42 0.45 0.55 0.65 0.62 0.38 0.00 0.25 1.00 0.41 0.16 0.63 0.76 0.70 0.83 0.40 0.32 0.88 0.29 0.54 0.77 0.30 0.85 0.61 0.72 0.91 0.71 0.53 0.89 0.99 0.38 0.74 0.18 0.70 0.45 0.73 0.93 ]
