D = 7;
n = [ 3 2 0 3 0 3 0 ];

N = 46;
d = [ 1 1 1 2 2 4 4 4 6 6 6 4 1 7 3 4 4 4 7 6 5 6 3 3 5 6 5 6 7 1 3 4 1 3 4 3 1 1 5 7 5 2 1 3 6 3 ];
m = [
[ 1.00 0.69 0.84 0.76 0.41 0.67 0.87 0.98 0.55 0.38 0.57 0.54 0.31 0.01 0.60 0.68 0.00 0.00 0.95 0.38 0.89 0.89 0.25 0.37 0.46 0.07 0.94 0.46 0.28 0.46 0.41 0.81 0.57 0.61 0.97 0.74 0.95 0.21 0.53 0.73 0.34 0.68 0.90 0.20 0.75 0.67 ]
[ 0.69 1.00 0.94 0.40 0.19 0.49 1.00 0.99 0.48 0.92 0.91 1.00 0.56 0.00 0.78 0.58 0.70 0.87 0.65 0.40 0.78 0.42 0.91 0.10 0.28 0.52 0.17 0.88 0.44 0.31 0.75 0.64 0.83 0.60 0.63 0.56 0.41 0.38 0.63 0.70 0.58 0.86 0.25 0.37 0.88 0.98 ]
[ 0.84 0.94 1.00 0.42 0.61 0.06 0.17 0.36 0.10 0.57 0.43 0.15 0.26 0.92 0.32 0.48 0.27 0.22 0.95 0.09 0.98 0.94 0.87 0.50 0.55 0.70 0.42 0.27 0.41 0.69 0.04 0.27 0.77 0.92 0.69 0.98 0.20 0.49 0.42 0.82 0.20 0.99 0.93 0.85 0.68 0.50 ]
[ 0.76 0.40 0.42 1.00 0.15 0.92 0.82 0.91 0.00 0.36 0.23 0.97 0.03 0.32 0.76 0.86 0.51 0.90 0.82 0.78 0.22 0.49 0.93 0.44 0.92 0.09 0.49 0.98 0.28 0.71 0.24 0.43 0.21 0.18 0.00 0.81 0.80 0.53 0.00 1.00 0.04 0.17 0.01 0.89 0.27 0.87 ]
[ 0.41 0.19 0.61 0.15 1.00 0.51 0.76 0.78 0.60 0.15 0.78 0.43 0.57 0.47 0.94 0.21 0.59 0.26 0.87 0.38 0.36 0.53 0.96 0.24 0.43 0.98 0.28 0.65 0.94 0.91 0.80 0.74 0.09 0.46 0.37 0.20 0.59 0.97 0.20 0.71 0.18 0.69 0.99 0.15 0.62 0.67 ]
[ 0.67 0.49 0.06 0.92 0.51 1.00 0.73 0.26 0.55 0.31 0.91 0.51 0.99 0.43 0.88 0.47 0.78 0.07 0.65 0.00 0.42 0.24 0.63 0.25 0.35 0.41 0.24 0.63 0.57 0.53 0.30 0.18 0.60 0.83 0.83 0.13 0.90 0.39 0.67 0.87 0.89 0.29 0.30 0.93 0.75 0.43 ]
[ 0.87 1.00 0.17 0.82 0.76 0.73 1.00 0.70 0.53 0.64 0.00 0.62 0.12 0.37 0.41 0.58 0.50 0.22 0.73 0.33 0.82 0.55 0.48 0.70 0.28 0.58 0.26 0.95 0.37 0.75 0.90 0.53 0.87 0.78 0.22 0.60 0.89 0.20 0.75 0.94 0.20 0.67 0.93 0.30 0.46 0.53 ]
[ 0.98 0.99 0.36 0.91 0.78 0.26 0.70 1.00 0.53 0.61 0.67 0.56 0.66 0.99 0.92 0.62 0.74 0.39 0.54 0.25 0.51 0.14 0.92 0.68 0.56 0.59 0.00 0.30 0.64 0.86 0.99 0.39 0.79 0.54 0.88 1.00 0.87 0.31 0.70 0.75 0.37 0.42 0.32 0.74 0.18 0.58 ]
[ 0.55 0.48 0.10 0.00 0.60 0.55 0.53 0.53 1.00 0.16 0.27 0.58 0.69 0.91 0.22 0.23 0.95 0.19 0.62 0.97 0.17 0.61 1.00 0.97 0.95 0.53 0.68 0.55 0.99 0.36 0.92 0.91 0.38 0.57 0.74 0.20 0.42 0.68 0.46 0.99 0.42 0.81 0.00 0.08 0.94 1.00 ]
[ 0.38 0.92 0.57 0.36 0.15 0.31 0.64 0.61 0.16 1.00 0.80 0.86 0.66 0.60 0.42 0.72 0.43 0.85 0.83 0.64 0.83 0.17 0.98 0.97 0.15 0.87 0.27 0.83 0.67 0.60 0.59 0.91 0.85 0.70 0.16 0.19 0.95 0.22 0.59 0.82 0.61 0.55 0.00 0.53 0.00 0.91 ]
[ 0.57 0.91 0.43 0.23 0.78 0.91 0.00 0.67 0.27 0.80 1.00 0.70 0.93 0.73 0.57 0.16 0.98 0.70 0.01 0.55 0.33 0.60 0.96 0.59 0.88 0.48 0.72 0.07 0.86 0.41 0.20 0.69 0.41 0.76 0.75 0.46 0.59 0.48 0.93 0.65 0.68 0.91 0.46 0.99 0.21 0.88 ]
