D = 10;
n = [ 2 3 2 4 1 3 1 0 0 2 ];

N = 50;
d = [ 1 1 2 2 2 3 3 4 4 4 4 5 6 6 6 7 10 10 9 1 2 6 8 10 9 10 6 1 9 8 7 7 5 1 5 1 9 8 2 3 6 9 7 9 10 6 4 10 10 4 ];
m = [
[ 1.00 0.00 0.79 0.53 0.51 0.41 0.19 0.71 0.96 0.10 0.39 0.27 0.61 0.54 0.21 0.98 0.68 0.98 0.37 0.81 0.44 0.65 0.92 0.24 0.74 0.89 0.94 0.09 0.54 0.34 0.73 0.00 0.57 0.95 0.33 0.29 0.49 0.71 0.15 0.86 0.26 0.92 0.47 0.15 0.47 0.00 0.84 0.79 0.23 0.98 ]
[ 0.00 1.00 0.10 0.48 0.53 0.21 0.57 0.97 0.16 0.22 0.28 0.03 0.30 0.11 0.42 0.70 0.31 0.13 0.62 0.85 0.59 0.69 0.34 0.84 0.13 0.11 0.26 0.10 0.88 0.94 0.19 0.86 0.85 0.27 0.36 0.76 0.04 0.25 0.30 0.97 0.88 0.24 0.55 0.67 0.31 0.38 0.64 0.56 0.40 0.39 ]
[ 0.79 0.10 1.00 0.80 0.55 0.76 0.67 0.00 0.55 0.86 0.04 0.96 0.28 0.90 0.73 0.29 0.30 0.56 0.32 0.98 0.70 0.39 0.73 0.39 0.57 0.56 0.73 0.16 0.12 0.52 0.85 0.13 0.58 0.27 0.10 0.38 0.25 0.99 0.22 0.42 0.65 0.56 0.89 0.08 0.82 0.66 0.97 0.26 0.18 0.89 ]
[ 0.53 0.48 0.80 1.00 0.42 0.88 0.89 0.50 0.92 0.20 0.74 0.95 0.33 0.88 0.38 0.87 0.93 0.53 0.61 0.35 0.92 0.93 0.94 0.24 0.80 0.28 0.75 0.13 0.00 0.22 0.46 0.92 0.55 0.23 0.48 0.45 0.43 0.86 0.92 0.89 0.18 0.64 0.37 0.64 0.63 0.68 0.73 0.96 0.86 0.53 ]
[ 0.51 0.53 0.55 0.42 1.00 0.69 0.17 0.13 0.90 0.03 0.74 0.19 0.19 0.23 0.00 0.12 0.55 0.41 0.60 0.77 0.37 0.03 0.92 0.25 0.96 0.67 0.90 0.06 0.18 1.00 0.56 0.38 0.11 0.83 0.48 0.98 0.04 0.20 0.49 0.31 0.62 0.53 0.82 0.76 0.64 0.70 0.59 0.45 0.72 0.11 ]
[ 0.41 0.21 0.76 0.88 0.69 1.00 0.32 0.20 0.60 0.00 0.24 0.46 0.00 0.98 0.90 0.77 0.51 0.87 0.00 0.32 0.11 0.58 0.40 0.18 0.91 0.55 0.97 0.17 0.80 0.18 0.71 0.74 0.41 0.36 0.81 0.91 0.57 0.02 0.76 0.06 0.77 0.97 0.75 0.76 0.00 0.79 0.01 0.94 0.25 0.52 ]
[ 0.19 0.57 0.67 0.89 0.17 0.32 1.00 0.23 0.95 0.62 0.80 0.55 0.16 0.85 0.94 0.73 0.55 0.67 0.41 0.33 0.19 0.02 0.65 0.62 0.18 0.22 1.00 0.21 0.48 0.83 0.71 0.00 0.91 0.37 0.97 0.87 0.88 0.99 0.32 0.47 0.30 0.67 0.70 0.35 0.77 0.11 0.27 0.93 0.99 0.91 ]
[ 0.71 0.97 0.00 0.50 0.13 0.20 0.23 1.00 0.15 0.00 0.29 0.44 0.37 0.47 0.71 0.96 0.18 0.34 0.84 0.55 0.97 0.93 0.19 0.96 0.42 0.36 0.40 0.56 0.90 0.59 0.90 0.21 0.06 0.28 0.84 0.42 0.75 0.24 0.34 0.96 0.25 0.32 0.67 0.27 0.98 0.87 0.23 0.54 0.55 0.82 ]
[ 0.96 0.16 0.55 0.92 0.90 0.60 0.95 0.15 1.00 0.08 0.90 0.31 0.35 0.37 0.87 0.85 0.83 0.31 0.72 0.99 0.37 0.28 0.56 0.09 0.90 0.76 0.49 0.86 0.57 0.96 0.77 0.25 0.93 1.00 0.49 0.39 0.81 0.95 0.35 0.20 0.43 0.31 0.01 0.10 0.96 0.43 0.88 0.07 0.79 0.87 ]
[ 0.10 0.22 0.86 0.20 0.03 0.00 0.62 0.00 0.08 1.00 0.05 0.29 0.84 0.98 0.87 0.98 0.98 0.06 0.42 0.93 0.48 0.65 0.92 0.42 0.59 0.97 1.00 0.89 0.74 0.30 0.18 0.53 0.25 0.68 0.19 0.95 0.88 0.27 0.93 0.18 0.20 0.26 0.97 0.84 0.56 0.10 0.34 0.50 0.88 0.80 ]
[ 0.39 0.28 0.04 0.74 0.74 0.24 0.80 0.29 0.90 0.05 1.00 0.53 0.67 0.99 0.43 0.48 0.60 0.33 0.56 0.89 0.65 0.69 0.92 0.54 0.45 0.29 1.00 0.14 0.48 0.10 0.38 0.36 0.62 0.00 0.32 1.00 0.38 0.55 0.34 0.89 0.18 0.44 0.83 0.05 0.94 0.05 0.50 0.71 0.24 0.03 ]
[ 0.27 0.03 0.96 0.95 0.19 0.46 0.55 0.44 0.31 0.29 0.53 1.00 0.84 0.88 0.86 0.85 0.40 0.93 0.33 0.70 0.21 0.99 0.90 0.88 0.66 0.34 0.91 0.30 0.65 0.62 0.26 0.18 0.81 0.78 0.50 0.45 0.97 0.36 0.59 0.80 0.93 0.00 0.98 0.45 0.44 0.77 0.83 0.29 0.50 0.91 ]
[ 0.61 0.30 0.28 0.33 0.19 0.00 0.16 0.37 0.35 0.84 0.67 0.84 1.00 0.89 0.87 0.77 0.87 0.24 0.81 0.02 0.64 0.13 0.89 0.14 0.91 0.10 0.91 0.41 0.78 0.76 0.50 0.53 0.69 0.36 0.26 0.74 0.92 0.83 0.80 0.75 0.74 0.81 0.96 0.18 0.82 0.95 0.95 0.23 0.78 0.24 ]
[ 0.54 0.11 0.90 0.88 0.23 0.98 0.85 0.47 0.37 0.98 0.99 0.88 0.89 1.00 0.76 0.79 0.95 0.20 0.97 0.00 0.62 0.98 0.31 0.99 0.26 0.56 0.52 0.66 0.65 0.22 0.17 0.64 0.66 0.92 0.44 0.33 0.76 0.16 0.38 0.84 0.75 0.22 0.42 0.40 0.84 0.98 0.51 0.42 0.28 0.55 ]
[ 0.21 0.42 0.73 0.38 0.00 0.90 0.94 0.71 0.87 0.87 0.43 0.86 0.87 0.76 1.00 0.89 0.96 0.83 0.29 0.64 0.97 0.68 0.81 0.64 0.89 0.96 0.64 0.65 0.51 0.80 0.93 0.80 0.34 0.81 0.88 0.95 0.88 0.76 0.93 0.92 0.89 0.99 0.46 0.18 0.52 0.17 0.02 0.33 0.13 0.77 ]
[ 0.98 0.70 0.29 0.87 0.12 0.77 0.73 0.96 0.85 0.98 0.48 0.85 0.77 0.79 0.89 1.00 0.97 0.86 0.14 0.27 0.52 0.32 0.97 0.68 0.68 0.87 0.70 0.38 0.26 0.40 0.69 0.86 0.97 0.59 0.23 0.27 0.43 0.06 0.93 0.43 0.15 0.57 0.67 0.63 0.50 0.79 0.34 0.77 0.27 0.68 ]
[ 0.68 0.31 0.30 0.93 0.55 0.51 0.55 0.18 0.83 0.98 0.60 0.40 0.87 0.95 0.96 0.97 1.00 0.90 0.79 0.90 0.99 0.51 0.29 0.74 0.32 0.64 0.92 0.83 0.49 0.43 0.35 0.98 0.74 0.99 0.14 0.22 0.28 0.25 0.23 0.26 0.94 0.35 0.86 0.47 0.51 0.80 0.44 0.74 0.86 0.16 ]
[ 0.98 0.13 0.56 0.53 0.41 0.87 0.67 0.34 0.31 0.06 0.33 0.93 0.24 0.20 0.83 0.86 0.90 1.00 0.87 0.73 0.65 0.62 0.99 0.28 0.00 0.92 0.97 0.19 0.33 0.34 0.39 0.78 0.25 0.58 0.97 0.99 0.46 0.69 0.77 0.92 0.90 0.16 0.62 0.45 0.84 0.15 0.97 0.99 0.94 0.21 ]
[ 0.37 0.62 0.32 0.61 0.60 0.00 0.41 0.84 0.72 0.42 0.56 0.33 0.81 0.97 0.29 0.14 0.79 0.87 1.00 0.32 0.51 1.00 0.82 0.78 0.34 0.90 0.90 0.40 0.81 0.46 0.61 0.97 0.29 0.23 0.12 0.38 0.01 0.58 0.26 0.91 0.96 0.11 0.68 0.97 0.91 0.58 0.47 0.61 0.73 0.80 ]
[ 0.81 0.85 0.98 0.35 0.77 0.32 0.33 0.55 0.99 0.93 0.89 0.70 0.02 0.00 0.64 0.27 0.90 0.73 0.32 1.00 0.25 0.99 0.55 0.00 0.66 0.58 0.74 0.98 0.23 0.62 0.40 0.45 0.90 0.21 0.62 0.99 1.00 0.35 0.96 0.42 1.00 0.59 0.39 0.11 0.47 0.33 0.04 0.32 0.08 0.56 ]
[ 0.44 0.59 0.70 0.92 0.37 0.11 0.19 0.97 0.37 0.48 0.65 0.21 0.64 0.62 0.97 0.52 0.99 0.65 0.51 0.25 1.00 0.27 0.08 0.62 0.90 0.62 0.77 0.65 0.49 0.17 0.93 0.94 0.36 0.92 0.45 0.74 0.28 0.93 0.28 0.93 0.57 0.33 0.74 0.15 0.86 0.08 0.51 0.38 0.81 0.39 ]
[ 0.65 0.69 0.39 0.93 0.03 0.58 0.02 0.93 0.28 0.65 0.69 0.99 0.13 0.98 0.68 0.32 0.51 0.62 1.00 0.99 0.27 1.00 0.96 0.42 0.88 0.95 0.86 0.79 0.41 0.27 0.26 0.53 0.30 0.96 0.27 0.53 0.74 0.49 0.00 0.98 0.35 0.03 0.76 0.94 0.96 0.66 0.99 0.50 0.87 0.75 ]
[ 0.92 0.34 0.73 0.94 0.92 0.40 0.65 0.19 0.56 0.92 0.92 0.90 0.89 0.31 0.81 0.97 0.29 0.99 0.82 0.55 0.08 0.96 1.00 0.66 0.41 0.69 0.39 0.38 0.77 0.85 0.89 0.46 0.46 0.61 0.87 0.20 0.64 0.28 0.16 0.00 0.43 0.33 0.22 0.84 0.51 0.90 0.98 0.00 0.96 0.30 ]
[ 0.24 0.84 0.39 0.24 0.25 0.18 0.62 0.96 0.09 0.42 0.54 0.88 0.14 0.99 0.64 0.68 0.74 0.28 0.78 0.00 0.62 0.42 0.66 1.00 0.72 0.84 1.00 0.20 0.32 0.20 0.49 1.00 0.80 0.23 0.23 0.56 0.55 0.11 0.45 0.67 0.35 0.23 0.43 0.44 0.89 0.41 0.38 0.98 0.82 0.51 ]
[ 0.74 0.13 0.57 0.80 0.96 0.91 0.18 0.42 0.90 0.59 0.45 0.66 0.91 0.26 0.89 0.68 0.32 0.00 0.34 0.66 0.90 0.88 0.41 0.72 1.00 0.64 0.68 0.98 0.94 0.07 0.53 0.86 0.85 0.13 0.22 0.78 0.98 0.72 0.48 0.67 0.73 0.20 0.65 0.00 0.37 0.53 0.69 0.65 0.34 0.89 ]
[ 0.89 0.11 0.56 0.28 0.67 0.55 0.22 0.36 0.76 0.97 0.29 0.34 0.10 0.56 0.96 0.87 0.64 0.92 0.90 0.58 0.62 0.95 0.69 0.84 0.64 1.00 0.34 0.55 0.89 0.93 0.34 0.66 0.26 0.37 0.98 0.74 0.49 0.98 0.61 0.64 0.67 0.94 0.90 0.96 0.83 0.94 0.95 0.92 0.00 0.71 ]
[ 0.94 0.26 0.73 0.75 0.90 0.97 1.00 0.40 0.49 1.00 1.00 0.91 0.91 0.52 0.64 0.70 0.92 0.97 0.90 0.74 0.77 0.86 0.39 1.00 0.68 0.34 1.00 0.39 0.91 0.08 0.91 0.46 0.93 0.65 0.83 0.73 0.92 0.23 0.84 0.46 0.73 0.96 0.70 0.62 0.59 0.83 0.00 0.85 0.69 0.15 ]
[ 0.09 0.10 0.16 0.13 0.06 0.17 0.21 0.56 0.86 0.89 0.14 0.30 0.41 0.66 0.65 0.38 0.83 0.19 0.40 0.98 0.65 0.79 0.38 0.20 0.98 0.55 0.39 1.00 0.92 0.77 0.32 0.66 0.38 0.50 0.91 0.69 0.39 0.41 0.95 0.85 0.96 0.29 0.96 0.34 0.01 0.86 0.87 0.50 0.84 0.94 ]
[ 0.54 0.88 0.12 0.00 0.18 0.80 0.48 0.90 0.57 0.74 0.48 0.65 0.78 0.65 0.51 0.26 0.49 0.33 0.81 0.23 0.49 0.41 0.77 0.32 0.94 0.89 0.91 0.92 1.00 0.33 0.55 0.98 0.55 0.36 0.28 0.55 0.56 0.57 0.92 0.85 0.79 0.40 0.00 0.38 0.89 0.64 0.35 0.50 0.75 0.52 ]
[ 0.34 0.94 0.52 0.22 1.00 0.18 0.83 0.59 0.96 0.30 0.10 0.62 0.76 0.22 0.80 0.40 0.43 0.34 0.46 0.62 0.17 0.27 0.85 0.20 0.07 0.93 0.08 0.77 0.33 1.00 0.88 0.16 0.26 0.28 0.96 0.85 0.68 0.60 0.96 0.09 0.63 0.58 0.57 0.29 0.24 0.78 0.90 0.79 0.31 0.47 ]
[ 0.73 0.19 0.85 0.46 0.56 0.71 0.71 0.90 0.77 0.18 0.38 0.26 0.50 0.17 0.93 0.69 0.35 0.39 0.61 0.40 0.93 0.26 0.89 0.49 0.53 0.34 0.91 0.32 0.55 0.88 1.00 0.81 0.35 0.56 0.76 0.78 0.35 0.71 0.94 0.16 0.76 0.92 0.48 0.64 0.33 0.50 0.14 0.88 0.25 0.24 ]
[ 0.00 0.86 0.13 0.92 0.38 0.74 0.00 0.21 0.25 0.53 0.36 0.18 0.53 0.64 0.80 0.86 0.98 0.78 0.97 0.45 0.94 0.53 0.46 1.00 0.86 0.66 0.46 0.66 0.98 0.16 0.81 1.00 0.01 0.51 0.95 0.89 0.96 0.83 0.91 0.42 0.34 0.89 0.85 0.32 0.04 0.87 0.02 0.44 0.00 0.81 ]
[ 0.57 0.85 0.58 0.55 0.11 0.41 0.91 0.06 0.93 0.25 0.62 0.81 0.69 0.66 0.34 0.97 0.74 0.25 0.29 0.90 0.36 0.30 0.46 0.80 0.85 0.26 0.93 0.38 0.55 0.26 0.35 0.01 1.00 0.99 0.75 0.84 0.25 0.55 0.84 0.77 0.69 0.87 0.61 0.73 0.30 0.31 0.60 0.73 0.20 0.73 ]
[ 0.95 0.27 0.27 0.23 0.83 0.36 0.37 0.28 1.00 0.68 0.00 0.78 0.36 0.92 0.81 0.59 0.99 0.58 0.23 0.21 0.92 0.96 0.61 0.23 0.13 0.37 0.65 0.50 0.36 0.28 0.56 0.51 0.99 1.00 0.82 0.19 0.06 0.96 0.22 0.49 0.85 0.46 0.60 0.67 0.92 0.90 0.46 0.64 0.84 0.45 ]
[ 0.33 0.36 0.10 0.48 0.48 0.81 0.97 0.84 0.49 0.19 0.32 0.50 0.26 0.44 0.88 0.23 0.14 0.97 0.12 0.62 0.45 0.27 0.87 0.23 0.22 0.98 0.83 0.91 0.28 0.96 0.76 0.95 0.75 0.82 1.00 0.40 0.18 0.02 0.00 0.88 0.61 0.90 0.52 0.78 0.96 0.34 0.23 0.28 0.21 0.35 ]
[ 0.29 0.76 0.38 0.45 0.98 0.91 0.87 0.42 0.39 0.95 1.00 0.45 0.74 0.33 0.95 0.27 0.22 0.99 0.38 0.99 0.74 0.53 0.20 0.56 0.78 0.74 0.73 0.69 0.55 0.85 0.78 0.89 0.84 0.19 0.40 1.00 0.25 0.83 0.34 0.68 0.79 0.05 0.21 0.97 0.96 0.44 0.50 0.33 0.86 0.80 ]
[ 0.49 0.04 0.25 0.43 0.04 0.57 0.88 0.75 0.81 0.88 0.38 0.97 0.92 0.76 0.88 0.43 0.28 0.46 0.01 1.00 0.28 0.74 0.64 0.55 0.98 0.49 0.92 0.39 0.56 0.68 0.35 0.96 0.25 0.06 0.18 0.25 1.00 0.87 0.70 0.92 0.79 0.49 0.67 0.62 0.84 0.97 0.41 0.53 0.21 0.48 ]
[ 0.71 0.25 0.99 0.86 0.20 0.02 0.99 0.24 0.95 0.27 0.55 0.36 0.83 0.16 0.76 0.06 0.25 0.69 0.58 0.35 0.93 0.49 0.28 0.11 0.72 0.98 0.23 0.41 0.57 0.60 0.71 0.83 0.55 0.96 0.02 0.83 0.87 1.00 0.61 0.70 0.11 0.97 0.88 0.33 1.00 0.71 0.25 0.12 0.88 0.99 ]
[ 0.15 0.30 0.22 0.92 0.49 0.76 0.32 0.34 0.35 0.93 0.34 0.59 0.80 0.38 0.93 0.93 0.23 0.77 0.26 0.96 0.28 0.00 0.16 0.45 0.48 0.61 0.84 0.95 0.92 0.96 0.94 0.91 0.84 0.22 0.00 0.34 0.70 0.61 1.00 0.31 0.40 0.53 0.95 0.91 0.12 0.90 0.56 0.72 0.63 0.55 ]
[ 0.86 0.97 0.42 0.89 0.31 0.06 0.47 0.96 0.20 0.18 0.89 0.80 0.75 0.84 0.92 0.43 0.26 0.92 0.91 0.42 0.93 0.98 0.00 0.67 0.67 0.64 0.46 0.85 0.85 0.09 0.16 0.42 0.77 0.49 0.88 0.68 0.92 0.70 0.31 1.00 0.49 0.14 0.75 0.82 0.67 0.90 0.92 0.80 0.86 0.93 ]
[ 0.26 0.88 0.65 0.18 0.62 0.77 0.30 0.25 0.43 0.20 0.18 0.93 0.74 0.75 0.89 0.15 0.94 0.90 0.96 1.00 0.57 0.35 0.43 0.35 0.73 0.67 0.73 0.96 0.79 0.63 0.76 0.34 0.69 0.85 0.61 0.79 0.79 0.11 0.40 0.49 1.00 0.42 0.42 0.46 0.12 0.83 0.94 0.02 0.69 0.96 ]
[ 0.92 0.24 0.56 0.64 0.53 0.97 0.67 0.32 0.31 0.26 0.44 0.00 0.81 0.22 0.99 0.57 0.35 0.16 0.11 0.59 0.33 0.03 0.33 0.23 0.20 0.94 0.96 0.29 0.40 0.58 0.92 0.89 0.87 0.46 0.90 0.05 0.49 0.97 0.53 0.14 0.42 1.00 0.00 0.92 0.86 0.91 0.51 0.81 0.86 0.29 ]
[ 0.47 0.55 0.89 0.37 0.82 0.75 0.70 0.67 0.01 0.97 0.83 0.98 0.96 0.42 0.46 0.67 0.86 0.62 0.68 0.39 0.74 0.76 0.22 0.43 0.65 0.90 0.70 0.96 0.00 0.57 0.48 0.85 0.61 0.60 0.52 0.21 0.67 0.88 0.95 0.75 0.42 0.00 1.00 0.25 0.44 0.82 0.36 0.25 0.46 0.93 ]
[ 0.15 0.67 0.08 0.64 0.76 0.76 0.35 0.27 0.10 0.84 0.05 0.45 0.18 0.40 0.18 0.63 0.47 0.45 0.97 0.11 0.15 0.94 0.84 0.44 0.00 0.96 0.62 0.34 0.38 0.29 0.64 0.32 0.73 0.67 0.78 0.97 0.62 0.33 0.91 0.82 0.46 0.92 0.25 1.00 0.46 0.27 0.27 0.00 0.55 0.85 ]
[ 0.47 0.31 0.82 0.63 0.64 0.00 0.77 0.98 0.96 0.56 0.94 0.44 0.82 0.84 0.52 0.50 0.51 0.84 0.91 0.47 0.86 0.96 0.51 0.89 0.37 0.83 0.59 0.01 0.89 0.24 0.33 0.04 0.30 0.92 0.96 0.96 0.84 1.00 0.12 0.67 0.12 0.86 0.44 0.46 1.00 0.22 0.27 0.17 0.15 0.08 ]
[ 0.00 0.38 0.66 0.68 0.70 0.79 0.11 0.87 0.43 0.10 0.05 0.77 0.95 0.98 0.17 0.79 0.80 0.15 0.58 0.33 0.08 0.66 0.90 0.41 0.53 0.94 0.83 0.86 0.64 0.78 0.50 0.87 0.31 0.90 0.34 0.44 0.97 0.71 0.90 0.90 0.83 0.91 0.82 0.27 0.22 1.00 0.02 0.60 0.31 0.81 ]
[ 0.84 0.64 0.97 0.73 0.59 0.01 0.27 0.23 0.88 0.34 0.50 0.83 0.95 0.51 0.02 0.34 0.44 0.97 0.47 0.04 0.51 0.99 0.98 0.38 0.69 0.95 0.00 0.87 0.35 0.90 0.14 0.02 0.60 0.46 0.23 0.50 0.41 0.25 0.56 0.92 0.94 0.51 0.36 0.27 0.27 0.02 1.00 0.80 0.91 0.51 ]
[ 0.79 0.56 0.26 0.96 0.45 0.94 0.93 0.54 0.07 0.50 0.71 0.29 0.23 0.42 0.33 0.77 0.74 0.99 0.61 0.32 0.38 0.50 0.00 0.98 0.65 0.92 0.85 0.50 0.50 0.79 0.88 0.44 0.73 0.64 0.28 0.33 0.53 0.12 0.72 0.80 0.02 0.81 0.25 0.00 0.17 0.60 0.80 1.00 0.91 0.72 ]
[ 0.23 0.40 0.18 0.86 0.72 0.25 0.99 0.55 0.79 0.88 0.24 0.50 0.78 0.28 0.13 0.27 0.86 0.94 0.73 0.08 0.81 0.87 0.96 0.82 0.34 0.00 0.69 0.84 0.75 0.31 0.25 0.00 0.20 0.84 0.21 0.86 0.21 0.88 0.63 0.86 0.69 0.86 0.46 0.55 0.15 0.31 0.91 0.91 1.00 0.99 ]
[ 0.98 0.39 0.89 0.53 0.11 0.52 0.91 0.82 0.87 0.80 0.03 0.91 0.24 0.55 0.77 0.68 0.16 0.21 0.80 0.56 0.39 0.75 0.30 0.51 0.89 0.71 0.15 0.94 0.52 0.47 0.24 0.81 0.73 0.45 0.35 0.80 0.48 0.99 0.55 0.93 0.96 0.29 0.93 0.85 0.08 0.81 0.51 0.72 0.99 1.00 ]
];
