D = 7;
n = [ 5 3 5 4 4 6 1 ];

N = 56;
d = [ 1 1 1 1 1 2 2 2 3 3 3 3 3 4 4 4 4 5 5 5 5 6 6 6 6 6 6 7 6 3 7 3 2 4 5 7 7 3 2 1 4 1 1 2 4 2 2 3 3 3 4 5 6 5 1 4 ];
m = [
[ 1.00 0.36 0.05 0.87 0.86 0.88 0.97 0.66 0.54 0.96 0.77 0.50 0.78 0.52 0.32 0.12 0.83 0.19 0.11 0.27 0.73 0.45 0.86 0.39 0.65 0.14 0.93 0.68 0.87 0.24 0.67 0.54 0.99 0.17 0.97 0.50 0.53 0.89 0.22 0.29 0.62 0.44 0.93 0.63 0.47 0.01 0.64 0.78 0.30 0.40 0.24 0.63 0.71 0.33 0.57 0.65 ]
[ 0.36 1.00 0.56 0.49 0.36 0.70 1.00 0.14 0.49 0.38 0.97 0.66 0.93 0.94 0.42 0.34 0.38 0.32 0.02 0.17 0.78 0.27 0.62 0.53 0.85 0.75 0.55 0.96 0.85 0.50 0.28 0.40 0.67 0.44 0.90 0.33 0.89 0.22 0.93 0.21 0.93 0.40 0.51 0.30 0.44 0.99 0.48 0.00 0.88 0.52 0.88 0.05 0.30 0.52 0.05 0.88 ]
[ 0.05 0.56 1.00 0.62 0.31 0.62 0.83 0.67 0.21 0.87 0.47 0.31 0.91 0.82 0.98 0.49 0.38 0.52 0.61 0.65 0.99 0.29 0.55 0.57 0.34 0.17 0.00 0.33 0.54 0.63 0.93 0.71 0.29 0.07 0.32 0.47 0.57 0.36 0.06 0.24 0.93 0.87 0.16 1.00 0.18 0.98 0.53 0.49 0.33 0.49 0.55 0.57 0.70 0.64 0.87 0.35 ]
[ 0.87 0.49 0.62 1.00 0.66 0.80 0.68 0.38 0.56 0.41 0.76 0.13 0.00 0.40 0.40 0.31 0.21 0.32 0.35 0.55 0.72 0.77 0.65 0.98 0.43 0.77 0.84 0.43 0.93 0.66 0.19 0.44 0.22 0.44 0.67 0.90 0.81 0.24 0.86 0.27 0.87 0.82 0.72 0.03 0.23 0.88 0.99 0.35 0.37 0.43 0.95 0.58 0.85 0.34 0.70 0.48 ]
[ 0.86 0.36 0.31 0.66 1.00 0.93 0.17 0.70 0.62 0.30 0.19 0.54 0.25 0.18 0.79 0.90 0.38 0.35 0.39 0.19 0.84 0.31 0.78 0.00 0.56 0.49 0.83 0.17 0.68 0.91 0.97 0.94 0.45 0.10 0.34 0.01 0.63 0.37 0.54 0.82 0.33 0.59 0.86 0.54 0.08 0.24 0.16 0.96 0.64 0.92 0.19 0.19 0.31 0.45 0.64 0.80 ]
[ 0.88 0.70 0.62 0.80 0.93 1.00 0.13 0.88 0.30 0.96 0.95 0.87 0.94 0.02 0.28 0.33 0.27 1.00 0.63 0.28 0.12 0.40 0.95 0.93 0.35 0.59 0.20 0.60 0.56 0.83 0.42 0.16 0.53 0.83 0.42 0.58 0.00 0.83 0.99 0.90 0.71 0.91 0.61 0.43 0.69 0.04 0.94 0.55 0.20 0.22 0.80 0.80 0.52 0.80 0.43 0.89 ]
[ 0.97 1.00 0.83 0.68 0.17 0.13 1.00 0.13 0.83 0.76 0.73 0.54 0.29 0.60 0.89 0.37 0.85 0.95 0.90 0.98 0.58 0.53 0.47 0.54 0.98 0.72 0.01 0.98 0.51 0.19 0.00 0.42 0.32 0.71 0.15 0.86 0.94 0.72 0.67 0.15 0.22 1.00 0.52 0.10 0.76 0.98 0.42 0.73 0.77 0.73 0.56 0.25 0.25 0.57 0.26 0.20 ]
[ 0.66 0.14 0.67 0.38 0.70 0.88 0.13 1.00 0.18 0.22 0.45 0.42 0.99 0.83 0.51 0.81 0.44 0.89 0.94 0.26 0.41 0.95 0.40 0.12 0.71 0.82 0.62 0.93 0.94 0.79 0.36 0.00 0.65 0.71 0.89 0.75 0.57 0.00 0.25 0.44 0.41 0.75 0.47 0.61 0.23 0.93 0.42 0.77 0.52 0.65 0.67 0.22 0.93 0.91 0.63 0.59 ]
[ 0.54 0.49 0.21 0.56 0.62 0.30 0.83 0.18 1.00 0.20 0.41 0.85 0.51 0.36 0.26 0.73 0.94 0.53 0.94 0.00 0.63 0.68 0.48 0.20 0.19 0.42 0.49 0.52 0.44 0.72 0.71 0.04 0.20 0.42 0.88 0.09 0.65 0.35 0.69 0.93 0.48 0.41 0.71 0.92 0.54 0.61 0.69 0.03 0.54 0.88 0.89 0.95 0.22 0.25 0.04 0.65 ]
[ 0.96 0.38 0.87 0.41 0.30 0.96 0.76 0.22 0.20 1.00 0.53 0.64 0.00 0.93 0.92 0.79 0.26 0.20 0.63 0.48 0.18 0.77 0.01 0.00 0.39 0.67 0.31 0.70 0.74 0.24 0.45 0.37 0.50 0.11 0.86 0.95 0.86 0.79 0.75 0.30 0.59 0.00 0.76 0.01 0.60 0.55 0.48 0.40 0.45 0.76 0.76 0.37 0.99 0.72 0.14 0.38 ]
