D = 13;
n = [ 0 0 1 1 0 3 2 3 1 1 1 1 2 ];

N = 57;
d = [ 3 4 6 6 6 7 7 8 8 8 9 10 11 12 13 13 1 12 3 4 1 2 5 12 10 10 8 12 11 9 11 4 1 3 5 7 11 3 3 8 5 3 13 1 7 12 9 9 12 11 12 2 1 6 13 10 2 ];
m = [
[ 1.00 0.01 0.87 0.99 0.55 0.60 0.37 0.98 0.65 0.69 0.42 0.20 0.00 0.50 0.39 0.42 0.87 0.00 0.91 0.83 0.20 0.00 0.65 0.04 0.23 0.98 0.54 0.15 0.98 0.95 0.31 0.88 0.29 0.78 0.11 0.43 0.42 0.15 0.88 0.33 0.17 0.99 0.82 0.38 0.17 0.33 0.99 0.13 0.67 0.57 0.21 0.54 0.99 0.55 0.71 0.91 1.00 ]
[ 0.01 1.00 0.44 0.33 0.70 0.11 0.93 0.92 0.74 0.27 0.66 0.46 0.96 0.73 0.49 0.87 0.46 0.32 0.19 0.58 0.97 0.79 0.17 0.96 0.95 0.37 0.02 0.61 0.87 0.27 0.22 0.52 0.47 0.44 0.33 0.41 0.91 0.39 0.95 0.34 0.79 0.66 0.90 0.79 0.75 0.20 0.44 0.51 0.40 0.42 0.99 0.10 0.86 0.96 0.85 0.86 0.56 ]
[ 0.87 0.44 1.00 0.84 0.28 0.41 1.00 0.15 0.18 0.34 0.45 0.16 0.44 0.65 0.62 0.28 0.00 0.33 0.16 0.58 0.32 0.37 0.93 0.35 0.12 0.28 0.32 0.88 0.34 0.90 0.93 0.78 0.31 0.76 0.31 0.88 0.85 0.97 0.32 0.45 0.76 0.31 0.92 0.66 0.37 0.46 0.75 0.87 0.51 0.39 0.48 0.88 0.16 0.16 0.19 0.37 0.00 ]
[ 0.99 0.33 0.84 1.00 0.93 0.50 0.68 0.36 0.95 0.63 0.04 0.52 0.24 0.67 0.50 0.95 0.32 0.93 0.33 0.65 0.51 0.97 0.45 0.21 0.33 0.86 0.93 0.71 0.77 0.39 0.69 0.76 0.99 0.62 0.79 0.16 0.57 0.63 0.78 0.22 0.54 0.95 0.71 0.97 0.01 0.86 0.27 0.72 0.40 0.38 0.13 0.64 0.25 0.50 0.26 0.28 0.97 ]
[ 0.55 0.70 0.28 0.93 1.00 0.74 0.42 0.34 0.72 0.03 0.89 0.22 0.53 0.98 0.69 0.99 0.81 0.99 0.16 0.72 0.16 0.06 0.38 0.73 1.00 0.23 0.23 0.73 0.60 0.86 0.33 0.90 0.06 0.90 0.41 0.29 0.00 0.57 0.23 0.59 0.89 0.91 0.97 0.35 0.32 0.51 0.31 0.82 0.98 0.67 0.56 0.48 0.61 0.69 0.38 0.17 0.20 ]
[ 0.60 0.11 0.41 0.50 0.74 1.00 0.16 0.84 0.90 0.04 0.76 0.36 0.14 0.18 0.46 0.52 0.58 0.83 0.99 0.69 0.75 0.41 0.66 0.27 0.94 0.75 0.00 0.26 0.76 0.90 0.69 0.20 0.94 0.95 0.30 0.11 0.73 0.54 0.38 0.77 0.93 0.88 0.89 0.89 0.96 0.64 0.56 0.28 0.01 0.25 0.71 0.00 0.94 0.15 0.74 0.03 0.92 ]
[ 0.37 0.93 1.00 0.68 0.42 0.16 1.00 0.06 0.72 0.95 0.93 0.61 0.98 0.29 0.48 0.29 0.74 0.87 0.09 0.97 0.21 0.61 0.53 0.80 0.77 0.37 0.78 0.45 0.91 0.73 0.10 0.56 0.24 1.00 0.78 0.29 0.96 0.50 0.80 0.62 0.86 0.31 0.82 0.65 0.04 0.30 0.55 0.92 0.53 0.47 0.29 0.91 0.93 0.34 0.40 0.33 0.79 ]
[ 0.98 0.92 0.15 0.36 0.34 0.84 0.06 1.00 0.40 0.87 0.31 0.94 0.91 0.32 0.78 0.35 0.30 0.16 0.46 0.53 0.99 0.61 0.37 0.63 0.92 0.66 0.89 0.22 0.53 0.51 0.24 0.97 0.36 0.99 0.90 0.92 0.44 0.50 0.63 0.06 0.15 0.97 0.92 0.80 0.04 0.47 0.32 0.64 0.87 0.89 0.28 0.67 0.75 0.90 0.44 0.62 0.73 ]
[ 0.65 0.74 0.18 0.95 0.72 0.90 0.72 0.40 1.00 0.63 0.40 0.37 0.18 1.00 0.01 0.73 0.39 0.57 0.98 0.24 0.55 0.89 0.87 0.43 0.90 0.36 0.95 0.37 0.42 0.17 0.82 0.57 0.82 0.73 0.93 0.51 0.06 0.86 0.95 0.54 0.55 0.96 0.07 0.15 0.39 0.36 0.77 0.57 0.87 0.95 0.42 0.69 0.99 0.90 0.41 0.58 0.96 ]
[ 0.69 0.27 0.34 0.63 0.03 0.04 0.95 0.87 0.63 1.00 0.30 0.44 0.86 0.32 0.01 0.89 0.84 0.22 0.01 0.72 0.89 0.66 0.37 0.50 0.18 0.89 0.92 0.92 0.46 0.81 0.75 0.88 0.60 0.49 0.67 0.54 0.18 0.09 0.41 0.35 0.41 0.63 0.33 0.45 0.78 0.29 0.58 0.58 0.59 0.15 0.43 0.41 0.72 0.97 0.01 0.94 0.95 ]
