D = 7;
n = [ 0 0 1 6 5 0 1 ];

N = 59;
d = [ 3 4 4 4 4 4 4 5 5 5 5 5 7 4 6 7 3 1 4 4 3 3 3 3 2 5 6 6 4 2 7 4 2 2 5 3 3 2 5 5 7 6 6 1 7 2 1 3 2 4 4 2 6 4 2 6 2 1 4 ];
m = [
[ 1.00 0.44 0.29 0.39 0.92 0.82 0.38 0.70 0.23 0.63 0.30 0.17 0.72 0.00 0.86 0.39 0.42 0.29 0.51 0.26 0.49 0.48 0.80 0.89 0.64 0.99 0.76 0.03 0.21 0.73 0.99 0.14 0.48 0.23 0.88 0.50 0.98 0.23 0.55 0.00 0.34 0.81 0.76 0.59 0.35 0.50 0.50 0.40 0.25 0.80 0.61 0.60 0.20 0.91 0.29 0.78 0.69 0.99 0.18 ]
[ 0.44 1.00 0.38 0.87 0.68 0.49 0.44 0.57 0.69 0.52 0.55 0.86 0.47 0.68 0.64 0.88 0.28 0.02 0.56 0.38 0.76 0.47 0.92 0.94 0.37 0.60 0.67 0.76 0.99 0.54 0.27 0.32 0.16 0.76 0.62 0.81 0.16 0.13 0.47 0.64 0.94 0.95 0.85 0.54 0.25 0.94 0.98 0.95 0.30 0.49 0.11 0.45 0.74 0.88 0.96 0.21 0.33 0.63 0.33 ]
[ 0.29 0.38 1.00 0.31 0.90 0.96 0.58 0.23 0.80 0.65 0.01 0.06 0.91 0.28 0.51 0.49 0.15 0.18 0.43 0.61 0.20 0.83 0.68 0.93 0.64 0.38 0.90 0.58 0.90 0.79 0.21 0.58 0.93 0.39 0.81 0.65 0.41 0.95 0.97 0.97 0.44 0.30 0.13 0.53 0.10 0.19 0.98 0.72 0.90 0.42 0.26 0.36 0.97 0.61 0.28 0.17 0.94 0.91 0.20 ]
[ 0.39 0.87 0.31 1.00 0.63 0.40 0.06 0.45 0.94 0.91 0.20 0.22 0.86 0.91 0.46 0.03 0.26 0.96 0.89 0.92 0.49 0.63 0.16 0.26 0.98 0.95 0.22 0.39 0.59 0.78 0.34 0.53 0.75 0.15 0.85 0.20 0.29 0.44 0.77 0.98 0.87 0.96 0.88 0.42 0.70 0.00 0.86 0.47 0.31 0.48 0.66 0.91 0.20 0.95 0.86 0.24 0.38 0.56 0.74 ]
[ 0.92 0.68 0.90 0.63 1.00 0.80 0.47 0.58 0.93 0.17 0.69 0.87 0.41 0.96 0.66 0.65 0.57 0.00 0.80 0.30 0.89 0.91 0.05 0.57 0.25 0.77 0.47 0.19 0.96 0.63 0.38 0.78 0.62 0.66 0.29 0.19 0.97 0.48 0.16 0.16 0.96 0.21 0.34 0.00 0.17 0.74 0.20 0.23 0.56 0.79 0.86 0.89 0.62 0.85 0.63 0.98 0.74 0.81 0.16 ]
[ 0.82 0.49 0.96 0.40 0.80 1.00 0.29 0.73 0.89 0.82 0.21 0.29 0.96 0.13 0.70 0.60 0.41 0.98 0.27 0.81 0.68 0.28 1.00 1.00 0.79 0.55 0.51 0.00 0.32 0.75 0.97 0.98 0.97 0.93 0.40 0.80 0.84 0.10 0.75 0.81 0.56 0.62 0.44 0.56 0.49 0.76 0.74 0.99 0.79 0.57 0.63 0.67 0.43 0.58 0.21 0.90 0.46 0.89 0.47 ]
[ 0.38 0.44 0.58 0.06 0.47 0.29 1.00 0.51 0.36 0.89 0.23 0.11 0.60 0.36 0.98 0.84 0.46 0.52 0.26 0.28 0.77 0.47 0.36 0.35 0.90 0.67 0.67 0.48 0.76 0.65 0.72 0.16 0.37 0.69 0.06 0.20 0.44 0.60 0.49 0.05 0.50 0.89 0.54 0.95 0.51 0.27 0.86 0.94 0.66 0.73 0.37 0.47 0.44 0.46 0.18 0.66 0.72 0.70 0.67 ]
[ 0.70 0.57 0.23 0.45 0.58 0.73 0.51 1.00 0.72 0.69 0.57 0.27 0.88 0.52 0.19 0.80 0.09 0.94 0.32 0.70 0.29 0.99 0.84 0.43 1.00 0.69 0.84 0.67 0.98 0.88 0.23 0.44 0.48 0.65 0.63 0.63 0.22 0.98 0.90 0.77 0.44 0.78 0.57 0.94 0.79 0.40 0.80 0.96 0.12 0.87 0.80 0.06 0.47 0.24 0.50 0.25 0.61 0.90 0.95 ]
[ 0.23 0.69 0.80 0.94 0.93 0.89 0.36 0.72 1.00 0.00 0.57 0.20 0.59 0.90 0.95 0.26 0.64 0.51 0.45 0.76 0.89 0.42 0.53 0.93 0.24 0.52 0.24 0.90 0.47 0.70 0.48 0.32 0.78 0.79 0.52 0.55 0.62 0.84 0.43 0.86 0.79 0.34 0.87 0.97 0.37 0.65 0.50 0.82 0.67 0.66 0.61 0.20 0.89 0.54 0.54 0.30 0.02 0.93 0.22 ]
[ 0.63 0.52 0.65 0.91 0.17 0.82 0.89 0.69 0.00 1.00 0.81 0.98 0.28 0.94 0.70 0.00 0.60 0.72 0.85 0.69 0.96 0.88 0.70 0.46 0.61 0.58 0.81 0.33 0.76 0.35 0.89 0.02 0.83 0.94 0.01 0.00 0.74 0.96 0.49 0.89 0.65 0.43 0.67 0.55 0.96 0.27 0.00 0.48 0.94 0.54 0.46 0.94 0.48 0.96 0.70 0.52 0.93 0.99 0.20 ]
[ 0.30 0.55 0.01 0.20 0.69 0.21 0.23 0.57 0.57 0.81 1.00 0.43 0.57 0.24 0.94 0.93 0.18 0.45 0.66 0.49 0.38 0.92 0.00 0.62 0.90 0.42 0.92 0.90 0.61 0.20 0.86 0.92 0.66 0.57 0.78 0.95 0.90 0.90 0.00 0.16 0.92 0.34 0.26 0.33 0.65 0.36 0.72 0.06 0.61 0.93 0.87 0.11 0.79 0.66 0.00 0.96 0.51 0.91 0.93 ]
[ 0.17 0.86 0.06 0.22 0.87 0.29 0.11 0.27 0.20 0.98 0.43 1.00 0.10 0.03 0.22 0.03 0.52 0.62 0.63 0.79 0.53 0.30 0.16 0.48 0.94 0.27 0.42 0.53 0.51 0.46 0.77 0.60 0.72 0.28 0.22 0.97 0.91 0.20 0.48 0.29 0.08 0.25 0.22 0.81 0.91 0.31 0.85 0.66 0.28 0.90 0.18 0.79 0.23 0.77 0.93 0.62 0.92 0.99 0.50 ]
[ 0.72 0.47 0.91 0.86 0.41 0.96 0.60 0.88 0.59 0.28 0.57 0.10 1.00 0.26 0.00 0.42 0.36 0.83 0.45 0.92 0.80 0.59 0.95 0.33 0.26 0.80 0.70 0.87 0.33 0.49 0.36 0.44 0.24 0.96 0.33 0.34 0.69 0.55 0.52 0.65 0.88 0.98 0.43 0.89 0.21 0.72 0.60 0.15 0.57 0.38 0.99 0.19 0.50 0.87 0.46 0.66 0.48 0.94 0.62 ]
[ 0.00 0.68 0.28 0.91 0.96 0.13 0.36 0.52 0.90 0.94 0.24 0.03 0.26 1.00 0.51 0.59 0.26 0.54 0.86 0.74 0.00 0.96 0.21 0.50 0.52 0.02 0.33 0.72 0.39 0.53 0.88 0.00 0.52 0.24 0.57 0.33 0.93 0.29 0.91 0.86 0.87 0.33 0.74 0.37 0.41 0.34 0.29 0.45 0.86 0.97 0.66 0.21 0.42 0.74 0.78 0.75 0.49 0.93 0.25 ]
[ 0.86 0.64 0.51 0.46 0.66 0.70 0.98 0.19 0.95 0.70 0.94 0.22 0.00 0.51 1.00 0.19 0.74 0.22 0.98 0.70 0.20 0.55 0.65 0.21 0.82 0.76 0.97 0.98 0.98 0.10 0.34 0.49 0.85 0.27 0.22 0.75 0.55 0.83 0.21 0.91 0.83 0.77 0.84 0.87 0.30 0.12 0.92 0.94 0.76 0.42 0.67 0.26 0.61 0.58 0.02 0.70 0.89 0.80 0.47 ]
[ 0.39 0.88 0.49 0.03 0.65 0.60 0.84 0.80 0.26 0.00 0.93 0.03 0.42 0.59 0.19 1.00 0.19 0.70 0.26 0.25 0.64 0.08 0.84 0.38 0.58 0.33 0.67 0.31 0.00 0.49 0.92 0.62 0.97 0.35 0.50 0.68 0.31 0.12 0.96 0.10 0.67 0.87 0.41 0.29 0.86 0.22 0.43 0.20 0.87 0.97 0.77 0.76 0.38 0.45 0.97 0.83 0.63 0.53 0.61 ]
[ 0.42 0.28 0.15 0.26 0.57 0.41 0.46 0.09 0.64 0.60 0.18 0.52 0.36 0.26 0.74 0.19 1.00 0.99 0.06 0.38 0.97 0.84 0.68 0.51 0.05 0.96 0.86 0.67 0.32 0.50 0.72 0.83 0.71 0.31 0.99 0.19 0.82 0.62 0.72 0.40 0.94 0.72 0.36 0.09 0.00 0.23 0.01 0.91 1.00 0.70 0.90 0.34 0.36 0.67 0.00 0.80 0.35 0.93 0.29 ]
[ 0.29 0.02 0.18 0.96 0.00 0.98 0.52 0.94 0.51 0.72 0.45 0.62 0.83 0.54 0.22 0.70 0.99 1.00 0.61 0.90 0.14 0.16 0.88 0.86 0.39 0.98 0.94 0.85 0.61 0.85 0.43 0.22 0.44 0.10 0.22 1.00 0.71 0.87 0.55 0.54 0.51 0.00 0.21 0.57 0.16 1.00 0.16 0.64 0.95 0.94 0.22 0.68 0.44 0.33 0.05 0.84 0.85 0.75 0.96 ]
[ 0.51 0.56 0.43 0.89 0.80 0.27 0.26 0.32 0.45 0.85 0.66 0.63 0.45 0.86 0.98 0.26 0.06 0.61 1.00 0.19 0.21 0.00 0.21 0.21 0.16 0.94 0.28 0.52 0.60 0.56 0.59 0.86 0.19 0.96 0.31 0.29 0.35 0.42 0.54 0.91 0.54 0.90 0.28 0.19 0.28 0.98 0.96 0.63 0.91 0.80 0.60 0.95 0.41 0.04 0.51 0.50 0.10 0.72 0.66 ]
[ 0.26 0.38 0.61 0.92 0.30 0.81 0.28 0.70 0.76 0.69 0.49 0.79 0.92 0.74 0.70 0.25 0.38 0.90 0.19 1.00 0.95 0.00 0.53 0.31 0.44 0.78 0.80 0.48 0.30 0.44 0.64 0.69 0.98 0.16 0.60 0.06 0.50 0.86 0.18 0.52 0.34 0.36 0.84 0.89 0.88 0.47 0.15 0.32 0.86 0.00 0.96 0.82 0.57 0.34 0.38 0.88 0.71 0.86 0.09 ]
[ 0.49 0.76 0.20 0.49 0.89 0.68 0.77 0.29 0.89 0.96 0.38 0.53 0.80 0.00 0.20 0.64 0.97 0.14 0.21 0.95 1.00 0.32 0.86 0.33 0.78 0.88 0.53 0.35 0.93 0.48 0.93 0.68 0.89 0.60 0.53 0.86 0.57 0.82 0.88 0.55 0.64 0.98 0.27 0.92 0.91 0.73 0.96 0.68 0.52 0.19 0.87 0.88 0.47 0.40 0.43 0.73 0.63 0.90 0.76 ]
[ 0.48 0.47 0.83 0.63 0.91 0.28 0.47 0.99 0.42 0.88 0.92 0.30 0.59 0.96 0.55 0.08 0.84 0.16 0.00 0.00 0.32 1.00 0.93 0.70 0.27 0.85 0.47 0.90 0.57 0.95 0.25 0.00 0.70 0.46 0.51 0.90 0.84 0.62 0.47 0.81 0.81 0.93 0.92 0.99 0.36 0.78 0.95 0.82 0.05 0.18 0.51 0.63 0.93 0.18 0.12 0.10 0.80 0.25 0.01 ]
[ 0.80 0.92 0.68 0.16 0.05 1.00 0.36 0.84 0.53 0.70 0.00 0.16 0.95 0.21 0.65 0.84 0.68 0.88 0.21 0.53 0.86 0.93 1.00 0.47 0.57 0.73 0.34 0.95 0.88 0.92 0.87 0.88 0.07 0.63 0.29 0.86 0.93 0.93 0.33 1.00 0.37 0.22 0.00 0.70 0.70 0.59 0.94 0.61 0.33 0.84 0.20 0.58 0.74 0.96 0.19 0.48 0.15 0.16 0.79 ]
[ 0.89 0.94 0.93 0.26 0.57 1.00 0.35 0.43 0.93 0.46 0.62 0.48 0.33 0.50 0.21 0.38 0.51 0.86 0.21 0.31 0.33 0.70 0.47 1.00 0.70 0.38 0.27 0.27 0.33 0.64 0.84 0.53 0.83 0.91 0.75 0.91 0.42 0.59 0.83 0.03 0.31 0.26 0.92 0.31 0.11 0.84 0.95 0.38 0.80 0.39 0.28 0.23 0.01 0.83 0.34 0.71 0.64 0.14 0.35 ]
[ 0.64 0.37 0.64 0.98 0.25 0.79 0.90 1.00 0.24 0.61 0.90 0.94 0.26 0.52 0.82 0.58 0.05 0.39 0.16 0.44 0.78 0.27 0.57 0.70 1.00 0.82 0.18 0.69 0.49 0.42 0.72 0.88 0.92 0.56 0.20 0.09 0.66 0.74 0.41 0.59 0.13 0.63 0.52 0.95 0.53 0.45 0.69 0.91 0.83 0.71 0.50 0.43 0.73 0.61 0.84 0.75 0.13 0.69 0.85 ]
[ 0.99 0.60 0.38 0.95 0.77 0.55 0.67 0.69 0.52 0.58 0.42 0.27 0.80 0.02 0.76 0.33 0.96 0.98 0.94 0.78 0.88 0.85 0.73 0.38 0.82 1.00 0.91 0.47 0.78 0.93 0.48 0.88 0.52 0.95 0.82 0.26 0.65 0.79 0.16 0.23 0.88 0.29 0.60 0.49 0.77 0.73 0.07 0.60 0.97 0.99 0.73 0.41 0.29 0.23 0.20 0.85 0.90 0.13 0.75 ]
[ 0.76 0.67 0.90 0.22 0.47 0.51 0.67 0.84 0.24 0.81 0.92 0.42 0.70 0.33 0.97 0.67 0.86 0.94 0.28 0.80 0.53 0.47 0.34 0.27 0.18 0.91 1.00 0.93 0.41 0.87 0.00 0.68 0.30 0.66 0.99 0.39 0.85 0.55 0.10 0.29 0.24 0.75 0.33 0.59 0.58 0.23 0.44 0.35 0.99 0.57 0.97 0.90 0.94 0.15 0.64 0.04 0.57 0.80 0.39 ]
[ 0.03 0.76 0.58 0.39 0.19 0.00 0.48 0.67 0.90 0.33 0.90 0.53 0.87 0.72 0.98 0.31 0.67 0.85 0.52 0.48 0.35 0.90 0.95 0.27 0.69 0.47 0.93 1.00 0.75 0.54 0.91 0.98 0.56 0.65 0.62 0.24 0.38 0.99 0.15 0.52 0.45 0.00 0.05 0.61 0.97 0.92 0.01 0.10 0.17 0.48 0.02 0.90 0.37 0.16 0.16 0.87 0.18 0.52 0.34 ]
[ 0.21 0.99 0.90 0.59 0.96 0.32 0.76 0.98 0.47 0.76 0.61 0.51 0.33 0.39 0.98 0.00 0.32 0.61 0.60 0.30 0.93 0.57 0.88 0.33 0.49 0.78 0.41 0.75 1.00 0.38 0.71 0.78 0.00 0.53 0.89 0.18 0.21 0.13 0.39 0.30 0.79 0.25 0.98 0.61 0.96 0.58 0.59 0.64 0.62 0.18 0.88 0.47 0.24 0.51 0.30 0.47 0.53 0.89 0.18 ]
