D = 11;
n = [ 3 2 3 4 2 3 3 3 0 0 1 ];

N = 62;
d = [ 1 1 1 2 2 3 3 3 4 4 4 4 5 5 6 6 6 7 7 7 8 8 8 11 6 11 10 1 3 1 5 6 10 3 10 2 7 1 10 4 6 5 7 4 11 10 10 3 6 3 10 7 1 7 6 4 5 4 4 5 3 6 ];
m = [
[ 1.00 0.69 0.53 0.74 0.96 0.62 0.51 0.77 0.60 0.00 0.26 0.98 1.00 0.59 0.54 0.82 0.82 0.53 0.49 0.15 0.66 0.10 0.74 0.89 0.79 0.68 0.61 0.62 0.29 0.23 0.30 0.52 0.16 0.38 0.20 0.92 0.61 0.03 0.91 0.17 0.01 0.44 0.41 0.38 0.42 0.38 0.51 0.68 0.81 0.16 0.45 0.97 0.61 0.55 0.92 0.44 0.40 0.89 0.79 0.05 0.85 0.78 ]
[ 0.69 1.00 0.49 0.18 0.96 0.92 0.55 0.33 0.34 0.37 0.91 0.37 0.54 0.52 0.24 0.69 0.92 0.61 0.38 0.42 0.97 0.33 0.01 0.55 0.40 0.87 0.58 0.54 0.84 0.94 0.79 0.89 0.86 0.38 0.94 0.48 0.93 0.96 0.89 0.81 0.30 0.42 0.50 0.84 0.85 0.94 0.16 0.90 0.96 0.07 0.40 0.70 0.62 0.48 0.75 0.53 0.50 0.78 0.76 0.48 0.50 0.98 ]
[ 0.53 0.49 1.00 0.79 0.57 0.97 0.86 0.85 0.18 0.42 0.94 0.81 0.37 0.20 0.45 0.02 0.75 0.83 0.24 0.00 0.66 0.62 0.95 0.71 0.98 0.98 0.19 0.37 0.07 0.34 0.27 0.68 0.20 0.86 0.92 0.95 0.52 0.85 0.24 0.95 0.89 0.40 0.60 0.93 0.91 0.66 0.17 0.62 0.74 0.98 0.63 0.53 0.72 0.91 0.05 0.00 0.58 0.35 0.31 0.48 0.42 0.18 ]
[ 0.74 0.18 0.79 1.00 0.36 0.95 0.42 0.35 0.20 0.33 0.94 0.62 0.26 0.50 0.35 0.65 0.67 0.72 0.47 0.22 0.06 0.27 0.02 0.49 0.89 0.49 0.53 0.49 0.76 0.48 0.69 0.61 0.90 0.95 0.39 0.55 0.92 0.50 0.30 0.74 0.65 0.43 0.92 0.83 0.75 0.08 0.09 0.87 0.95 0.69 0.51 0.65 0.01 0.60 0.28 0.71 0.72 0.03 0.21 0.61 0.56 0.55 ]
[ 0.96 0.96 0.57 0.36 1.00 0.38 0.87 0.92 0.81 0.34 0.85 0.98 0.62 0.87 0.83 0.63 0.33 0.89 0.96 0.20 0.19 0.84 0.90 0.24 0.49 0.82 0.96 0.26 0.13 0.14 0.32 0.84 0.90 0.43 0.25 0.39 0.98 0.91 0.72 0.50 0.14 0.97 0.35 0.02 0.33 0.00 0.61 0.84 0.34 0.21 0.74 0.57 0.68 0.78 0.93 0.13 0.98 0.87 0.95 0.05 0.34 0.42 ]
[ 0.62 0.92 0.97 0.95 0.38 1.00 0.38 0.99 0.68 0.85 0.92 0.89 0.55 0.96 0.00 0.95 0.92 0.57 0.99 0.79 0.22 0.32 0.55 0.83 0.41 0.26 0.07 0.04 0.38 0.91 0.17 0.79 0.40 0.20 0.39 0.87 0.31 0.92 0.15 0.81 0.92 0.90 0.74 0.53 0.18 0.55 0.85 0.93 0.84 0.62 0.94 0.97 0.30 0.56 0.95 0.57 0.59 0.18 0.52 0.59 0.53 0.00 ]
[ 0.51 0.55 0.86 0.42 0.87 0.38 1.00 0.53 0.88 0.61 0.94 0.39 0.67 0.60 0.96 0.63 0.92 0.78 0.76 0.79 0.85 0.15 0.24 0.98 0.48 0.19 0.92 0.92 0.54 0.31 1.00 0.55 0.96 0.72 0.73 0.21 0.30 0.16 0.95 0.60 0.41 0.27 0.22 0.21 0.11 0.82 0.88 0.26 0.84 0.94 0.64 0.60 0.69 0.33 0.53 0.08 0.56 0.00 0.63 0.13 0.87 0.90 ]
[ 0.77 0.33 0.85 0.35 0.92 0.99 0.53 1.00 0.91 0.84 0.97 0.83 0.95 0.34 0.45 0.72 0.48 0.41 0.90 0.26 0.44 0.90 0.29 0.40 0.07 0.15 0.90 0.78 0.00 0.27 0.86 0.39 0.09 0.89 0.40 0.25 0.96 0.64 0.41 0.57 0.73 0.82 0.33 0.16 0.51 0.67 0.90 0.45 0.26 0.76 0.84 0.75 0.27 0.99 0.14 0.93 0.93 0.74 0.90 0.15 0.18 0.46 ]
[ 0.60 0.34 0.18 0.20 0.81 0.68 0.88 0.91 1.00 0.98 0.89 0.54 0.00 0.53 0.41 0.34 0.30 0.98 0.37 0.37 0.45 0.24 0.22 0.38 0.46 0.95 0.14 0.76 0.27 0.23 0.95 0.92 0.28 0.63 0.78 0.33 0.21 0.94 0.91 0.17 0.57 0.88 0.42 0.50 0.48 0.87 0.85 0.18 0.77 0.62 0.96 0.02 0.37 0.85 0.60 0.54 0.67 0.67 0.69 0.10 0.98 0.91 ]
[ 0.00 0.37 0.42 0.33 0.34 0.85 0.61 0.84 0.98 1.00 0.91 0.86 0.00 0.96 0.77 0.87 1.00 0.96 0.93 0.31 0.49 0.50 0.66 0.37 0.57 0.39 0.92 0.92 0.00 0.29 0.72 0.81 0.72 0.32 0.38 0.66 0.49 0.94 0.44 0.45 0.99 0.00 0.91 0.48 0.96 0.20 0.30 0.00 0.67 0.37 0.04 0.84 0.65 0.95 0.56 0.57 0.46 0.53 0.76 0.59 0.37 0.71 ]
[ 0.26 0.91 0.94 0.94 0.85 0.92 0.94 0.97 0.89 0.91 1.00 0.32 0.41 0.47 0.84 0.38 0.62 0.46 0.37 0.44 0.00 0.44 0.16 0.24 0.17 0.95 0.90 0.93 0.80 0.06 0.63 0.98 0.96 0.63 0.39 0.99 0.82 0.00 0.83 0.20 0.64 0.00 0.93 0.88 0.52 0.18 0.19 0.94 0.22 0.32 0.43 0.13 0.82 0.67 0.97 0.99 0.23 0.65 0.90 0.63 0.22 0.67 ]
