D = 6;
n = [ 4 2 1 7 5 8 ];

N = 63;
d = [ 1 1 1 1 2 2 3 4 4 4 4 4 4 4 5 5 5 5 5 6 6 6 6 6 6 6 6 1 5 5 6 4 3 2 2 1 5 1 4 2 6 1 5 4 2 2 2 2 4 2 6 3 6 3 2 5 6 2 5 4 5 5 1 ];
m = [
[ 1.00 0.99 0.93 0.49 0.70 0.42 0.64 0.28 0.68 0.45 0.83 0.98 0.51 0.88 0.95 0.53 0.08 0.92 0.00 0.83 0.21 0.83 0.61 0.42 0.09 0.41 0.59 0.82 0.85 0.46 0.98 0.46 0.57 0.49 0.30 0.89 0.91 0.51 0.87 0.00 0.54 0.72 0.76 0.44 0.82 0.12 0.77 0.73 0.24 0.88 0.11 0.61 0.69 0.32 0.20 0.57 0.60 0.72 0.88 0.41 0.01 1.00 0.40 ]
[ 0.99 1.00 0.07 0.24 0.98 0.25 0.19 0.61 0.70 0.54 0.40 0.71 0.96 0.42 0.24 0.31 0.44 0.14 0.20 0.51 0.79 0.43 0.56 0.33 0.71 0.68 0.85 0.37 0.52 0.97 0.88 0.68 0.09 0.47 0.64 0.94 0.60 0.09 0.19 0.56 0.61 0.85 0.78 0.40 0.85 0.01 0.26 0.70 0.08 0.44 0.30 0.74 0.84 0.20 0.33 0.76 0.00 0.55 0.88 0.40 0.01 0.44 0.36 ]
[ 0.93 0.07 1.00 1.00 0.45 0.19 0.43 0.49 0.37 0.91 0.31 0.49 0.27 0.26 0.85 0.55 0.82 0.38 0.03 0.01 0.65 0.32 0.86 0.08 0.89 0.79 0.30 0.96 0.92 0.96 0.45 0.53 0.36 0.61 0.27 0.01 0.79 0.85 0.19 0.36 0.47 0.75 0.09 0.86 0.53 0.53 0.23 0.40 0.81 0.99 0.97 0.16 0.37 0.95 0.93 0.64 0.26 0.63 0.28 0.98 0.93 0.64 0.48 ]
[ 0.49 0.24 1.00 1.00 0.19 0.21 0.93 0.00 0.53 0.89 0.29 0.25 0.37 0.37 0.74 0.20 0.81 0.21 0.51 0.97 0.69 0.61 0.68 0.62 0.86 0.98 0.52 0.91 0.03 0.65 0.72 0.94 0.57 0.22 0.44 0.62 0.02 0.80 0.98 0.88 0.50 0.88 0.22 0.75 0.40 0.90 0.41 0.14 0.94 0.20 1.00 0.89 0.21 0.15 0.68 0.75 0.33 0.36 0.63 0.61 0.11 0.88 0.99 ]
[ 0.70 0.98 0.45 0.19 1.00 0.20 0.31 0.94 0.77 0.36 0.17 0.98 0.50 0.19 0.97 0.24 0.93 0.52 0.70 0.41 0.99 0.34 0.94 0.40 0.66 0.92 0.83 0.93 0.86 0.31 0.83 0.42 0.26 0.68 0.63 0.61 0.93 0.69 0.12 0.57 0.70 0.36 0.91 0.31 0.48 0.40 0.97 0.80 0.95 0.99 0.12 0.83 0.49 0.50 0.76 0.73 0.87 0.45 0.84 0.84 0.23 0.98 0.21 ]
[ 0.42 0.25 0.19 0.21 0.20 1.00 0.99 0.51 0.02 0.91 0.95 0.74 0.28 0.35 0.06 0.87 0.14 0.48 0.55 0.33 0.52 0.04 0.22 0.35 0.22 0.36 0.55 0.82 0.75 0.69 0.95 0.19 0.86 0.08 0.23 0.86 0.87 0.22 0.00 0.41 0.34 0.11 0.59 0.85 0.96 0.27 0.99 0.18 0.87 0.18 0.63 0.75 0.99 0.45 0.42 0.57 0.76 0.11 0.88 0.77 0.00 0.19 0.78 ]
[ 0.64 0.19 0.43 0.93 0.31 0.99 1.00 0.15 0.36 0.48 0.33 0.80 0.32 0.16 0.52 0.85 0.63 0.98 0.54 0.86 0.56 0.49 0.36 0.79 0.86 0.95 0.62 0.13 0.67 0.90 0.66 0.47 0.59 0.58 0.82 0.65 0.00 0.29 0.87 0.81 0.67 0.44 0.85 0.81 0.67 0.30 0.94 0.48 0.25 0.57 0.69 0.18 0.25 0.90 0.81 0.18 0.94 0.96 0.92 0.93 0.51 0.31 0.33 ]
[ 0.28 0.61 0.49 0.00 0.94 0.51 0.15 1.00 0.86 0.51 0.66 0.82 0.94 0.17 0.42 0.34 0.60 0.77 0.52 0.19 0.54 0.97 0.60 0.92 0.45 0.42 0.89 0.80 0.46 0.77 0.99 0.33 0.00 0.24 0.57 0.84 0.85 0.91 0.29 0.35 0.78 0.35 0.55 0.84 0.20 0.91 0.74 0.26 0.09 0.38 0.12 0.75 0.98 0.94 0.69 0.83 0.27 0.66 0.77 0.32 0.60 0.75 0.27 ]
[ 0.68 0.70 0.37 0.53 0.77 0.02 0.36 0.86 1.00 0.77 0.37 0.17 0.93 0.77 0.88 0.49 0.41 0.59 0.66 0.35 0.20 0.56 0.26 0.29 0.48 0.24 0.36 0.76 0.18 0.33 0.32 0.00 0.58 0.71 0.99 0.46 0.88 0.24 0.24 0.87 0.18 0.94 0.51 0.00 0.40 0.46 0.85 0.40 0.04 0.85 0.00 0.87 0.00 0.76 0.90 0.66 0.46 0.61 0.56 0.97 0.51 0.66 0.54 ]
[ 0.45 0.54 0.91 0.89 0.36 0.91 0.48 0.51 0.77 1.00 0.49 0.65 0.68 0.93 0.86 0.35 0.10 0.80 0.00 0.88 0.91 0.98 0.18 0.00 0.69 0.35 0.83 0.77 0.97 0.50 0.24 0.83 0.96 0.84 0.56 0.00 0.34 0.20 0.79 0.48 0.98 0.79 0.14 0.82 0.67 0.45 0.25 0.43 0.29 0.28 0.54 0.60 0.35 0.81 0.13 0.75 0.91 0.71 0.00 0.68 0.47 0.61 0.79 ]
