D = 20;
n = [ 0 0 2 2 1 0 2 1 2 0 0 1 1 2 2 0 1 1 0 0 ];

N = 64;
d = [ 3 3 4 4 5 7 7 8 9 9 12 13 14 14 15 15 17 18 3 11 14 5 15 17 3 7 19 5 11 11 2 3 12 12 6 15 14 16 8 15 12 11 11 14 9 9 15 12 7 17 14 12 13 8 9 15 7 7 12 9 9 5 4 12 ];
m = [
[ 1.00 0.46 0.83 0.84 0.81 0.98 0.22 0.09 0.41 0.49 0.56 0.66 0.30 0.32 0.81 0.97 0.51 0.71 0.64 0.21 0.95 0.00 0.93 0.63 0.98 0.07 0.08 0.84 0.12 0.52 0.84 0.65 0.54 0.83 0.89 0.99 0.17 0.96 0.53 0.93 0.94 0.72 0.23 0.77 0.18 0.58 0.66 0.52 0.98 0.08 0.55 0.21 0.06 0.28 0.30 0.90 0.60 0.78 0.81 0.61 0.28 0.85 0.94 0.30 ]
[ 0.46 1.00 0.86 0.57 0.32 0.30 0.50 0.00 0.64 0.79 0.67 0.91 0.85 0.27 0.40 0.15 0.19 0.92 0.56 0.87 0.52 0.91 0.89 0.67 0.99 0.47 0.65 0.88 0.85 0.96 0.71 0.58 0.33 0.40 0.42 0.86 0.32 0.21 0.36 0.93 0.92 0.77 0.71 0.14 0.45 0.24 0.39 0.20 0.13 0.47 0.98 0.88 1.00 0.60 0.86 0.50 0.22 0.69 0.47 0.63 0.90 0.87 0.55 0.36 ]
[ 0.83 0.86 1.00 0.57 0.65 0.34 0.58 0.26 0.54 0.42 0.72 0.47 0.42 0.35 0.12 0.98 0.90 0.86 0.00 0.11 0.60 0.59 0.71 0.63 0.48 0.46 0.11 0.84 0.37 0.94 0.11 0.36 0.08 0.96 0.64 0.07 0.57 0.13 0.17 0.46 0.49 0.85 0.72 0.53 0.78 0.93 0.41 0.31 0.56 0.17 0.40 0.58 0.60 0.90 0.18 0.87 0.63 0.67 0.27 0.59 0.44 0.63 0.83 0.64 ]
[ 0.84 0.57 0.57 1.00 0.98 0.98 0.33 0.26 0.81 0.54 0.38 0.93 0.76 0.51 0.52 0.25 0.36 0.67 0.96 0.74 0.27 0.71 0.25 0.37 0.48 0.21 0.55 0.72 0.75 0.93 0.48 0.39 0.48 0.86 0.52 0.12 0.55 0.25 0.94 0.72 0.90 0.00 0.78 0.95 0.41 0.76 0.46 0.87 1.00 0.34 0.65 0.17 0.67 0.55 0.30 0.34 0.90 0.87 0.62 0.58 0.00 0.48 0.29 0.78 ]
[ 0.81 0.32 0.65 0.98 1.00 0.83 0.96 0.00 0.76 0.04 0.98 0.86 0.73 0.40 0.51 0.06 0.32 0.30 0.51 0.29 0.78 0.49 0.38 0.97 0.77 0.72 0.74 0.97 0.31 0.74 0.60 0.99 0.37 0.13 0.24 0.90 0.64 0.00 0.48 0.30 0.76 0.22 0.79 0.41 0.21 0.98 0.49 0.94 0.78 0.09 0.93 0.86 0.68 0.35 0.79 0.55 0.52 0.92 0.00 0.75 0.62 0.46 0.54 0.85 ]
[ 0.98 0.30 0.34 0.98 0.83 1.00 0.87 0.00 0.24 0.80 0.36 0.35 0.78 0.20 0.84 0.02 0.19 0.39 0.42 0.20 0.84 0.69 0.91 0.90 0.90 0.96 0.79 0.88 0.31 0.89 0.75 0.64 0.25 0.54 0.48 0.37 0.99 0.71 0.40 0.98 0.40 0.89 0.59 0.22 0.95 0.20 0.72 0.47 0.97 0.07 0.60 0.66 0.77 0.78 0.60 0.78 0.40 0.04 0.09 0.74 0.70 0.70 0.63 0.54 ]
[ 0.22 0.50 0.58 0.33 0.96 0.87 1.00 0.89 0.69 0.98 0.48 0.01 1.00 0.24 0.10 0.85 0.92 0.41 0.00 0.26 0.57 0.00 0.75 0.43 0.38 0.16 0.95 0.78 0.74 0.91 0.67 0.48 0.20 0.37 0.34 0.57 0.96 0.91 0.59 0.65 0.84 0.25 0.29 0.91 0.80 0.85 0.79 0.43 0.45 0.45 0.75 0.28 0.41 0.30 0.43 0.83 0.59 0.20 0.26 0.76 0.37 0.67 0.06 0.30 ]
[ 0.09 0.00 0.26 0.26 0.00 0.00 0.89 1.00 0.98 0.50 0.62 0.39 0.35 0.18 0.48 0.21 0.87 0.81 0.60 0.42 0.64 0.28 0.34 0.77 0.18 0.77 0.20 0.12 0.70 0.00 0.89 0.24 1.00 0.89 0.80 0.61 0.72 0.20 0.86 0.70 0.51 0.86 0.32 0.15 0.86 0.61 0.95 0.96 0.01 0.78 0.23 0.77 0.39 0.74 0.44 0.57 0.97 0.25 0.85 0.95 0.82 0.92 0.20 0.31 ]
[ 0.41 0.64 0.54 0.81 0.76 0.24 0.69 0.98 1.00 0.02 0.87 0.63 0.29 0.82 0.91 0.61 0.35 0.65 0.92 0.55 0.72 0.46 0.25 0.06 0.60 0.93 0.97 0.69 0.88 0.86 0.22 0.62 0.27 0.72 0.23 0.72 0.00 0.33 0.19 0.56 0.91 0.80 0.81 0.99 0.38 0.85 0.70 0.10 0.77 0.83 0.26 0.41 0.35 0.34 0.43 0.68 0.83 0.15 0.72 0.75 0.62 0.23 0.56 0.58 ]
[ 0.49 0.79 0.42 0.54 0.04 0.80 0.98 0.50 0.02 1.00 0.72 0.18 0.82 0.19 0.18 0.55 0.27 0.34 0.00 0.86 0.32 0.83 0.69 0.40 0.98 0.74 0.09 0.61 0.36 0.68 0.18 0.97 0.95 0.40 0.38 0.52 0.37 0.07 0.57 0.92 0.72 0.26 0.27 0.99 0.52 0.97 0.85 0.71 0.61 0.06 0.55 0.93 0.44 0.84 0.75 0.92 0.11 0.20 0.47 0.06 0.63 0.94 0.97 0.43 ]
[ 0.56 0.67 0.72 0.38 0.98 0.36 0.48 0.62 0.87 0.72 1.00 0.52 0.44 0.95 1.00 0.84 0.02 0.44 0.52 0.32 0.19 0.09 0.63 0.94 0.15 0.94 0.97 0.28 0.89 0.28 0.84 0.28 0.16 0.64 0.96 0.25 0.00 0.67 0.37 0.76 0.18 0.28 0.20 0.60 0.94 0.49 0.50 0.84 0.62 0.36 0.90 0.39 0.76 0.44 0.23 0.67 0.52 0.57 0.89 0.79 0.67 0.58 0.19 0.98 ]
[ 0.66 0.91 0.47 0.93 0.86 0.35 0.01 0.39 0.63 0.18 0.52 1.00 0.28 0.80 0.43 0.10 0.39 0.46 0.91 0.57 0.23 0.93 0.44 0.88 0.97 0.44 0.44 0.94 0.45 0.24 0.97 0.86 0.79 0.56 0.65 0.28 0.41 0.29 0.23 0.99 0.29 0.73 0.10 0.29 1.00 0.98 0.26 0.79 0.51 0.40 0.63 0.20 0.32 0.98 0.61 0.37 0.26 0.47 0.94 0.76 0.85 0.05 0.68 0.31 ]
[ 0.30 0.85 0.42 0.76 0.73 0.78 1.00 0.35 0.29 0.82 0.44 0.28 1.00 0.97 0.08 0.25 0.92 0.74 0.96 0.24 0.39 0.31 0.86 0.47 0.43 0.96 0.57 0.16 0.69 0.44 0.32 0.76 0.99 0.20 0.30 0.11 0.49 0.90 0.71 0.08 0.33 0.81 0.69 0.62 0.68 0.72 0.59 0.66 0.06 0.89 0.00 0.85 0.92 0.53 0.72 0.94 0.57 0.82 0.59 0.87 0.63 0.84 0.74 0.44 ]
[ 0.32 0.27 0.35 0.51 0.40 0.20 0.24 0.18 0.82 0.19 0.95 0.80 0.97 1.00 0.20 0.62 0.88 0.76 0.11 0.67 0.68 0.52 0.00 0.49 0.73 0.82 0.22 0.82 0.85 0.88 0.64 0.22 0.94 0.33 0.07 0.19 0.44 0.52 0.56 0.57 0.45 0.06 0.96 0.36 0.84 0.27 0.78 0.21 0.19 0.72 0.16 0.53 0.34 0.88 0.86 0.34 0.90 0.86 0.16 0.72 0.75 0.64 0.89 0.33 ]
[ 0.81 0.40 0.12 0.52 0.51 0.84 0.10 0.48 0.91 0.18 1.00 0.43 0.08 0.20 1.00 0.87 0.73 0.82 0.54 0.47 0.86 0.55 0.21 0.16 0.85 0.93 0.86 0.70 0.23 0.93 0.37 0.92 0.68 0.93 0.60 0.21 0.52 0.20 0.56 0.68 0.87 0.06 0.58 0.77 0.28 0.86 0.18 0.60 0.82 0.23 0.25 0.00 0.62 0.43 0.45 0.18 0.09 0.43 0.78 0.60 0.68 0.65 0.21 0.77 ]
[ 0.97 0.15 0.98 0.25 0.06 0.02 0.85 0.21 0.61 0.55 0.84 0.10 0.25 0.62 0.87 1.00 0.31 1.00 0.28 0.87 0.19 0.26 0.01 0.50 0.49 0.06 0.47 0.16 0.23 0.92 0.15 0.20 0.43 0.20 0.34 0.47 0.71 0.72 0.71 0.52 0.88 0.63 0.85 0.77 0.46 0.04 0.65 0.62 0.46 0.65 0.83 0.18 0.69 0.60 0.88 0.75 0.23 0.18 0.31 0.30 0.35 0.23 0.13 0.24 ]
[ 0.51 0.19 0.90 0.36 0.32 0.19 0.92 0.87 0.35 0.27 0.02 0.39 0.92 0.88 0.73 0.31 1.00 0.93 0.19 0.16 0.89 0.82 0.05 0.22 0.93 0.67 0.38 0.48 0.95 0.18 0.97 0.93 0.89 0.67 0.54 0.43 0.53 0.97 0.49 0.87 0.87 0.93 0.73 0.14 0.69 0.00 0.53 0.97 0.28 0.28 0.91 0.98 0.49 0.18 0.67 0.49 0.00 0.33 0.88 0.44 0.86 0.98 0.39 0.17 ]
[ 0.71 0.92 0.86 0.67 0.30 0.39 0.41 0.81 0.65 0.34 0.44 0.46 0.74 0.76 0.82 1.00 0.93 1.00 0.51 0.16 0.26 0.28 0.87 0.17 0.25 0.94 0.75 0.95 0.24 0.63 0.07 0.67 0.00 0.12 0.70 0.40 0.25 0.77 0.42 0.71 0.33 0.98 0.27 0.20 0.76 0.13 0.57 0.70 0.65 0.69 0.52 0.88 0.41 0.47 0.88 0.18 0.55 0.78 0.61 0.99 0.01 0.54 0.33 0.24 ]
