D = 18;
n = [ 1 2 2 1 2 2 0 2 0 0 1 2 2 1 2 0 2 0 ];

N = 69;
d = [ 1 2 2 3 3 4 5 5 6 6 8 8 11 12 12 13 13 14 15 15 17 17 18 10 18 16 2 3 6 3 14 13 18 12 6 12 15 3 4 14 18 12 16 7 4 15 10 15 16 10 8 1 8 7 8 7 2 8 10 5 10 3 17 7 14 4 18 10 4 ];
m = [
[ 1.00 0.26 0.86 0.89 0.40 0.05 0.90 0.85 0.91 0.96 0.88 0.68 0.59 0.38 0.75 0.41 0.38 0.22 0.51 0.76 0.93 0.62 0.98 0.37 0.72 0.01 0.34 0.76 0.61 0.38 0.87 0.59 0.88 0.99 0.22 0.58 0.85 0.93 0.99 0.29 0.99 0.96 0.86 0.86 0.71 0.88 0.00 0.75 0.36 0.00 0.18 0.27 0.39 0.81 0.02 0.67 0.10 0.53 0.73 0.84 0.36 0.36 0.67 0.42 0.64 0.55 0.61 0.43 0.00 ]
[ 0.26 1.00 0.90 0.00 0.60 0.98 0.00 0.32 0.47 0.86 0.16 0.36 0.11 0.99 0.95 0.27 0.89 0.38 0.78 0.28 0.75 0.84 0.91 0.35 0.48 0.94 0.95 0.30 0.56 0.13 0.60 0.55 0.55 0.18 0.23 0.57 0.67 0.00 0.24 0.44 0.36 0.94 0.44 0.84 0.20 0.95 0.97 0.76 0.32 0.63 0.76 0.38 0.61 0.83 0.67 0.69 0.24 0.12 0.73 0.40 0.99 0.29 0.95 0.90 0.98 0.60 0.82 0.53 0.77 ]
[ 0.86 0.90 1.00 0.44 0.99 0.61 0.52 0.55 0.00 0.80 0.28 0.92 0.59 0.32 0.05 0.28 0.89 0.94 0.18 0.36 0.18 0.38 0.16 0.59 0.19 0.94 0.50 0.25 0.58 0.95 0.95 0.19 0.85 0.72 0.00 0.23 0.75 0.18 0.09 0.54 0.79 0.59 0.59 0.90 0.05 0.44 0.41 0.91 0.35 0.02 0.76 0.86 0.74 0.61 0.82 0.47 0.39 0.17 0.71 0.65 0.17 0.07 0.43 0.64 0.77 0.17 0.20 0.50 0.88 ]
[ 0.89 0.00 0.44 1.00 0.40 0.00 0.97 0.66 0.86 0.64 0.44 0.91 0.36 0.99 0.51 0.86 0.95 0.44 0.36 0.83 0.95 0.74 0.27 0.43 0.34 0.59 0.82 0.03 0.75 0.43 0.97 0.66 0.32 0.88 0.47 0.85 0.37 0.61 0.91 0.96 0.27 0.41 0.91 0.06 0.67 0.60 0.32 0.00 0.07 0.88 0.83 0.16 0.61 0.69 0.34 0.77 0.85 0.90 0.95 0.52 0.95 0.53 0.55 0.27 0.44 0.20 0.95 0.49 0.14 ]
[ 0.40 0.60 0.99 0.40 1.00 0.49 0.21 0.29 0.94 0.31 0.47 0.26 0.21 0.90 0.58 0.65 0.97 0.43 0.78 0.98 0.26 0.01 0.62 0.90 0.73 0.52 0.38 0.44 0.91 0.86 0.31 0.85 0.57 0.54 0.90 0.40 0.96 0.11 0.96 0.95 0.59 0.76 0.13 0.42 0.17 0.33 0.34 0.37 0.96 0.91 0.34 0.92 0.28 0.41 0.33 0.52 0.31 0.74 0.63 0.40 0.64 0.84 0.98 0.75 0.28 0.94 0.83 0.46 0.35 ]
[ 0.05 0.98 0.61 0.00 0.49 1.00 0.01 0.74 0.91 0.16 0.26 0.93 0.45 0.00 0.06 0.17 0.18 0.80 0.89 0.32 0.73 0.94 0.92 0.00 0.87 0.53 0.77 0.73 0.30 0.58 0.62 0.41 0.75 0.38 0.33 0.91 0.93 0.30 0.04 0.61 0.85 0.51 0.98 0.36 0.57 0.47 0.66 0.63 0.74 0.66 0.66 0.63 0.14 0.92 0.36 0.57 0.36 0.88 0.92 0.36 0.06 0.90 0.94 0.66 0.17 0.52 0.94 0.00 0.87 ]
[ 0.90 0.00 0.52 0.97 0.21 0.01 1.00 0.63 0.56 0.65 0.06 0.86 0.44 0.81 0.27 0.83 0.36 0.28 0.27 0.22 0.80 0.31 0.94 0.46 0.30 0.86 0.01 0.50 0.57 0.90 0.65 0.93 0.17 0.39 0.45 0.14 0.94 0.42 0.21 0.91 0.15 0.79 0.62 0.57 0.74 0.86 0.04 0.55 0.89 0.48 0.40 0.19 0.94 0.22 0.36 0.82 0.81 0.42 0.35 0.76 0.99 0.63 0.92 0.48 0.27 0.92 0.90 0.07 0.00 ]
[ 0.85 0.32 0.55 0.66 0.29 0.74 0.63 1.00 0.08 0.89 0.93 0.15 0.82 0.96 0.47 0.98 0.54 0.74 0.52 1.00 0.18 0.74 0.84 0.52 0.42 0.94 0.90 0.42 0.26 0.00 0.58 0.87 0.52 0.73 0.11 0.37 0.47 0.18 0.97 0.53 0.29 0.82 0.63 0.93 0.62 0.04 0.57 0.34 0.94 0.47 0.93 0.49 0.58 0.99 0.90 0.71 0.73 0.95 0.34 0.00 0.81 0.12 0.92 0.49 0.65 0.18 0.21 0.49 0.45 ]
[ 0.91 0.47 0.00 0.86 0.94 0.91 0.56 0.08 1.00 0.16 0.40 0.61 0.39 0.56 0.63 0.42 0.60 0.98 0.36 0.63 0.99 0.17 0.08 0.19 0.53 0.73 0.55 0.97 0.79 0.70 0.29 0.31 0.38 0.14 0.44 0.60 0.05 0.40 0.29 0.75 0.07 0.59 0.28 0.99 0.73 0.63 0.80 0.76 0.84 0.98 0.45 0.67 0.30 0.95 0.08 0.25 0.28 0.16 0.88 0.92 0.66 0.86 0.86 0.79 0.67 0.47 0.40 0.99 0.37 ]
[ 0.96 0.86 0.80 0.64 0.31 0.16 0.65 0.89 0.16 1.00 0.84 0.23 0.69 0.00 0.70 0.86 0.87 0.07 0.26 0.05 0.19 0.97 0.76 0.88 0.81 0.06 0.69 0.95 0.83 0.97 0.94 0.51 0.82 0.18 0.25 0.30 0.97 0.86 0.17 0.67 0.86 0.93 0.37 0.11 0.22 0.18 0.41 0.49 0.54 0.48 0.99 0.77 0.65 0.42 0.04 0.65 0.33 0.29 0.42 0.98 0.48 0.30 0.92 0.27 0.30 0.96 0.37 0.75 0.56 ]
