D = 12;
n = [ 0 4 0 2 2 0 3 0 0 3 3 1 ];

N = 71;
d = [ 2 2 2 2 4 4 5 5 7 7 7 10 10 10 11 11 11 12 2 11 4 2 9 5 11 6 2 7 6 4 7 10 6 1 12 8 2 9 4 6 6 12 1 5 8 5 8 8 8 10 6 3 11 6 7 1 11 12 7 8 4 6 10 1 6 9 9 11 10 12 8 ];
m = [
[ 1.00 0.86 0.90 0.27 0.72 0.55 0.85 0.72 0.75 0.94 0.43 0.73 0.29 0.44 0.42 0.48 0.73 0.37 0.80 0.52 0.25 0.48 0.41 0.61 0.86 0.97 0.88 0.80 0.81 0.77 0.91 0.96 0.78 0.90 0.53 0.55 0.85 0.73 0.38 0.56 0.11 0.72 0.19 0.34 0.20 0.39 0.52 0.62 0.87 0.33 0.79 0.41 0.13 0.34 0.63 0.55 0.33 0.36 0.87 0.37 0.66 0.95 0.96 0.64 0.41 0.55 0.69 0.88 0.26 0.75 0.38 ]
[ 0.86 1.00 0.04 0.73 0.79 0.23 0.87 0.76 0.23 0.28 0.50 0.68 0.74 0.16 0.28 0.52 0.85 0.48 0.92 0.73 0.89 0.56 0.70 0.89 0.20 0.65 0.15 0.59 0.16 0.78 0.12 0.32 0.34 0.87 0.17 0.86 0.00 0.62 0.63 1.00 0.28 0.00 0.68 0.69 0.34 0.18 0.84 0.56 0.67 0.82 0.56 0.73 0.89 0.39 0.91 0.80 0.95 0.35 0.69 0.71 0.74 0.29 0.66 0.19 0.60 0.39 0.84 0.77 0.77 0.30 0.95 ]
[ 0.90 0.04 1.00 0.35 0.49 0.68 0.94 0.35 0.44 0.35 0.89 0.57 0.05 0.24 0.23 0.00 1.00 0.69 0.99 0.55 0.91 0.01 0.68 0.81 0.16 0.08 0.11 0.67 0.27 0.68 0.71 0.19 0.18 0.21 0.67 0.33 0.71 0.97 0.14 0.70 0.29 0.86 0.87 0.53 0.50 0.71 0.21 0.86 0.63 0.22 0.74 0.94 0.95 0.30 0.25 0.50 0.36 0.89 0.42 0.11 0.22 0.27 0.91 0.37 0.45 0.49 0.70 0.79 0.46 0.19 0.87 ]
[ 0.27 0.73 0.35 1.00 0.80 0.24 0.98 1.00 0.42 0.22 0.32 0.72 0.52 0.15 0.52 0.86 0.31 0.94 0.21 0.73 0.26 0.28 0.47 0.58 0.31 0.43 0.29 0.17 0.47 0.66 0.97 0.45 0.36 0.34 0.66 0.43 0.19 0.79 0.68 0.90 0.89 0.47 0.83 0.88 0.49 0.91 0.95 0.32 0.98 0.42 0.58 0.48 0.42 0.29 0.80 0.87 0.38 0.59 0.19 0.66 0.64 0.71 0.85 0.42 0.93 0.46 0.54 0.75 0.90 0.86 0.58 ]
[ 0.72 0.79 0.49 0.80 1.00 0.91 0.69 0.89 0.75 0.40 0.24 0.14 0.30 0.83 0.87 0.82 0.90 0.56 0.76 0.75 0.75 0.45 0.90 0.46 0.59 0.96 0.15 0.98 0.16 0.82 0.89 0.97 0.66 0.29 0.85 0.21 0.37 0.50 0.26 0.71 0.67 0.53 0.29 0.77 0.33 0.90 0.67 0.21 0.92 0.20 0.90 0.90 0.61 0.34 0.69 0.58 0.94 0.31 0.09 0.17 0.99 0.39 0.47 0.28 0.96 0.42 0.43 0.95 0.55 0.76 0.00 ]
[ 0.55 0.23 0.68 0.24 0.91 1.00 0.75 0.09 0.47 0.30 0.17 0.98 0.76 0.71 0.29 0.37 0.93 0.36 0.69 0.87 0.88 0.87 0.73 0.26 0.81 0.68 0.93 0.39 0.77 0.48 0.60 0.62 0.49 0.41 0.98 0.78 0.64 0.87 0.68 0.97 0.60 0.63 0.26 0.09 0.27 0.87 0.73 1.00 0.69 0.56 0.77 0.95 0.49 0.24 0.20 0.82 0.92 0.99 0.95 0.65 0.54 0.62 0.00 0.10 0.45 0.35 0.99 0.64 0.33 0.95 0.54 ]
[ 0.85 0.87 0.94 0.98 0.69 0.75 1.00 0.07 0.19 0.28 0.96 0.45 0.31 0.35 0.99 0.37 0.83 0.42 0.05 0.43 0.55 0.23 0.09 0.44 0.61 0.41 0.34 0.86 0.20 0.22 0.89 0.39 0.85 0.25 0.97 0.85 0.56 0.93 0.62 0.98 0.52 0.68 0.00 0.36 0.24 0.86 0.97 0.61 0.02 0.31 0.40 0.90 0.05 0.23 0.96 0.90 0.27 0.22 0.99 0.33 0.71 0.48 0.67 0.48 0.81 0.71 0.99 0.88 0.81 0.90 0.89 ]
[ 0.72 0.76 0.35 1.00 0.89 0.09 0.07 1.00 0.15 0.69 0.94 0.50 0.69 0.31 0.80 0.41 0.13 0.22 0.94 0.68 0.38 0.27 0.43 0.35 0.80 0.93 0.97 0.46 0.36 0.70 0.95 0.59 0.48 0.22 0.97 0.80 0.54 0.96 0.55 0.91 0.20 0.01 0.98 0.42 0.87 0.45 0.37 0.89 0.97 0.77 0.31 0.63 0.78 0.67 0.46 1.00 0.85 0.05 0.51 0.22 0.78 0.48 0.56 0.16 0.24 1.00 0.64 0.02 0.86 0.20 0.16 ]
[ 0.75 0.23 0.44 0.42 0.75 0.47 0.19 0.15 1.00 0.00 0.85 0.06 0.94 0.85 0.86 0.66 0.25 0.33 0.57 0.50 0.98 0.86 0.33 0.51 0.15 0.72 0.94 0.81 0.90 0.47 0.50 0.61 0.61 0.27 0.20 0.29 0.73 0.90 0.35 0.75 0.46 0.90 0.98 0.89 0.88 0.60 0.79 0.39 0.88 0.97 0.88 0.88 0.90 0.86 0.46 0.78 0.10 0.99 0.92 0.70 0.83 0.42 0.66 0.47 0.89 0.31 0.37 0.45 0.84 0.32 0.49 ]
[ 0.94 0.28 0.35 0.22 0.40 0.30 0.28 0.69 0.00 1.00 0.00 0.24 0.89 0.74 0.92 0.49 0.79 0.94 0.98 0.77 0.12 0.45 0.67 0.30 0.37 0.68 0.81 0.74 0.53 0.66 0.29 0.98 0.56 0.96 0.16 0.08 0.81 0.17 0.17 0.14 0.76 0.71 0.94 0.86 0.38 0.87 0.84 0.60 0.92 0.16 0.18 0.35 0.93 0.62 0.53 0.98 0.38 0.88 0.38 0.86 0.17 0.00 0.85 0.72 0.61 0.58 0.33 0.46 0.63 0.99 0.36 ]
[ 0.43 0.50 0.89 0.32 0.24 0.17 0.96 0.94 0.85 0.00 1.00 0.02 0.76 0.80 0.23 0.76 0.31 0.81 0.35 0.98 0.84 0.22 0.60 0.92 0.35 0.54 0.82 0.04 0.47 0.59 0.06 0.39 0.56 0.99 0.01 0.72 0.33 0.04 0.46 0.32 0.28 0.36 0.48 0.83 0.72 0.93 0.23 0.77 0.25 0.55 0.94 0.88 0.00 0.49 0.96 0.15 0.45 0.68 0.34 0.53 0.87 0.11 0.33 0.35 0.64 0.52 0.63 0.22 0.88 0.04 0.98 ]
[ 0.73 0.68 0.57 0.72 0.14 0.98 0.45 0.50 0.06 0.24 0.02 1.00 0.42 0.22 0.13 0.92 0.55 0.93 0.86 0.98 0.67 0.45 0.46 0.88 0.60 0.24 0.37 0.00 0.64 0.39 0.21 0.38 0.34 0.15 0.17 0.43 0.52 0.97 0.06 0.00 0.81 0.00 0.01 0.62 0.67 0.34 0.29 0.70 0.97 0.50 0.58 0.58 0.78 0.84 0.82 0.94 0.90 0.04 0.95 0.91 0.38 0.52 0.19 0.19 0.91 0.11 0.02 0.00 0.85 0.85 0.45 ]
[ 0.29 0.74 0.05 0.52 0.30 0.76 0.31 0.69 0.94 0.89 0.76 0.42 1.00 0.37 0.64 0.62 0.28 0.93 1.00 0.25 0.34 0.55 0.73 0.75 0.89 0.74 0.60 0.81 0.31 0.46 0.96 0.17 0.67 0.53 0.70 0.88 0.87 0.30 0.99 0.97 0.32 0.42 0.49 0.83 0.55 0.59 0.52 0.32 0.30 0.00 0.15 0.29 0.94 0.35 0.98 0.42 0.56 0.44 0.50 0.46 0.37 0.74 0.42 0.77 0.11 0.60 0.26 0.97 0.72 0.90 0.91 ]
[ 0.44 0.16 0.24 0.15 0.83 0.71 0.35 0.31 0.85 0.74 0.80 0.22 0.37 1.00 0.66 0.96 0.49 0.76 0.00 0.28 0.90 0.88 0.64 0.93 0.92 0.93 0.19 0.87 0.60 0.54 0.52 0.26 0.19 0.53 0.78 0.70 0.54 0.86 0.97 0.94 0.13 0.94 0.45 0.00 0.21 0.09 0.85 0.94 0.30 0.32 0.82 0.84 0.93 0.88 0.67 0.44 0.94 0.55 0.15 0.54 0.68 0.93 0.36 0.92 0.30 0.64 0.64 0.40 0.95 0.17 0.40 ]
[ 0.42 0.28 0.23 0.52 0.87 0.29 0.99 0.80 0.86 0.92 0.23 0.13 0.64 0.66 1.00 0.91 0.84 0.51 0.88 0.16 0.30 0.67 0.11 0.15 0.82 0.21 0.43 0.78 0.16 0.91 0.40 0.40 0.67 0.37 0.81 0.80 0.13 0.60 0.78 0.50 0.40 0.51 0.18 0.71 0.05 0.45 1.00 0.01 0.61 0.64 0.63 0.67 0.90 0.00 0.30 0.95 0.43 0.56 0.34 0.82 0.38 0.96 0.87 0.20 0.88 0.94 0.22 0.53 0.93 0.71 0.99 ]
[ 0.48 0.52 0.00 0.86 0.82 0.37 0.37 0.41 0.66 0.49 0.76 0.92 0.62 0.96 0.91 1.00 0.72 0.95 0.93 0.42 0.35 0.62 0.66 0.56 0.67 0.30 0.55 0.54 0.83 0.17 0.74 0.30 0.40 0.18 0.98 0.06 0.24 0.27 0.78 0.61 0.52 0.14 0.27 0.30 0.94 0.79 0.32 0.23 0.17 0.50 0.57 0.16 0.99 0.57 0.80 0.49 0.23 0.54 1.00 0.46 0.17 0.86 0.00 0.28 0.52 0.91 0.81 0.45 0.32 0.89 0.53 ]
[ 0.73 0.85 1.00 0.31 0.90 0.93 0.83 0.13 0.25 0.79 0.31 0.55 0.28 0.49 0.84 0.72 1.00 0.94 0.59 0.54 0.84 0.05 0.40 0.61 0.88 0.08 0.27 0.26 0.27 0.70 0.28 0.50 0.94 0.65 0.86 0.24 0.57 0.62 0.29 0.55 0.87 0.26 0.99 0.92 0.77 0.52 0.90 0.70 0.87 0.86 0.68 0.89 0.63 0.37 0.05 0.36 0.15 0.97 0.96 0.19 0.50 0.65 0.59 0.63 1.00 0.99 0.83 0.23 0.31 0.54 0.38 ]
[ 0.37 0.48 0.69 0.94 0.56 0.36 0.42 0.22 0.33 0.94 0.81 0.93 0.93 0.76 0.51 0.95 0.94 1.00 0.84 0.37 0.88 0.18 0.65 0.76 0.90 0.79 0.31 0.72 0.60 0.91 0.47 0.28 0.27 0.76 0.71 0.82 0.33 0.36 0.93 0.91 0.61 0.99 0.29 0.86 0.55 0.57 0.25 0.86 0.35 0.49 0.22 0.22 0.46 0.37 0.54 0.78 0.85 0.22 0.58 0.17 0.61 0.88 0.44 0.87 0.28 0.70 0.01 0.58 0.04 0.07 0.59 ]
[ 0.80 0.92 0.99 0.21 0.76 0.69 0.05 0.94 0.57 0.98 0.35 0.86 1.00 0.00 0.88 0.93 0.59 0.84 1.00 0.19 0.89 0.73 0.37 0.18 0.49 0.70 0.52 0.09 0.53 0.84 0.33 0.02 0.53 0.42 0.85 0.71 0.57 0.22 0.92 0.78 0.44 0.98 0.57 0.61 0.97 0.68 0.33 0.58 0.48 0.82 0.46 0.11 0.41 0.99 0.83 0.72 0.52 0.38 0.24 0.89 0.10 0.17 0.78 0.63 0.10 0.74 0.43 0.25 0.41 0.60 0.82 ]
[ 0.52 0.73 0.55 0.73 0.75 0.87 0.43 0.68 0.50 0.77 0.98 0.98 0.25 0.28 0.16 0.42 0.54 0.37 0.19 1.00 0.66 0.25 0.59 0.86 0.31 0.81 0.57 0.78 0.88 0.00 0.86 0.39 0.97 1.00 0.96 0.76 0.17 0.40 0.85 0.25 0.13 0.75 0.45 0.17 0.78 0.60 0.32 0.53 0.23 0.14 0.72 0.01 0.29 0.80 0.20 0.23 0.78 0.01 0.00 0.21 0.54 0.63 0.99 0.18 0.97 0.99 0.90 0.96 0.99 0.24 0.32 ]
[ 0.25 0.89 0.91 0.26 0.75 0.88 0.55 0.38 0.98 0.12 0.84 0.67 0.34 0.90 0.30 0.35 0.84 0.88 0.89 0.66 1.00 0.32 0.86 0.32 0.98 0.92 0.84 0.79 0.70 0.74 0.51 0.88 0.49 0.21 0.23 0.54 0.44 0.54 0.85 0.79 0.23 0.89 0.48 0.84 0.03 0.73 0.55 0.54 0.85 0.49 0.98 0.48 0.74 0.97 0.72 0.66 0.17 0.17 0.88 0.97 0.72 0.22 0.10 0.47 0.36 0.68 0.85 0.91 0.34 0.96 0.98 ]
[ 0.48 0.56 0.01 0.28 0.45 0.87 0.23 0.27 0.86 0.45 0.22 0.45 0.55 0.88 0.67 0.62 0.05 0.18 0.73 0.25 0.32 1.00 0.00 0.46 0.91 0.18 0.01 0.71 0.89 0.74 0.22 0.61 0.36 0.87 0.50 0.81 0.47 0.59 0.96 0.08 0.68 0.40 0.91 0.17 0.58 0.42 1.00 0.56 0.64 0.17 0.01 0.42 0.97 0.85 0.21 0.95 0.21 0.62 0.28 0.88 0.54 0.51 0.59 0.74 0.97 0.52 0.74 0.41 0.79 0.25 0.78 ]
[ 0.41 0.70 0.68 0.47 0.90 0.73 0.09 0.43 0.33 0.67 0.60 0.46 0.73 0.64 0.11 0.66 0.40 0.65 0.37 0.59 0.86 0.00 1.00 0.73 0.74 0.49 0.03 0.73 0.89 0.35 0.45 0.32 0.16 0.86 0.62 0.48 0.71 0.56 0.45 0.95 0.80 0.36 0.98 0.75 0.92 0.00 0.35 0.86 0.17 0.87 0.56 0.35 0.88 0.20 0.36 0.99 0.78 0.39 0.39 0.98 0.40 0.95 0.88 0.81 0.80 0.99 0.64 0.77 0.20 0.54 0.95 ]
[ 0.61 0.89 0.81 0.58 0.46 0.26 0.44 0.35 0.51 0.30 0.92 0.88 0.75 0.93 0.15 0.56 0.61 0.76 0.18 0.86 0.32 0.46 0.73 1.00 0.58 0.64 0.40 0.87 0.74 0.02 0.88 0.37 0.51 0.30 0.00 0.79 0.61 0.63 0.91 0.37 0.62 0.55 0.34 0.12 0.92 0.59 0.48 0.90 0.47 0.12 0.90 0.49 0.93 0.57 0.31 0.72 0.73 0.93 0.85 0.56 0.59 0.07 0.26 0.11 0.00 0.51 0.61 0.83 0.70 0.33 0.91 ]
[ 0.86 0.20 0.16 0.31 0.59 0.81 0.61 0.80 0.15 0.37 0.35 0.60 0.89 0.92 0.82 0.67 0.88 0.90 0.49 0.31 0.98 0.91 0.74 0.58 1.00 0.08 0.84 0.72 0.82 0.61 0.69 0.98 0.18 0.56 0.83 0.26 0.38 0.35 0.34 0.75 0.64 0.14 0.05 0.97 0.77 0.66 0.36 0.52 0.32 0.15 0.30 0.98 0.35 0.61 0.10 0.30 0.14 0.86 0.78 0.58 0.35 0.46 0.81 0.99 0.21 0.43 0.22 0.13 0.44 0.82 0.17 ]
[ 0.97 0.65 0.08 0.43 0.96 0.68 0.41 0.93 0.72 0.68 0.54 0.24 0.74 0.93 0.21 0.30 0.08 0.79 0.70 0.81 0.92 0.18 0.49 0.64 0.08 1.00 0.50 0.90 0.89 0.47 0.85 0.29 0.40 0.44 0.38 0.89 0.71 0.84 0.00 0.43 0.63 0.28 0.15 0.87 0.44 0.86 0.41 0.49 0.27 0.31 0.99 0.64 0.52 0.61 0.69 0.38 0.08 0.36 0.62 0.26 0.13 0.40 0.17 0.18 0.92 0.62 0.15 0.21 0.44 0.95 0.70 ]
[ 0.88 0.15 0.11 0.29 0.15 0.93 0.34 0.97 0.94 0.81 0.82 0.37 0.60 0.19 0.43 0.55 0.27 0.31 0.52 0.57 0.84 0.01 0.03 0.40 0.84 0.50 1.00 0.60 0.93 0.13 0.91 0.36 0.32 0.92 0.49 0.92 0.70 0.40 0.51 0.36 0.00 1.00 0.99 0.96 0.54 0.27 0.86 0.86 0.47 0.98 0.29 0.30 0.26 0.51 0.76 0.88 0.25 0.00 0.22 0.95 0.69 0.93 0.45 0.57 0.30 0.59 0.51 0.87 0.87 0.28 0.40 ]
[ 0.80 0.59 0.67 0.17 0.98 0.39 0.86 0.46 0.81 0.74 0.04 0.00 0.81 0.87 0.78 0.54 0.26 0.72 0.09 0.78 0.79 0.71 0.73 0.87 0.72 0.90 0.60 1.00 0.36 0.35 0.18 0.65 0.69 0.16 0.17 0.20 0.30 0.81 0.31 0.73 0.23 0.98 0.86 0.92 0.42 0.74 0.87 0.00 0.77 0.87 0.86 0.35 0.97 0.61 0.70 0.48 0.88 0.17 0.00 0.89 0.98 0.96 0.19 0.32 0.96 0.36 0.42 0.30 0.60 0.97 0.55 ]
[ 0.81 0.16 0.27 0.47 0.16 0.77 0.20 0.36 0.90 0.53 0.47 0.64 0.31 0.60 0.16 0.83 0.27 0.60 0.53 0.88 0.70 0.89 0.89 0.74 0.82 0.89 0.93 0.36 1.00 0.96 0.23 0.96 0.63 0.10 0.60 0.88 0.88 0.75 0.96 0.75 0.16 0.89 0.75 0.99 0.79 0.00 0.17 0.99 0.09 0.38 0.55 0.04 0.77 0.87 0.49 0.62 0.36 0.76 0.94 0.79 0.71 0.28 0.07 0.51 0.86 0.27 0.52 0.75 0.88 0.30 0.04 ]
[ 0.77 0.78 0.68 0.66 0.82 0.48 0.22 0.70 0.47 0.66 0.59 0.39 0.46 0.54 0.91 0.17 0.70 0.91 0.84 0.00 0.74 0.74 0.35 0.02 0.61 0.47 0.13 0.35 0.96 1.00 0.37 0.94 0.51 0.01 0.31 0.17 0.65 0.93 0.57 0.86 0.87 0.88 0.15 0.85 0.87 0.23 0.71 0.95 0.99 0.96 0.57 0.56 0.35 0.52 0.95 0.60 0.29 0.75 0.90 0.44 0.22 0.98 0.33 0.31 0.32 0.90 0.96 0.25 0.19 0.78 0.35 ]
[ 0.91 0.12 0.71 0.97 0.89 0.60 0.89 0.95 0.50 0.29 0.06 0.21 0.96 0.52 0.40 0.74 0.28 0.47 0.33 0.86 0.51 0.22 0.45 0.88 0.69 0.85 0.91 0.18 0.23 0.37 1.00 0.55 0.45 0.62 0.34 0.29 0.59 0.35 0.59 0.20 0.48 0.65 0.42 0.30 0.53 0.28 0.95 0.37 0.27 0.73 0.86 0.72 0.87 0.94 0.59 0.59 0.21 0.36 0.30 0.79 0.94 0.09 0.13 0.41 0.76 0.46 0.31 0.61 0.41 0.22 0.78 ]
[ 0.96 0.32 0.19 0.45 0.97 0.62 0.39 0.59 0.61 0.98 0.39 0.38 0.17 0.26 0.40 0.30 0.50 0.28 0.02 0.39 0.88 0.61 0.32 0.37 0.98 0.29 0.36 0.65 0.96 0.94 0.55 1.00 0.22 0.20 0.47 0.99 0.17 0.92 0.74 0.51 0.37 0.45 0.90 0.17 0.85 0.32 0.43 0.98 0.87 0.78 0.88 0.14 0.40 0.74 0.66 0.44 0.66 0.73 0.50 0.20 0.89 0.57 0.07 0.26 0.39 0.87 0.76 0.67 0.52 0.45 0.99 ]
[ 0.78 0.34 0.18 0.36 0.66 0.49 0.85 0.48 0.61 0.56 0.56 0.34 0.67 0.19 0.67 0.40 0.94 0.27 0.53 0.97 0.49 0.36 0.16 0.51 0.18 0.40 0.32 0.69 0.63 0.51 0.45 0.22 1.00 0.37 0.63 0.67 0.85 0.62 0.87 0.00 0.94 0.21 0.86 0.39 0.16 0.39 0.84 0.61 0.75 0.55 0.27 0.33 0.65 0.16 0.30 0.77 0.00 0.84 0.23 0.61 0.96 0.40 0.80 0.84 0.50 0.36 0.33 0.17 0.59 0.81 0.39 ]
[ 0.90 0.87 0.21 0.34 0.29 0.41 0.25 0.22 0.27 0.96 0.99 0.15 0.53 0.53 0.37 0.18 0.65 0.76 0.42 1.00 0.21 0.87 0.86 0.30 0.56 0.44 0.92 0.16 0.10 0.01 0.62 0.20 0.37 1.00 0.59 0.71 0.45 0.99 0.19 0.22 0.45 0.45 0.70 0.83 0.94 0.60 0.88 0.63 0.21 0.83 0.06 0.38 0.64 0.99 0.81 0.27 0.85 0.70 0.51 0.78 0.85 0.69 0.97 0.39 0.92 0.57 0.21 0.95 0.88 0.93 0.94 ]
[ 0.53 0.17 0.67 0.66 0.85 0.98 0.97 0.97 0.20 0.16 0.01 0.17 0.70 0.78 0.81 0.98 0.86 0.71 0.85 0.96 0.23 0.50 0.62 0.00 0.83 0.38 0.49 0.17 0.60 0.31 0.34 0.47 0.63 0.59 1.00 0.00 0.58 0.36 0.72 0.38 0.19 0.64 0.95 0.94 0.94 0.00 0.49 0.21 0.69 0.68 0.91 0.00 0.79 0.90 0.06 0.89 0.86 0.54 0.09 0.99 0.96 0.01 0.85 0.15 0.97 0.80 0.61 0.24 0.31 0.71 0.93 ]
[ 0.55 0.86 0.33 0.43 0.21 0.78 0.85 0.80 0.29 0.08 0.72 0.43 0.88 0.70 0.80 0.06 0.24 0.82 0.71 0.76 0.54 0.81 0.48 0.79 0.26 0.89 0.92 0.20 0.88 0.17 0.29 0.99 0.67 0.71 0.00 1.00 0.36 0.44 0.39 0.00 0.89 0.72 0.88 0.70 0.64 0.86 0.99 0.57 0.37 0.44 0.84 0.89 0.36 0.48 0.88 0.30 0.58 0.30 0.68 0.22 1.00 0.43 0.00 0.85 0.63 0.48 0.88 0.65 0.70 0.64 0.12 ]
[ 0.85 0.00 0.71 0.19 0.37 0.64 0.56 0.54 0.73 0.81 0.33 0.52 0.87 0.54 0.13 0.24 0.57 0.33 0.57 0.17 0.44 0.47 0.71 0.61 0.38 0.71 0.70 0.30 0.88 0.65 0.59 0.17 0.85 0.45 0.58 0.36 1.00 0.26 0.69 0.46 0.82 0.96 0.91 0.71 0.34 0.40 0.84 0.42 0.05 0.42 0.63 0.85 0.89 0.63 0.06 0.58 0.54 0.66 0.03 0.34 0.90 0.92 0.47 0.00 0.69 0.74 0.58 0.76 0.88 0.96 0.45 ]
[ 0.73 0.62 0.97 0.79 0.50 0.87 0.93 0.96 0.90 0.17 0.04 0.97 0.30 0.86 0.60 0.27 0.62 0.36 0.22 0.40 0.54 0.59 0.56 0.63 0.35 0.84 0.40 0.81 0.75 0.93 0.35 0.92 0.62 0.99 0.36 0.44 0.26 1.00 0.97 0.07 0.92 0.40 0.63 0.37 0.05 0.69 0.20 0.20 0.91 0.74 0.68 0.38 0.29 0.43 0.50 0.24 0.89 1.00 0.90 0.89 0.77 0.71 0.54 0.77 0.54 0.32 0.67 0.74 0.38 0.81 0.21 ]
[ 0.38 0.63 0.14 0.68 0.26 0.68 0.62 0.55 0.35 0.17 0.46 0.06 0.99 0.97 0.78 0.78 0.29 0.93 0.92 0.85 0.85 0.96 0.45 0.91 0.34 0.00 0.51 0.31 0.96 0.57 0.59 0.74 0.87 0.19 0.72 0.39 0.69 0.97 1.00 0.72 0.55 0.89 0.86 0.57 0.53 0.79 0.34 0.20 0.52 0.26 0.76 0.30 0.33 0.86 0.88 0.63 0.94 0.67 0.48 0.58 0.66 0.02 0.38 0.98 0.50 0.24 0.16 0.56 0.50 0.58 0.92 ]
[ 0.56 1.00 0.70 0.90 0.71 0.97 0.98 0.91 0.75 0.14 0.32 0.00 0.97 0.94 0.50 0.61 0.55 0.91 0.78 0.25 0.79 0.08 0.95 0.37 0.75 0.43 0.36 0.73 0.75 0.86 0.20 0.51 0.00 0.22 0.38 0.00 0.46 0.07 0.72 1.00 0.93 0.00 0.89 0.65 0.91 0.40 0.76 0.00 0.86 0.22 0.03 0.81 0.55 0.50 0.26 0.71 0.43 0.95 0.94 0.40 0.97 0.94 0.83 0.84 0.27 0.94 0.37 0.57 0.21 0.81 0.00 ]
