D = 16;
n = [ 2 1 0 1 0 0 1 1 3 2 1 1 0 1 3 2 ];

N = 75;
d = [ 1 1 2 4 7 8 9 9 9 10 10 11 12 14 15 15 15 16 16 5 16 1 1 7 16 5 5 4 2 15 1 5 3 6 8 12 2 1 9 14 14 6 9 5 15 11 1 9 14 15 13 13 15 13 3 14 1 7 2 2 5 2 6 8 7 13 3 8 13 11 5 11 16 14 15 ];
m = [
[ 1.00 0.61 0.27 0.56 0.71 0.57 0.93 0.59 0.62 0.67 0.91 0.34 0.71 0.98 0.33 0.92 0.27 0.18 0.41 0.55 0.90 0.76 0.88 0.83 0.77 0.29 0.43 0.00 0.29 0.89 0.17 0.60 0.76 0.11 0.25 0.70 0.61 0.28 0.27 0.47 0.94 0.32 0.94 0.88 0.50 0.99 0.26 0.28 0.41 0.04 0.31 0.73 0.85 0.41 0.64 0.29 1.00 0.02 0.88 0.90 0.69 0.29 0.77 0.82 0.35 0.68 0.33 0.42 0.58 0.91 0.55 0.57 0.20 0.26 0.17 ]
[ 0.61 1.00 0.79 0.71 0.96 0.51 0.80 0.99 0.36 0.35 0.91 0.06 0.88 0.92 0.94 0.93 0.97 0.31 0.40 0.73 0.64 0.97 0.24 0.38 0.13 0.22 0.50 0.21 0.52 0.93 0.86 0.72 0.57 0.94 0.19 0.85 0.67 0.91 0.92 0.36 0.38 0.55 0.81 0.54 0.29 0.93 0.24 0.25 0.44 0.10 0.87 0.32 0.92 0.66 0.41 0.35 0.07 0.53 0.50 0.74 0.27 0.15 0.70 0.00 0.75 0.63 0.41 0.72 0.55 0.73 0.55 0.61 0.82 0.06 0.89 ]
[ 0.27 0.79 1.00 0.27 0.94 0.96 0.36 0.57 0.46 0.23 0.30 0.62 0.49 0.00 0.86 0.42 0.55 0.46 0.76 0.29 0.34 0.20 0.61 0.34 0.35 0.80 0.68 0.70 0.40 0.89 0.99 0.48 0.89 0.93 0.55 0.45 0.86 0.93 0.90 0.54 0.38 0.96 0.90 0.94 0.12 0.25 0.53 0.28 0.93 0.98 0.91 0.82 0.72 0.89 0.32 0.71 0.89 0.60 0.19 0.41 0.25 0.08 0.24 0.92 0.46 0.69 0.62 0.05 0.28 0.60 0.91 0.15 0.83 0.39 0.99 ]
[ 0.56 0.71 0.27 1.00 0.77 0.31 0.96 0.29 0.16 0.94 0.50 0.50 0.66 0.07 0.23 0.72 0.53 0.69 0.12 0.57 0.96 0.87 0.28 0.95 0.84 0.00 0.49 0.48 0.30 0.70 0.34 0.43 0.28 0.26 0.85 0.00 0.64 0.51 0.86 0.29 0.77 0.83 0.61 0.39 0.63 0.97 0.00 0.45 0.02 0.98 0.64 0.87 0.08 0.99 0.66 0.55 0.49 0.44 0.91 0.95 0.93 0.28 0.81 0.50 0.31 0.91 0.27 0.90 0.88 0.21 0.72 0.91 0.44 0.62 0.62 ]
[ 0.71 0.96 0.94 0.77 1.00 0.88 0.53 0.20 0.17 0.56 0.78 0.88 0.49 0.70 0.65 0.59 0.52 0.98 0.70 0.96 0.76 0.64 0.43 0.99 0.38 0.95 0.47 0.90 0.40 0.95 0.83 0.09 0.89 0.46 1.00 0.50 0.28 0.33 0.83 0.85 0.95 0.51 0.52 0.19 0.99 0.83 0.82 0.42 0.18 0.33 0.85 0.75 1.00 0.70 0.34 0.31 0.47 0.86 0.55 0.77 0.97 0.42 0.00 0.96 0.50 0.32 0.57 0.41 0.83 0.56 0.96 0.87 0.72 0.66 0.07 ]
[ 0.57 0.51 0.96 0.31 0.88 1.00 0.63 0.60 0.38 0.85 0.42 0.63 0.15 0.59 0.21 0.98 0.93 0.86 0.04 0.52 0.62 0.73 0.80 0.79 0.00 0.99 0.32 0.01 0.43 0.50 0.44 0.94 0.58 0.24 0.48 0.97 0.95 0.35 0.95 0.99 0.94 0.89 0.89 0.67 0.61 0.42 0.39 0.25 0.88 0.30 0.34 0.24 0.96 1.00 0.87 0.41 0.96 0.60 0.85 0.09 0.59 0.96 0.16 0.80 0.24 0.77 0.87 0.39 0.06 0.35 0.32 0.40 0.38 0.16 0.42 ]
[ 0.93 0.80 0.36 0.96 0.53 0.63 1.00 0.82 0.61 0.84 0.51 0.78 0.18 0.19 0.97 0.18 0.66 0.69 0.84 0.84 0.25 0.59 0.10 0.53 0.33 1.00 0.91 0.45 0.95 0.95 0.77 0.09 0.00 0.57 0.53 0.36 0.56 0.29 0.08 0.52 0.89 0.53 0.42 0.26 0.46 0.48 0.49 0.99 0.92 0.49 0.87 0.96 0.65 0.80 0.95 0.15 0.82 0.56 0.51 0.42 0.53 0.35 0.81 0.93 0.97 0.49 0.97 0.58 0.23 0.00 0.68 0.68 0.82 0.33 0.72 ]
[ 0.59 0.99 0.57 0.29 0.20 0.60 0.82 1.00 0.63 0.93 0.20 0.92 0.22 0.86 0.91 0.14 0.94 0.64 0.87 0.25 0.25 0.30 0.43 0.44 0.97 0.94 0.55 0.28 0.17 0.70 0.33 0.85 0.22 1.00 0.29 0.28 0.31 0.67 0.46 0.66 0.24 0.25 0.47 0.41 0.57 0.79 0.98 0.65 0.62 0.88 0.73 0.29 0.97 0.64 0.87 0.49 0.12 0.80 0.14 0.66 0.47 0.45 0.57 0.32 0.97 0.24 0.12 0.65 0.89 0.74 0.98 0.58 0.99 0.98 0.75 ]
[ 0.62 0.36 0.46 0.16 0.17 0.38 0.61 0.63 1.00 0.49 0.89 0.58 0.18 0.22 0.36 0.00 0.25 0.33 0.76 0.57 0.50 0.98 0.99 0.83 0.04 0.90 0.72 0.03 0.34 0.96 0.42 0.95 0.56 0.35 0.58 0.64 0.00 0.55 0.96 0.30 0.35 0.98 0.56 0.24 0.40 0.85 0.57 0.29 0.56 0.91 0.69 0.66 0.25 0.24 0.04 0.91 0.87 0.48 0.91 0.99 0.97 0.89 0.99 0.52 0.58 0.55 0.33 0.35 0.09 0.33 0.67 0.07 0.82 0.55 0.51 ]
[ 0.67 0.35 0.23 0.94 0.56 0.85 0.84 0.93 0.49 1.00 0.21 0.92 0.96 0.12 0.83 0.88 0.71 0.74 0.75 0.49 0.36 0.70 0.21 0.63 0.86 0.28 0.51 0.00 0.32 0.37 0.19 0.10 0.52 0.92 0.16 0.21 0.27 0.99 0.44 0.57 0.69 0.33 0.38 0.47 0.15 0.19 0.92 0.00 0.16 0.87 0.79 0.65 0.24 0.14 0.46 0.61 0.00 0.48 0.39 0.62 0.90 0.55 0.65 0.26 0.20 0.48 0.83 0.43 0.94 0.82 0.76 0.04 1.00 0.25 0.53 ]
[ 0.91 0.91 0.30 0.50 0.78 0.42 0.51 0.20 0.89 0.21 1.00 0.23 0.92 0.36 0.67 0.93 0.51 0.51 0.49 0.92 0.39 0.95 0.86 0.94 0.96 0.39 0.53 0.00 0.16 0.92 0.78 0.69 0.48 0.04 0.36 0.46 0.50 0.18 0.99 0.36 0.70 0.90 0.55 0.34 0.79 0.70 0.96 0.53 0.40 0.25 0.99 0.15 0.00 0.19 0.43 0.91 0.75 0.95 0.16 0.88 0.39 0.41 0.65 0.64 0.35 0.18 0.91 0.99 0.21 0.99 0.21 0.97 0.00 0.48 0.73 ]
[ 0.34 0.06 0.62 0.50 0.88 0.63 0.78 0.92 0.58 0.92 0.23 1.00 0.86 0.31 0.71 0.00 0.66 0.64 0.54 0.99 0.90 0.71 0.99 0.79 0.25 0.80 0.30 0.70 0.79 0.37 0.16 0.71 0.70 0.96 0.89 0.37 0.57 0.01 0.77 0.50 0.11 1.00 0.89 0.85 0.84 0.03 0.00 0.84 0.73 0.00 0.27 0.27 0.41 0.09 0.35 0.45 0.93 0.30 0.21 0.33 0.60 0.47 0.31 0.72 0.38 0.44 0.86 0.15 0.41 0.75 0.86 0.45 0.45 0.20 0.23 ]
[ 0.71 0.88 0.49 0.66 0.49 0.15 0.18 0.22 0.18 0.96 0.92 0.86 1.00 0.58 0.56 0.56 0.56 0.68 0.64 0.91 0.69 0.26 0.83 0.97 0.35 0.59 0.76 0.31 0.18 0.68 0.79 0.45 0.67 0.43 0.91 0.27 0.28 0.35 0.90 0.88 0.36 0.40 0.51 0.26 0.45 0.88 0.89 0.74 0.70 0.44 0.19 0.90 0.99 0.42 0.95 0.00 0.82 0.34 0.79 0.34 0.34 0.60 0.91 0.47 0.86 0.00 0.88 0.44 0.85 0.23 0.58 1.00 0.66 0.72 0.34 ]
