D = 24;
n = [ 1 1 0 2 2 0 1 1 2 0 1 2 2 1 1 0 1 2 1 1 2 0 2 1 ];

N = 83;
d = [ 1 2 4 4 5 5 7 8 9 9 11 12 12 13 13 14 15 17 18 18 19 20 21 21 23 23 24 7 14 6 18 11 18 19 15 2 5 7 17 3 18 15 24 22 23 6 15 10 1 4 2 7 6 2 6 24 1 6 22 6 11 15 17 20 10 23 13 6 5 5 24 22 19 23 19 17 21 1 2 21 20 20 19 ];
m = [
[ 1.00 0.22 0.48 0.00 0.64 0.62 0.65 0.96 0.30 0.99 0.05 0.23 0.62 0.36 0.94 0.61 0.79 0.69 0.61 0.66 0.80 0.50 0.48 0.98 0.46 0.89 0.09 0.17 0.26 0.00 0.97 0.33 0.45 0.88 0.23 0.68 0.82 1.00 0.60 0.46 0.94 0.00 0.91 0.99 0.21 0.68 0.77 0.81 0.63 0.53 0.51 0.48 0.51 0.99 0.35 0.54 0.67 0.29 0.58 0.56 0.89 0.42 0.57 0.50 0.96 1.00 0.94 0.31 0.22 0.89 0.38 0.84 0.57 0.31 0.00 0.72 0.94 0.89 0.68 0.36 0.40 0.17 0.81 ]
[ 0.22 1.00 0.73 0.09 0.37 0.39 0.82 0.65 0.59 0.51 0.98 0.94 0.00 0.39 0.32 0.87 0.44 0.51 0.93 0.49 0.78 0.77 0.44 0.65 0.80 0.21 0.07 0.82 0.27 0.41 0.95 0.84 0.29 0.84 0.21 0.89 0.80 0.84 0.07 0.99 0.90 0.67 0.89 0.92 0.85 0.72 0.37 0.69 0.36 0.32 0.88 0.40 0.62 0.08 0.20 0.08 0.07 0.34 0.82 0.21 0.93 0.60 0.64 0.42 0.03 0.41 0.87 0.94 0.00 0.22 0.26 0.92 0.84 0.74 0.62 0.96 0.24 0.35 0.40 0.43 0.77 0.66 0.27 ]
[ 0.48 0.73 1.00 0.76 0.54 0.79 0.50 0.36 0.20 0.26 0.96 0.91 0.55 0.74 0.41 0.35 0.89 0.53 0.48 0.06 0.06 0.11 0.64 0.40 0.28 0.08 0.44 0.66 0.93 0.99 0.72 0.27 0.29 0.08 0.24 0.65 0.33 0.41 0.51 0.67 0.88 0.94 0.87 0.60 0.78 0.95 0.67 0.97 0.93 0.59 0.31 0.26 0.71 0.46 0.32 0.15 0.92 0.24 0.80 0.38 0.37 0.54 0.71 0.15 0.62 0.16 0.83 0.91 0.64 0.20 0.17 0.44 0.63 0.21 0.36 0.92 0.43 0.62 0.41 0.54 0.36 0.81 0.96 ]
[ 0.00 0.09 0.76 1.00 0.18 0.28 0.91 0.29 0.65 0.39 0.50 0.31 0.04 0.99 0.73 0.94 0.41 0.82 0.27 0.61 0.25 0.90 0.20 0.05 0.44 0.94 0.35 0.75 0.92 0.92 0.87 0.10 0.83 0.72 0.38 0.90 0.38 0.83 0.30 0.28 0.81 0.52 0.56 0.97 0.88 0.36 0.36 0.98 0.94 0.44 0.24 0.40 0.48 0.76 0.59 0.37 0.74 0.71 0.31 0.47 0.97 0.68 0.11 0.41 0.33 0.28 0.56 0.74 0.78 0.66 0.69 0.22 0.13 0.00 0.87 0.49 0.33 0.37 0.81 0.67 0.87 0.45 0.87 ]
[ 0.64 0.37 0.54 0.18 1.00 0.91 0.76 0.14 0.98 0.49 0.98 0.93 0.98 0.51 0.32 0.47 0.67 0.44 0.67 0.47 0.97 0.86 0.99 0.86 0.98 0.36 0.83 0.95 0.72 0.98 0.18 0.89 0.55 0.95 0.51 0.28 0.84 0.17 0.26 0.00 0.86 0.19 0.62 0.92 0.95 0.41 0.96 1.00 0.37 0.88 0.27 0.97 0.40 0.53 0.28 0.18 0.91 0.85 0.84 0.52 0.88 0.92 0.61 0.48 0.21 0.94 0.19 0.69 0.45 0.63 0.83 0.75 0.75 0.91 0.91 0.52 0.74 0.53 0.43 0.46 0.65 0.67 0.45 ]
[ 0.62 0.39 0.79 0.28 0.91 1.00 0.87 0.72 0.48 0.09 0.87 0.30 0.36 0.47 0.30 0.70 0.97 0.69 0.62 0.34 0.32 0.79 0.53 0.34 0.93 0.39 0.38 0.87 0.02 0.92 0.14 0.24 0.91 0.99 0.43 0.07 0.98 0.19 0.24 0.45 0.28 0.34 0.90 0.87 0.18 0.76 0.97 0.59 0.99 0.89 0.65 0.81 0.28 0.15 0.37 0.82 0.03 0.85 0.62 0.17 0.96 0.62 0.78 0.68 0.74 0.24 0.98 0.26 0.01 0.38 0.56 0.98 0.51 0.38 0.86 0.99 0.33 0.39 0.76 0.84 0.87 0.34 0.27 ]
[ 0.65 0.82 0.50 0.91 0.76 0.87 1.00 0.16 0.55 0.59 0.59 0.83 0.45 0.90 0.62 0.05 0.71 0.22 0.68 0.41 0.03 0.14 0.19 0.57 0.89 0.97 0.67 0.17 0.20 0.63 0.56 0.61 0.60 0.86 0.73 0.37 0.86 0.41 0.25 0.96 0.29 0.35 0.38 0.87 0.62 0.87 0.72 0.60 0.52 0.76 0.87 0.41 0.44 0.90 0.66 1.00 0.58 0.77 0.56 0.38 0.74 0.51 0.31 0.24 0.74 0.23 0.29 0.25 0.89 0.28 0.93 0.78 0.45 0.20 0.97 0.35 0.74 0.90 0.82 0.73 0.46 0.68 0.45 ]
[ 0.96 0.65 0.36 0.29 0.14 0.72 0.16 1.00 0.34 0.39 0.59 0.94 1.00 0.36 0.21 0.45 0.67 0.26 0.39 0.49 0.79 0.22 0.56 0.55 0.29 0.37 0.69 0.39 1.00 0.97 0.68 0.46 0.50 0.08 0.65 0.16 1.00 0.37 0.95 0.43 0.97 0.62 0.60 0.38 0.95 0.65 0.90 0.79 0.69 0.63 0.50 0.24 0.72 0.16 0.38 0.37 0.24 0.65 0.85 0.44 0.27 0.86 0.35 0.39 0.48 0.53 0.96 0.46 0.87 0.85 0.76 0.94 0.36 0.00 0.36 0.27 0.93 0.01 0.57 0.91 0.93 0.29 0.24 ]
[ 0.30 0.59 0.20 0.65 0.98 0.48 0.55 0.34 1.00 0.81 0.84 0.63 0.89 0.84 0.05 0.16 0.59 0.93 0.07 0.88 0.61 0.68 0.82 0.64 0.73 0.68 0.86 0.32 0.46 0.54 0.93 0.90 0.69 0.89 0.07 0.90 0.16 0.39 0.86 0.19 0.62 0.96 0.33 0.16 0.88 0.47 0.26 0.76 0.63 0.28 0.09 0.05 0.61 0.94 0.65 0.59 0.92 0.23 0.37 0.46 0.96 0.31 0.64 0.00 0.42 0.83 0.77 0.79 0.27 0.87 0.90 0.52 0.89 0.73 0.03 0.49 0.00 0.42 0.93 0.86 0.48 0.34 0.28 ]
[ 0.99 0.51 0.26 0.39 0.49 0.09 0.59 0.39 0.81 1.00 0.82 0.83 0.76 0.76 0.44 0.85 0.91 0.07 0.51 0.17 0.26 0.83 0.13 0.49 0.50 0.80 0.43 0.16 0.69 0.83 0.92 0.49 0.15 0.32 0.28 0.44 0.72 0.52 0.74 0.71 0.63 0.97 0.58 0.90 0.96 0.56 0.36 0.01 0.18 0.73 0.56 0.54 0.59 0.20 0.22 0.72 0.57 0.76 0.45 0.58 0.55 0.38 0.89 0.28 0.65 0.51 0.32 0.65 0.87 0.39 0.95 0.18 0.96 0.48 0.26 0.37 0.89 0.57 0.18 0.97 0.70 0.20 0.44 ]
