D = 1;
n = [ 1 ];

N = 9;
d = [ 1 1 1 1 1 1 1 1 1 ];
m = [
[ 1.00 0.70 0.79 0.22 0.06 0.21 0.18 0.28 0.83 ]
[ 0.70 1.00 0.94 0.93 0.85 0.41 0.49 1.00 0.48 ]
[ 0.79 0.94 1.00 0.93 0.32 0.94 0.89 0.84 0.83 ]
[ 0.22 0.93 0.93 1.00 0.24 0.72 0.86 0.96 0.87 ]
[ 0.06 0.85 0.32 0.24 1.00 0.37 0.94 0.16 0.44 ]
[ 0.21 0.41 0.94 0.72 0.37 1.00 0.81 0.96 0.91 ]
[ 0.18 0.49 0.89 0.86 0.94 0.81 1.00 0.53 0.38 ]
[ 0.28 1.00 0.84 0.96 0.16 0.96 0.53 1.00 0.86 ]
[ 0.83 0.48 0.83 0.87 0.44 0.91 0.38 0.86 1.00 ]
];
