D = 8;
n = [ 1 1 2 2 0 0 0 0 ];

N = 10;
d = [ 3 5 7 3 1 6 4 5 4 2 ];
m = [
[ 1.00 0.57 0.96 0.49 0.87 0.69 0.42 0.81 0.50 0.30 ]
[ 0.57 1.00 0.23 0.45 0.95 0.47 0.99 0.13 0.23 0.13 ]
[ 0.96 0.23 1.00 0.33 0.51 0.42 0.90 0.96 0.49 0.02 ]
[ 0.49 0.45 0.33 1.00 0.61 0.81 0.30 0.66 0.18 0.72 ]
[ 0.87 0.95 0.51 0.61 1.00 0.70 0.75 0.67 0.18 0.62 ]
[ 0.69 0.47 0.42 0.81 0.70 1.00 0.37 0.60 0.43 0.87 ]
[ 0.42 0.99 0.90 0.30 0.75 0.37 1.00 0.90 0.66 0.32 ]
[ 0.81 0.13 0.96 0.66 0.67 0.60 0.90 1.00 0.85 0.14 ]
[ 0.50 0.23 0.49 0.18 0.18 0.43 0.66 0.85 1.00 0.32 ]
[ 0.30 0.13 0.02 0.72 0.62 0.87 0.32 0.14 0.32 1.00 ]
];
