D = 8;
n = [ 1 1 2 2 0 0 0 0 ];

N = 11;
d = [ 3 5 7 3 1 6 4 5 4 2 8 ];
m = [
[ 1.00 0.96 0.49 0.87 0.69 0.42 0.81 0.50 0.30 0.23 0.45 ]
[ 0.96 1.00 0.95 0.47 0.99 0.13 0.23 0.13 0.33 0.51 0.42 ]
[ 0.49 0.95 1.00 0.90 0.96 0.49 0.02 0.61 0.81 0.30 0.66 ]
[ 0.87 0.47 0.90 1.00 0.18 0.72 0.70 0.75 0.67 0.18 0.62 ]
[ 0.69 0.99 0.96 0.18 1.00 0.37 0.60 0.43 0.87 0.90 0.66 ]
[ 0.42 0.13 0.49 0.72 0.37 1.00 0.32 0.85 0.14 0.32 0.98 ]
[ 0.81 0.23 0.02 0.70 0.60 0.32 1.00 0.37 0.45 0.31 0.87 ]
[ 0.50 0.13 0.61 0.75 0.43 0.85 0.37 1.00 0.87 0.21 0.83 ]
[ 0.30 0.33 0.81 0.67 0.87 0.14 0.45 0.87 1.00 0.37 0.23 ]
[ 0.23 0.51 0.30 0.18 0.90 0.32 0.31 0.21 0.37 1.00 0.44 ]
[ 0.45 0.42 0.66 0.62 0.66 0.98 0.87 0.83 0.23 0.44 1.00 ]
];
