D = 8;
n = [ 1 1 2 2 0 0 0 0 ];

N = 12;
d = [ 3 5 7 3 1 6 4 5 4 2 8 5 ];
m = [
[ 1.00 0.49 0.87 0.69 0.42 0.81 0.50 0.30 0.23 0.45 0.95 0.47 ]
[ 0.49 1.00 0.99 0.13 0.23 0.13 0.33 0.51 0.42 0.90 0.96 0.49 ]
[ 0.87 0.99 1.00 0.02 0.61 0.81 0.30 0.66 0.18 0.72 0.70 0.75 ]
[ 0.69 0.13 0.02 1.00 0.67 0.18 0.62 0.37 0.60 0.43 0.87 0.90 ]
[ 0.42 0.23 0.61 0.67 1.00 0.66 0.32 0.85 0.14 0.32 0.98 0.37 ]
[ 0.81 0.13 0.81 0.18 0.66 1.00 0.45 0.31 0.87 0.87 0.21 0.83 ]
[ 0.50 0.33 0.30 0.62 0.32 0.45 1.00 0.37 0.23 0.44 0.17 0.53 ]
[ 0.30 0.51 0.66 0.37 0.85 0.31 0.37 1.00 0.10 0.35 0.24 0.80 ]
[ 0.23 0.42 0.18 0.60 0.14 0.87 0.23 0.10 1.00 0.10 0.92 0.98 ]
[ 0.45 0.90 0.72 0.43 0.32 0.87 0.44 0.35 0.10 1.00 0.72 0.28 ]
[ 0.95 0.96 0.70 0.87 0.98 0.21 0.17 0.24 0.92 0.72 1.00 0.59 ]
[ 0.47 0.49 0.75 0.90 0.37 0.83 0.53 0.80 0.98 0.28 0.59 1.00 ]
];
