D = 10;
n = [ 1 1 2 2 0 0 0 0 0 0 ];

N = 13;
d = [ 7 3 7 6 2 7 4 8 6 1 8 1 5 ];
m = [
[ 1.00 0.42 0.81 0.50 0.30 0.23 0.45 0.95 0.47 0.99 0.13 0.23 0.13 ]
[ 0.42 1.00 0.33 0.51 0.42 0.90 0.96 0.49 0.02 0.61 0.81 0.30 0.66 ]
[ 0.81 0.33 1.00 0.18 0.72 0.70 0.75 0.67 0.18 0.62 0.37 0.60 0.43 ]
[ 0.50 0.51 0.18 1.00 0.87 0.90 0.66 0.32 0.85 0.14 0.32 0.98 0.37 ]
[ 0.30 0.42 0.72 0.87 1.00 0.45 0.31 0.87 0.87 0.21 0.83 0.37 0.23 ]
[ 0.23 0.90 0.70 0.90 0.45 1.00 0.44 0.17 0.53 0.10 0.35 0.24 0.80 ]
[ 0.45 0.96 0.75 0.66 0.31 0.44 1.00 0.10 0.92 0.98 0.72 0.28 0.59 ]
[ 0.95 0.49 0.67 0.32 0.87 0.17 0.10 1.00 0.15 0.16 0.49 0.81 0.48 ]
[ 0.47 0.02 0.18 0.85 0.87 0.53 0.92 0.15 1.00 0.33 0.95 0.80 0.31 ]
[ 0.99 0.61 0.62 0.14 0.21 0.10 0.98 0.16 0.33 1.00 0.32 0.25 0.61 ]
[ 0.13 0.81 0.37 0.32 0.83 0.35 0.72 0.49 0.95 0.32 1.00 0.19 0.13 ]
[ 0.23 0.30 0.60 0.98 0.37 0.24 0.28 0.81 0.80 0.25 0.19 1.00 0.82 ]
[ 0.13 0.66 0.43 0.37 0.23 0.80 0.59 0.48 0.31 0.61 0.13 0.82 1.00 ]
];
