D = 14;
n = [ 0 1 1 1 0 0 1 0 0 1 1 1 1 0 ];

N = 14;
d = [ 4 1 4 8 8 9 14 9 10 12 13 3 3 13 ];
m = [
[ 1.00 0.23 0.23 0.53 0.11 0.61 0.73 0.10 0.24 0.99 0.67 0.94 0.03 0.33 ]
[ 0.23 1.00 0.63 0.30 0.48 0.34 0.76 0.08 0.96 0.21 0.53 0.45 0.06 0.55 ]
[ 0.23 0.63 1.00 0.82 0.35 0.71 0.41 0.98 0.76 0.64 0.22 0.29 0.75 0.82 ]
[ 0.53 0.30 0.82 1.00 0.02 0.85 0.06 0.02 0.52 0.00 0.05 0.85 0.63 0.34 ]
[ 0.11 0.48 0.35 0.02 1.00 0.33 0.97 0.10 0.42 0.93 0.32 0.95 0.38 0.38 ]
[ 0.61 0.34 0.71 0.85 0.33 1.00 0.50 0.20 0.73 0.21 0.61 0.71 0.97 0.25 ]
[ 0.73 0.76 0.41 0.06 0.97 0.50 1.00 0.93 0.26 1.00 0.75 0.28 0.85 0.81 ]
[ 0.10 0.08 0.98 0.02 0.10 0.20 0.93 1.00 0.30 0.37 0.81 0.34 0.22 0.45 ]
[ 0.24 0.96 0.76 0.52 0.42 0.73 0.26 0.30 1.00 0.69 0.55 0.42 0.79 0.96 ]
[ 0.99 0.21 0.64 0.00 0.93 0.21 1.00 0.37 0.69 1.00 0.36 0.11 0.91 0.74 ]
[ 0.67 0.53 0.22 0.05 0.32 0.61 0.75 0.81 0.55 0.36 1.00 0.49 0.41 0.94 ]
[ 0.94 0.45 0.29 0.85 0.95 0.71 0.28 0.34 0.42 0.11 0.49 1.00 0.23 0.62 ]
[ 0.03 0.06 0.75 0.63 0.38 0.97 0.85 0.22 0.79 0.91 0.41 0.23 1.00 0.55 ]
[ 0.33 0.55 0.82 0.34 0.38 0.25 0.81 0.45 0.96 0.74 0.94 0.62 0.55 1.00 ]
];
