D = 5;
n = [ 0 3 1 3 2 ];

N = 15;
d = [ 4 2 5 2 4 2 2 5 5 3 1 5 4 1 4 ];
m = [
[ 1.00 0.85 0.02 0.38 0.29 0.16 0.59 0.63 0.05 0.23 0.23 0.53 0.11 0.61 0.73 ]
[ 0.85 1.00 0.10 0.24 0.99 0.67 0.94 0.03 0.33 0.63 0.30 0.48 0.34 0.76 0.08 ]
[ 0.02 0.10 1.00 0.96 0.21 0.53 0.45 0.06 0.55 0.82 0.35 0.71 0.41 0.98 0.76 ]
[ 0.38 0.24 0.96 1.00 0.64 0.22 0.29 0.75 0.82 0.02 0.85 0.06 0.02 0.52 0.00 ]
[ 0.29 0.99 0.21 0.64 1.00 0.05 0.85 0.63 0.34 0.33 0.97 0.10 0.42 0.93 0.32 ]
[ 0.16 0.67 0.53 0.22 0.05 1.00 0.95 0.38 0.38 0.50 0.20 0.73 0.21 0.61 0.71 ]
[ 0.59 0.94 0.45 0.29 0.85 0.95 1.00 0.97 0.25 0.93 0.26 1.00 0.75 0.28 0.85 ]
[ 0.63 0.03 0.06 0.75 0.63 0.38 0.97 1.00 0.81 0.30 0.37 0.81 0.34 0.22 0.45 ]
[ 0.05 0.33 0.55 0.82 0.34 0.38 0.25 0.81 1.00 0.69 0.55 0.42 0.79 0.96 0.36 ]
[ 0.23 0.63 0.82 0.02 0.33 0.50 0.93 0.30 0.69 1.00 0.11 0.91 0.74 0.49 0.41 ]
[ 0.23 0.30 0.35 0.85 0.97 0.20 0.26 0.37 0.55 0.11 1.00 0.94 0.23 0.62 0.55 ]
[ 0.53 0.48 0.71 0.06 0.10 0.73 1.00 0.81 0.42 0.91 0.94 1.00 0.94 0.59 0.80 ]
[ 0.11 0.34 0.41 0.02 0.42 0.21 0.75 0.34 0.79 0.74 0.23 0.94 1.00 0.87 0.85 ]
[ 0.61 0.76 0.98 0.52 0.93 0.61 0.28 0.22 0.96 0.49 0.62 0.59 0.87 1.00 0.80 ]
[ 0.73 0.08 0.76 0.00 0.32 0.71 0.85 0.45 0.36 0.41 0.55 0.80 0.85 0.80 1.00 ]
];
