D = 2;
n = [ 0 3 ];

N = 16;
d = [ 2 2 1 1 2 1 1 2 2 2 2 1 2 1 2 2 ];
m = [
[ 1.00 0.45 0.49 0.85 0.02 0.38 0.29 0.16 0.59 0.63 0.05 0.23 0.23 0.53 0.11 0.61 ]
[ 0.45 1.00 0.73 0.10 0.24 0.99 0.67 0.94 0.03 0.33 0.63 0.30 0.48 0.34 0.76 0.08 ]
[ 0.49 0.73 1.00 0.96 0.21 0.53 0.45 0.06 0.55 0.82 0.35 0.71 0.41 0.98 0.76 0.64 ]
[ 0.85 0.10 0.96 1.00 0.22 0.29 0.75 0.82 0.02 0.85 0.06 0.02 0.52 0.00 0.05 0.85 ]
[ 0.02 0.24 0.21 0.22 1.00 0.63 0.34 0.33 0.97 0.10 0.42 0.93 0.32 0.95 0.38 0.38 ]
[ 0.38 0.99 0.53 0.29 0.63 1.00 0.50 0.20 0.73 0.21 0.61 0.71 0.97 0.25 0.93 0.26 ]
[ 0.29 0.67 0.45 0.75 0.34 0.50 1.00 1.00 0.75 0.28 0.85 0.81 0.30 0.37 0.81 0.34 ]
[ 0.16 0.94 0.06 0.82 0.33 0.20 1.00 1.00 0.22 0.45 0.69 0.55 0.42 0.79 0.96 0.36 ]
[ 0.59 0.03 0.55 0.02 0.97 0.73 0.75 0.22 1.00 0.11 0.91 0.74 0.49 0.41 0.94 0.23 ]
[ 0.63 0.33 0.82 0.85 0.10 0.21 0.28 0.45 0.11 1.00 0.62 0.55 0.94 0.59 0.80 0.87 ]
[ 0.05 0.63 0.35 0.06 0.42 0.61 0.85 0.69 0.91 0.62 1.00 0.85 0.80 0.62 0.13 0.65 ]
[ 0.23 0.30 0.71 0.02 0.93 0.71 0.81 0.55 0.74 0.55 0.85 1.00 0.43 0.43 0.01 0.25 ]
[ 0.23 0.48 0.41 0.52 0.32 0.97 0.30 0.42 0.49 0.94 0.80 0.43 1.00 0.77 0.23 0.69 ]
[ 0.53 0.34 0.98 0.00 0.95 0.25 0.37 0.79 0.41 0.59 0.62 0.43 0.77 1.00 0.46 0.77 ]
[ 0.11 0.76 0.76 0.05 0.38 0.93 0.81 0.96 0.94 0.80 0.13 0.01 0.23 0.46 1.00 0.12 ]
[ 0.61 0.08 0.64 0.85 0.38 0.26 0.34 0.36 0.23 0.87 0.65 0.25 0.69 0.77 0.12 1.00 ]
];
