D = 12;
n = [ 1 1 2 2 0 0 0 0 0 0 0 1 ];

N = 17;
d = [ 1 10 4 9 4 2 4 5 8 5 9 11 5 5 5 8 9 ];
m = [
[ 1.00 0.95 0.47 0.99 0.13 0.23 0.13 0.33 0.51 0.42 0.90 0.96 0.49 0.02 0.61 0.81 0.30 ]
[ 0.95 1.00 0.66 0.18 0.72 0.70 0.75 0.67 0.18 0.62 0.37 0.60 0.43 0.87 0.90 0.66 0.32 ]
[ 0.47 0.66 1.00 0.85 0.14 0.32 0.98 0.37 0.45 0.31 0.87 0.87 0.21 0.83 0.37 0.23 0.44 ]
[ 0.99 0.18 0.85 1.00 0.17 0.53 0.10 0.35 0.24 0.80 0.10 0.92 0.98 0.72 0.28 0.59 0.15 ]
[ 0.13 0.72 0.14 0.17 1.00 0.16 0.49 0.81 0.48 0.33 0.95 0.80 0.31 0.32 0.25 0.61 0.19 ]
[ 0.23 0.70 0.32 0.53 0.16 1.00 0.13 0.82 0.03 0.49 0.05 0.47 0.67 0.58 0.57 0.02 0.82 ]
[ 0.13 0.75 0.98 0.10 0.49 0.13 1.00 0.37 0.12 0.74 0.35 0.84 0.03 0.94 0.99 0.18 0.43 ]
[ 0.33 0.67 0.37 0.35 0.81 0.82 0.37 1.00 0.81 0.66 0.76 0.76 0.46 0.07 0.08 0.71 0.68 ]
[ 0.51 0.18 0.45 0.24 0.48 0.03 0.12 0.81 1.00 0.27 0.84 0.50 0.30 0.33 0.55 0.77 1.00 ]
[ 0.42 0.62 0.31 0.80 0.33 0.49 0.74 0.66 0.27 1.00 0.13 0.34 0.02 0.95 0.71 0.14 0.69 ]
[ 0.90 0.37 0.87 0.10 0.95 0.05 0.35 0.76 0.84 0.13 1.00 0.06 0.98 0.72 1.00 0.97 0.90 ]
[ 0.96 0.60 0.87 0.92 0.80 0.47 0.84 0.76 0.50 0.34 0.06 1.00 0.43 0.77 0.56 0.19 0.53 ]
[ 0.49 0.43 0.21 0.98 0.31 0.67 0.03 0.46 0.30 0.02 0.98 0.43 1.00 0.02 0.25 0.61 0.74 ]
[ 0.02 0.87 0.83 0.72 0.32 0.58 0.94 0.07 0.33 0.95 0.72 0.77 0.02 1.00 0.94 0.88 0.58 ]
[ 0.61 0.90 0.37 0.28 0.25 0.57 0.99 0.08 0.55 0.71 1.00 0.56 0.25 0.94 1.00 0.44 0.18 ]
[ 0.81 0.66 0.23 0.59 0.61 0.02 0.18 0.71 0.77 0.14 0.97 0.19 0.61 0.88 0.44 1.00 0.91 ]
[ 0.30 0.32 0.44 0.15 0.19 0.82 0.43 0.68 1.00 0.69 0.90 0.53 0.74 0.58 0.18 0.91 1.00 ]
];
