D = 14;
n = [ 1 1 2 2 0 0 0 0 0 0 0 1 0 0 ];

N = 18;
d = [ 4 3 14 10 2 5 6 3 1 11 3 9 11 4 9 9 1 8 ];
m = [
[ 1.00 0.13 0.23 0.13 0.33 0.51 0.42 0.90 0.96 0.49 0.02 0.61 0.81 0.30 0.66 0.18 0.72 0.70 ]
[ 0.13 1.00 0.75 0.67 0.18 0.62 0.37 0.60 0.43 0.87 0.90 0.66 0.32 0.85 0.14 0.32 0.98 0.37 ]
[ 0.23 0.75 1.00 0.45 0.31 0.87 0.87 0.21 0.83 0.37 0.23 0.44 0.17 0.53 0.10 0.35 0.24 0.80 ]
[ 0.13 0.67 0.45 1.00 0.10 0.92 0.98 0.72 0.28 0.59 0.15 0.16 0.49 0.81 0.48 0.33 0.95 0.80 ]
[ 0.33 0.18 0.31 0.10 1.00 0.31 0.32 0.25 0.61 0.19 0.13 0.82 0.03 0.49 0.05 0.47 0.67 0.58 ]
[ 0.51 0.62 0.87 0.92 0.31 1.00 0.57 0.02 0.82 0.37 0.12 0.74 0.35 0.84 0.03 0.94 0.99 0.18 ]
[ 0.42 0.37 0.87 0.98 0.32 0.57 1.00 0.43 0.81 0.66 0.76 0.76 0.46 0.07 0.08 0.71 0.68 0.27 ]
[ 0.90 0.60 0.21 0.72 0.25 0.02 0.43 1.00 0.84 0.50 0.30 0.33 0.55 0.77 1.00 0.13 0.34 0.02 ]
[ 0.96 0.43 0.83 0.28 0.61 0.82 0.81 0.84 1.00 0.95 0.71 0.14 0.69 0.06 0.98 0.72 1.00 0.97 ]
[ 0.49 0.87 0.37 0.59 0.19 0.37 0.66 0.50 0.95 1.00 0.90 0.43 0.77 0.56 0.19 0.53 0.02 0.25 ]
[ 0.02 0.90 0.23 0.15 0.13 0.12 0.76 0.30 0.71 0.90 1.00 0.61 0.74 0.94 0.88 0.58 0.44 0.18 ]
[ 0.61 0.66 0.44 0.16 0.82 0.74 0.76 0.33 0.14 0.43 0.61 1.00 0.91 1.00 0.95 0.90 0.13 0.29 ]
[ 0.81 0.32 0.17 0.49 0.03 0.35 0.46 0.55 0.69 0.77 0.74 0.91 1.00 0.92 0.08 0.99 0.06 0.78 ]
[ 0.30 0.85 0.53 0.81 0.49 0.84 0.07 0.77 0.06 0.56 0.94 1.00 0.92 1.00 0.05 0.04 0.50 0.05 ]
[ 0.66 0.14 0.10 0.48 0.05 0.03 0.08 1.00 0.98 0.19 0.88 0.95 0.08 0.05 1.00 0.00 0.40 0.48 ]
[ 0.18 0.32 0.35 0.33 0.47 0.94 0.71 0.13 0.72 0.53 0.58 0.90 0.99 0.04 0.00 1.00 0.78 0.96 ]
[ 0.72 0.98 0.24 0.95 0.67 0.99 0.68 0.34 1.00 0.02 0.44 0.13 0.06 0.50 0.40 0.78 1.00 0.66 ]
[ 0.70 0.37 0.80 0.80 0.58 0.18 0.27 0.02 0.97 0.25 0.18 0.29 0.78 0.05 0.48 0.96 0.66 1.00 ]
];
