D = 4;
n = [ 0 3 1 2 ];

N = 19;
d = [ 2 4 2 3 4 3 1 4 2 2 3 2 2 3 1 1 3 1 4 ];
m = [
[ 1.00 0.51 0.63 0.28 0.82 0.63 0.04 0.85 0.98 0.32 0.02 0.49 0.24 0.87 0.11 0.60 0.37 0.23 0.27 ]
[ 0.51 1.00 0.23 0.40 0.47 0.42 0.82 0.24 0.80 0.47 0.85 0.35 0.61 0.56 0.59 0.13 0.19 0.87 0.95 ]
[ 0.63 0.23 1.00 0.82 0.90 0.80 0.80 0.22 0.81 0.29 0.47 0.68 0.40 0.07 0.05 0.63 0.34 0.28 0.04 ]
[ 0.28 0.40 0.82 1.00 0.80 0.70 0.85 0.05 0.49 0.32 0.89 0.84 0.93 0.46 0.43 0.06 0.65 0.30 0.01 ]
[ 0.82 0.47 0.90 0.80 1.00 0.47 0.20 0.81 0.27 0.42 0.62 0.56 0.89 0.31 0.96 0.96 0.36 0.59 0.29 ]
[ 0.63 0.42 0.80 0.70 0.47 1.00 0.64 0.63 0.09 0.33 0.48 0.14 0.83 0.80 0.03 0.67 0.74 0.49 0.10 ]
[ 0.04 0.82 0.80 0.85 0.20 0.64 1.00 0.80 0.14 0.39 0.82 0.61 0.59 0.62 0.88 0.02 0.25 0.44 0.91 ]
[ 0.85 0.24 0.22 0.05 0.81 0.63 0.80 1.00 0.55 0.40 0.86 0.91 1.00 0.15 0.55 0.63 0.25 0.88 0.11 ]
[ 0.98 0.80 0.81 0.49 0.27 0.09 0.14 0.55 1.00 0.38 0.71 0.91 0.42 0.38 0.65 0.91 0.48 0.45 0.04 ]
[ 0.32 0.47 0.29 0.32 0.42 0.33 0.39 0.40 0.38 1.00 0.87 0.27 0.65 0.46 0.89 0.53 0.47 0.14 0.97 ]
[ 0.02 0.85 0.47 0.89 0.62 0.48 0.82 0.86 0.71 0.87 1.00 0.38 0.69 0.37 0.24 0.61 0.37 0.40 0.16 ]
[ 0.49 0.35 0.68 0.84 0.56 0.14 0.61 0.91 0.91 0.27 0.38 1.00 1.00 0.64 0.04 0.10 0.02 0.75 0.02 ]
[ 0.24 0.61 0.40 0.93 0.89 0.83 0.59 1.00 0.42 0.65 0.69 1.00 1.00 0.44 0.13 0.67 0.35 0.61 0.12 ]
[ 0.87 0.56 0.07 0.46 0.31 0.80 0.62 0.15 0.38 0.46 0.37 0.64 0.44 1.00 0.39 0.48 0.38 0.04 0.94 ]
[ 0.11 0.59 0.05 0.43 0.96 0.03 0.88 0.55 0.65 0.89 0.24 0.04 0.13 0.39 1.00 0.27 0.57 0.41 0.41 ]
[ 0.60 0.13 0.63 0.06 0.96 0.67 0.02 0.63 0.91 0.53 0.61 0.10 0.67 0.48 0.27 1.00 0.55 0.79 0.10 ]
[ 0.37 0.19 0.34 0.65 0.36 0.74 0.25 0.25 0.48 0.47 0.37 0.02 0.35 0.38 0.57 0.55 1.00 0.92 0.04 ]
[ 0.23 0.87 0.28 0.30 0.59 0.49 0.44 0.88 0.45 0.14 0.40 0.75 0.61 0.04 0.41 0.79 0.92 1.00 0.71 ]
[ 0.27 0.95 0.04 0.01 0.29 0.10 0.91 0.11 0.04 0.97 0.16 0.02 0.12 0.94 0.41 0.10 0.04 0.71 1.00 ]
];
