D = 2;
n = [ 2 5 ];

N = 20;
d = [ 2 1 2 2 2 1 2 1 1 2 2 2 1 2 2 1 1 1 1 1 ];
m = [
[ 1.00 0.24 0.51 0.63 0.28 0.82 0.63 0.04 0.85 0.98 0.32 0.02 0.49 0.24 0.87 0.11 0.60 0.37 0.23 0.27 ]
[ 0.24 1.00 0.23 0.40 0.47 0.42 0.82 0.24 0.80 0.47 0.85 0.35 0.61 0.56 0.59 0.13 0.19 0.87 0.95 0.82 ]
[ 0.51 0.23 1.00 0.90 0.80 0.80 0.22 0.81 0.29 0.47 0.68 0.40 0.07 0.05 0.63 0.34 0.28 0.04 0.80 0.70 ]
[ 0.63 0.40 0.90 1.00 0.85 0.05 0.49 0.32 0.89 0.84 0.93 0.46 0.43 0.06 0.65 0.30 0.01 0.47 0.20 0.81 ]
[ 0.28 0.47 0.80 0.85 1.00 0.27 0.42 0.62 0.56 0.89 0.31 0.96 0.96 0.36 0.59 0.29 0.64 0.63 0.09 0.33 ]
[ 0.82 0.42 0.80 0.05 0.27 1.00 0.48 0.14 0.83 0.80 0.03 0.67 0.74 0.49 0.10 0.80 0.14 0.39 0.82 0.61 ]
[ 0.63 0.82 0.22 0.49 0.42 0.48 1.00 0.59 0.62 0.88 0.02 0.25 0.44 0.91 0.55 0.40 0.86 0.91 1.00 0.15 ]
[ 0.04 0.24 0.81 0.32 0.62 0.14 0.59 1.00 0.55 0.63 0.25 0.88 0.11 0.38 0.71 0.91 0.42 0.38 0.65 0.91 ]
[ 0.85 0.80 0.29 0.89 0.56 0.83 0.62 0.55 1.00 0.48 0.45 0.04 0.87 0.27 0.65 0.46 0.89 0.53 0.47 0.14 ]
[ 0.98 0.47 0.47 0.84 0.89 0.80 0.88 0.63 0.48 1.00 0.97 0.38 0.69 0.37 0.24 0.61 0.37 0.40 0.16 1.00 ]
[ 0.32 0.85 0.68 0.93 0.31 0.03 0.02 0.25 0.45 0.97 1.00 0.64 0.04 0.10 0.02 0.75 0.02 0.44 0.13 0.67 ]
[ 0.02 0.35 0.40 0.46 0.96 0.67 0.25 0.88 0.04 0.38 0.64 1.00 0.35 0.61 0.12 0.39 0.48 0.38 0.04 0.94 ]
[ 0.49 0.61 0.07 0.43 0.96 0.74 0.44 0.11 0.87 0.69 0.04 0.35 1.00 0.27 0.57 0.41 0.41 0.55 0.79 0.10 ]
[ 0.24 0.56 0.05 0.06 0.36 0.49 0.91 0.38 0.27 0.37 0.10 0.61 0.27 1.00 0.92 0.04 0.71 0.29 0.43 0.87 ]
[ 0.87 0.59 0.63 0.65 0.59 0.10 0.55 0.71 0.65 0.24 0.02 0.12 0.57 0.92 1.00 0.29 0.07 0.91 0.39 0.10 ]
[ 0.11 0.13 0.34 0.30 0.29 0.80 0.40 0.91 0.46 0.61 0.75 0.39 0.41 0.04 0.29 1.00 0.66 0.41 0.54 0.79 ]
[ 0.60 0.19 0.28 0.01 0.64 0.14 0.86 0.42 0.89 0.37 0.02 0.48 0.41 0.71 0.07 0.66 1.00 0.07 0.88 0.40 ]
[ 0.37 0.87 0.04 0.47 0.63 0.39 0.91 0.38 0.53 0.40 0.44 0.38 0.55 0.29 0.91 0.41 0.07 1.00 0.19 0.27 ]
[ 0.23 0.95 0.80 0.20 0.09 0.82 1.00 0.65 0.47 0.16 0.13 0.04 0.79 0.43 0.39 0.54 0.88 0.19 1.00 0.88 ]
[ 0.27 0.82 0.70 0.81 0.33 0.61 0.15 0.91 0.14 1.00 0.67 0.94 0.10 0.87 0.10 0.79 0.40 0.27 0.88 1.00 ]
];
