D = 3;
n = [ 6 3 5 ];

N = 21;
d = [ 3 3 3 2 2 2 3 1 1 2 1 2 3 1 2 2 3 2 1 1 3 ];
m = [
[ 1.00 0.63 0.28 0.82 0.63 0.04 0.85 0.98 0.32 0.02 0.49 0.24 0.87 0.11 0.60 0.37 0.23 0.27 0.23 0.40 0.47 ]
[ 0.63 1.00 0.42 0.82 0.24 0.80 0.47 0.85 0.35 0.61 0.56 0.59 0.13 0.19 0.87 0.95 0.82 0.90 0.80 0.80 0.22 ]
[ 0.28 0.42 1.00 0.81 0.29 0.47 0.68 0.40 0.07 0.05 0.63 0.34 0.28 0.04 0.80 0.70 0.85 0.05 0.49 0.32 0.89 ]
[ 0.82 0.82 0.81 1.00 0.84 0.93 0.46 0.43 0.06 0.65 0.30 0.01 0.47 0.20 0.81 0.27 0.42 0.62 0.56 0.89 0.31 ]
[ 0.63 0.24 0.29 0.84 1.00 0.96 0.96 0.36 0.59 0.29 0.64 0.63 0.09 0.33 0.48 0.14 0.83 0.80 0.03 0.67 0.74 ]
[ 0.04 0.80 0.47 0.93 0.96 1.00 0.49 0.10 0.80 0.14 0.39 0.82 0.61 0.59 0.62 0.88 0.02 0.25 0.44 0.91 0.55 ]
[ 0.85 0.47 0.68 0.46 0.96 0.49 1.00 0.40 0.86 0.91 1.00 0.15 0.55 0.63 0.25 0.88 0.11 0.38 0.71 0.91 0.42 ]
[ 0.98 0.85 0.40 0.43 0.36 0.10 0.40 1.00 0.38 0.65 0.91 0.48 0.45 0.04 0.87 0.27 0.65 0.46 0.89 0.53 0.47 ]
[ 0.32 0.35 0.07 0.06 0.59 0.80 0.86 0.38 1.00 0.14 0.97 0.38 0.69 0.37 0.24 0.61 0.37 0.40 0.16 1.00 0.64 ]
[ 0.02 0.61 0.05 0.65 0.29 0.14 0.91 0.65 0.14 1.00 0.04 0.10 0.02 0.75 0.02 0.44 0.13 0.67 0.35 0.61 0.12 ]
[ 0.49 0.56 0.63 0.30 0.64 0.39 1.00 0.91 0.97 0.04 1.00 0.39 0.48 0.38 0.04 0.94 0.27 0.57 0.41 0.41 0.55 ]
[ 0.24 0.59 0.34 0.01 0.63 0.82 0.15 0.48 0.38 0.10 0.39 1.00 0.79 0.10 0.92 0.04 0.71 0.29 0.43 0.87 0.29 ]
[ 0.87 0.13 0.28 0.47 0.09 0.61 0.55 0.45 0.69 0.02 0.48 0.79 1.00 0.07 0.91 0.39 0.10 0.66 0.41 0.54 0.79 ]
[ 0.11 0.19 0.04 0.20 0.33 0.59 0.63 0.04 0.37 0.75 0.38 0.10 0.07 1.00 0.07 0.88 0.40 0.19 0.27 0.88 0.57 ]
[ 0.60 0.87 0.80 0.81 0.48 0.62 0.25 0.87 0.24 0.02 0.04 0.92 0.91 0.07 1.00 0.31 0.82 0.84 0.88 0.23 0.25 ]
[ 0.37 0.95 0.70 0.27 0.14 0.88 0.88 0.27 0.61 0.44 0.94 0.04 0.39 0.88 0.31 1.00 0.43 0.02 0.35 0.35 0.06 ]
[ 0.23 0.82 0.85 0.42 0.83 0.02 0.11 0.65 0.37 0.13 0.27 0.71 0.10 0.40 0.82 0.43 1.00 0.06 0.64 0.49 0.93 ]
[ 0.27 0.90 0.05 0.62 0.80 0.25 0.38 0.46 0.40 0.67 0.57 0.29 0.66 0.19 0.84 0.02 0.06 1.00 0.93 0.56 0.84 ]
[ 0.23 0.80 0.49 0.56 0.03 0.44 0.71 0.89 0.16 0.35 0.41 0.43 0.41 0.27 0.88 0.35 0.64 0.93 1.00 0.32 0.66 ]
[ 0.40 0.80 0.32 0.89 0.67 0.91 0.91 0.53 1.00 0.61 0.41 0.87 0.54 0.88 0.23 0.35 0.49 0.56 0.32 1.00 0.50 ]
[ 0.47 0.22 0.89 0.31 0.74 0.55 0.42 0.47 0.64 0.12 0.55 0.29 0.79 0.57 0.25 0.06 0.93 0.84 0.66 0.50 1.00 ]
];
