D = 10;
n = [ 3 2 0 1 0 0 2 3 3 2 ];

N = 22;
d = [ 8 8 10 3 4 3 3 10 4 4 3 8 2 10 9 7 1 2 3 3 9 4 ];
m = [
[ 1.00 0.46 0.28 0.92 0.53 0.27 0.08 0.34 0.48 0.76 0.36 0.06 0.01 0.55 0.94 0.98 0.20 0.79 0.26 0.83 0.75 0.68 ]
[ 0.46 1.00 0.95 0.01 0.31 0.45 0.04 0.05 0.31 0.02 0.49 0.37 0.47 0.78 0.30 0.00 0.05 0.37 0.34 0.53 0.13 0.70 ]
[ 0.28 0.95 1.00 0.59 0.15 0.25 0.53 0.13 0.45 0.32 0.39 0.28 0.07 0.07 0.23 0.08 0.38 0.68 0.13 0.43 0.99 0.14 ]
[ 0.92 0.01 0.59 1.00 0.92 0.37 0.62 0.70 0.66 0.62 0.74 0.03 0.96 0.27 0.16 0.66 0.86 0.31 0.92 0.39 0.44 0.37 ]
[ 0.53 0.31 0.15 0.92 1.00 0.71 0.83 0.66 0.78 0.91 0.89 0.87 0.29 0.57 0.99 0.72 0.56 0.14 0.64 0.93 0.75 0.33 ]
[ 0.27 0.45 0.25 0.37 0.71 1.00 0.59 0.37 0.08 0.62 0.33 0.35 0.78 0.99 0.21 0.10 0.91 0.60 0.54 0.28 0.30 0.37 ]
[ 0.08 0.04 0.53 0.62 0.83 0.59 1.00 0.94 0.09 0.28 0.82 0.95 0.57 0.39 0.95 0.29 0.95 0.08 0.93 0.88 0.83 0.26 ]
[ 0.34 0.05 0.13 0.70 0.66 0.37 0.94 1.00 0.47 0.20 0.34 0.08 0.53 0.69 0.87 0.52 0.90 0.96 0.42 0.49 0.50 0.71 ]
[ 0.48 0.31 0.45 0.66 0.78 0.08 0.09 0.47 1.00 0.80 0.88 0.64 0.88 0.16 0.47 0.84 0.74 0.86 0.78 0.03 0.81 0.87 ]
[ 0.76 0.02 0.32 0.62 0.91 0.62 0.28 0.20 0.80 1.00 0.96 0.69 0.70 0.22 0.16 0.90 0.56 0.24 0.43 0.25 0.11 0.94 ]
[ 0.36 0.49 0.39 0.74 0.89 0.33 0.82 0.34 0.88 0.96 1.00 0.15 0.07 0.37 0.64 0.57 0.07 0.44 0.45 0.71 0.32 0.61 ]
[ 0.06 0.37 0.28 0.03 0.87 0.35 0.95 0.08 0.64 0.69 0.15 1.00 0.18 0.16 0.35 0.04 0.94 0.38 0.85 0.81 0.33 0.54 ]
[ 0.01 0.47 0.07 0.96 0.29 0.78 0.57 0.53 0.88 0.70 0.07 0.18 1.00 0.51 0.55 0.69 0.41 0.11 0.93 0.84 0.37 0.04 ]
[ 0.55 0.78 0.07 0.27 0.57 0.99 0.39 0.69 0.16 0.22 0.37 0.16 0.51 1.00 0.78 0.51 0.11 0.14 0.15 0.69 0.22 0.59 ]
[ 0.94 0.30 0.23 0.16 0.99 0.21 0.95 0.87 0.47 0.16 0.64 0.35 0.55 0.78 1.00 0.14 0.93 0.91 0.75 0.11 0.06 0.10 ]
[ 0.98 0.00 0.08 0.66 0.72 0.10 0.29 0.52 0.84 0.90 0.57 0.04 0.69 0.51 0.14 1.00 0.15 0.00 0.48 0.99 0.81 0.81 ]
[ 0.20 0.05 0.38 0.86 0.56 0.91 0.95 0.90 0.74 0.56 0.07 0.94 0.41 0.11 0.93 0.15 1.00 0.53 0.32 0.36 0.22 0.73 ]
[ 0.79 0.37 0.68 0.31 0.14 0.60 0.08 0.96 0.86 0.24 0.44 0.38 0.11 0.14 0.91 0.00 0.53 1.00 0.48 0.15 0.56 0.84 ]
[ 0.26 0.34 0.13 0.92 0.64 0.54 0.93 0.42 0.78 0.43 0.45 0.85 0.93 0.15 0.75 0.48 0.32 0.48 1.00 0.20 0.34 0.36 ]
[ 0.83 0.53 0.43 0.39 0.93 0.28 0.88 0.49 0.03 0.25 0.71 0.81 0.84 0.69 0.11 0.99 0.36 0.15 0.20 1.00 0.31 0.49 ]
[ 0.75 0.13 0.99 0.44 0.75 0.30 0.83 0.50 0.81 0.11 0.32 0.33 0.37 0.22 0.06 0.81 0.22 0.56 0.34 0.31 1.00 0.51 ]
[ 0.68 0.70 0.14 0.37 0.33 0.37 0.26 0.71 0.87 0.94 0.61 0.54 0.04 0.59 0.10 0.81 0.73 0.84 0.36 0.49 0.51 1.00 ]
];
