D = 3;
n = [ 2 0 3 ];

N = 23;
d = [ 3 3 1 1 3 3 3 1 2 1 2 1 2 2 3 1 3 3 3 3 3 1 2 ];
m = [
[ 1.00 0.03 0.74 0.86 0.98 0.45 0.06 0.46 0.28 0.92 0.53 0.27 0.08 0.34 0.48 0.76 0.36 0.06 0.01 0.55 0.94 0.98 0.20 ]
[ 0.03 1.00 0.79 0.26 0.83 0.75 0.68 0.95 0.01 0.31 0.45 0.04 0.05 0.31 0.02 0.49 0.37 0.47 0.78 0.30 0.00 0.05 0.37 ]
[ 0.74 0.79 1.00 0.34 0.53 0.13 0.70 0.59 0.15 0.25 0.53 0.13 0.45 0.32 0.39 0.28 0.07 0.07 0.23 0.08 0.38 0.68 0.13 ]
[ 0.86 0.26 0.34 1.00 0.43 0.99 0.14 0.92 0.37 0.62 0.70 0.66 0.62 0.74 0.03 0.96 0.27 0.16 0.66 0.86 0.31 0.92 0.39 ]
[ 0.98 0.83 0.53 0.43 1.00 0.44 0.37 0.71 0.83 0.66 0.78 0.91 0.89 0.87 0.29 0.57 0.99 0.72 0.56 0.14 0.64 0.93 0.75 ]
[ 0.45 0.75 0.13 0.99 0.44 1.00 0.33 0.59 0.37 0.08 0.62 0.33 0.35 0.78 0.99 0.21 0.10 0.91 0.60 0.54 0.28 0.30 0.37 ]
[ 0.06 0.68 0.70 0.14 0.37 0.33 1.00 0.94 0.09 0.28 0.82 0.95 0.57 0.39 0.95 0.29 0.95 0.08 0.93 0.88 0.83 0.26 0.47 ]
[ 0.46 0.95 0.59 0.92 0.71 0.59 0.94 1.00 0.20 0.34 0.08 0.53 0.69 0.87 0.52 0.90 0.96 0.42 0.49 0.50 0.71 0.80 0.88 ]
[ 0.28 0.01 0.15 0.37 0.83 0.37 0.09 0.20 1.00 0.64 0.88 0.16 0.47 0.84 0.74 0.86 0.78 0.03 0.81 0.87 0.96 0.69 0.70 ]
[ 0.92 0.31 0.25 0.62 0.66 0.08 0.28 0.34 0.64 1.00 0.22 0.16 0.90 0.56 0.24 0.43 0.25 0.11 0.94 0.15 0.07 0.37 0.64 ]
[ 0.53 0.45 0.53 0.70 0.78 0.62 0.82 0.08 0.88 0.22 1.00 0.57 0.07 0.44 0.45 0.71 0.32 0.61 0.18 0.16 0.35 0.04 0.94 ]
[ 0.27 0.04 0.13 0.66 0.91 0.33 0.95 0.53 0.16 0.16 0.57 1.00 0.38 0.85 0.81 0.33 0.54 0.51 0.55 0.69 0.41 0.11 0.93 ]
[ 0.08 0.05 0.45 0.62 0.89 0.35 0.57 0.69 0.47 0.90 0.07 0.38 1.00 0.84 0.37 0.04 0.78 0.51 0.11 0.14 0.15 0.69 0.22 ]
[ 0.34 0.31 0.32 0.74 0.87 0.78 0.39 0.87 0.84 0.56 0.44 0.85 0.84 1.00 0.59 0.14 0.93 0.91 0.75 0.11 0.06 0.10 0.15 ]
[ 0.48 0.02 0.39 0.03 0.29 0.99 0.95 0.52 0.74 0.24 0.45 0.81 0.37 0.59 1.00 0.00 0.48 0.99 0.81 0.81 0.53 0.32 0.36 ]
[ 0.76 0.49 0.28 0.96 0.57 0.21 0.29 0.90 0.86 0.43 0.71 0.33 0.04 0.14 0.00 1.00 0.22 0.73 0.48 0.15 0.56 0.84 0.20 ]
[ 0.36 0.37 0.07 0.27 0.99 0.10 0.95 0.96 0.78 0.25 0.32 0.54 0.78 0.93 0.48 0.22 1.00 0.34 0.36 0.31 0.49 0.51 0.99 ]
[ 0.06 0.47 0.07 0.16 0.72 0.91 0.08 0.42 0.03 0.11 0.61 0.51 0.51 0.91 0.99 0.73 0.34 1.00 0.70 0.10 0.13 0.63 0.01 ]
[ 0.01 0.78 0.23 0.66 0.56 0.60 0.93 0.49 0.81 0.94 0.18 0.55 0.11 0.75 0.81 0.48 0.36 0.70 1.00 0.88 0.74 0.08 0.98 ]
[ 0.55 0.30 0.08 0.86 0.14 0.54 0.88 0.50 0.87 0.15 0.16 0.69 0.14 0.11 0.81 0.15 0.31 0.10 0.88 1.00 0.89 0.08 0.46 ]
[ 0.94 0.00 0.38 0.31 0.64 0.28 0.83 0.71 0.96 0.07 0.35 0.41 0.15 0.06 0.53 0.56 0.49 0.13 0.74 0.89 1.00 0.89 0.89 ]
[ 0.98 0.05 0.68 0.92 0.93 0.30 0.26 0.80 0.69 0.37 0.04 0.11 0.69 0.10 0.32 0.84 0.51 0.63 0.08 0.08 0.89 1.00 0.27 ]
[ 0.20 0.37 0.13 0.39 0.75 0.37 0.47 0.88 0.70 0.64 0.94 0.93 0.22 0.15 0.36 0.20 0.99 0.01 0.98 0.46 0.89 0.27 1.00 ]
];
