D = 10;
n = [ 3 2 0 1 0 0 2 3 3 2 ];

N = 24;
d = [ 8 8 10 3 4 3 3 10 4 4 3 8 2 10 9 7 1 2 3 3 9 4 1 5 ];
m = [
[ 1.00 0.92 0.53 0.27 0.08 0.34 0.48 0.76 0.36 0.06 0.01 0.55 0.94 0.98 0.20 0.79 0.26 0.83 0.75 0.68 0.95 0.01 0.31 0.45 ]
[ 0.92 1.00 0.04 0.05 0.31 0.02 0.49 0.37 0.47 0.78 0.30 0.00 0.05 0.37 0.34 0.53 0.13 0.70 0.59 0.15 0.25 0.53 0.13 0.45 ]
[ 0.53 0.04 1.00 0.32 0.39 0.28 0.07 0.07 0.23 0.08 0.38 0.68 0.13 0.43 0.99 0.14 0.92 0.37 0.62 0.70 0.66 0.62 0.74 0.03 ]
[ 0.27 0.05 0.32 1.00 0.96 0.27 0.16 0.66 0.86 0.31 0.92 0.39 0.44 0.37 0.71 0.83 0.66 0.78 0.91 0.89 0.87 0.29 0.57 0.99 ]
[ 0.08 0.31 0.39 0.96 1.00 0.72 0.56 0.14 0.64 0.93 0.75 0.33 0.59 0.37 0.08 0.62 0.33 0.35 0.78 0.99 0.21 0.10 0.91 0.60 ]
[ 0.34 0.02 0.28 0.27 0.72 1.00 0.54 0.28 0.30 0.37 0.94 0.09 0.28 0.82 0.95 0.57 0.39 0.95 0.29 0.95 0.08 0.93 0.88 0.83 ]
[ 0.48 0.49 0.07 0.16 0.56 0.54 1.00 0.26 0.47 0.20 0.34 0.08 0.53 0.69 0.87 0.52 0.90 0.96 0.42 0.49 0.50 0.71 0.80 0.88 ]
[ 0.76 0.37 0.07 0.66 0.14 0.28 0.26 1.00 0.64 0.88 0.16 0.47 0.84 0.74 0.86 0.78 0.03 0.81 0.87 0.96 0.69 0.70 0.22 0.16 ]
[ 0.36 0.47 0.23 0.86 0.64 0.30 0.47 0.64 1.00 0.90 0.56 0.24 0.43 0.25 0.11 0.94 0.15 0.07 0.37 0.64 0.57 0.07 0.44 0.45 ]
[ 0.06 0.78 0.08 0.31 0.93 0.37 0.20 0.88 0.90 1.00 0.71 0.32 0.61 0.18 0.16 0.35 0.04 0.94 0.38 0.85 0.81 0.33 0.54 0.51 ]
[ 0.01 0.30 0.38 0.92 0.75 0.94 0.34 0.16 0.56 0.71 1.00 0.55 0.69 0.41 0.11 0.93 0.84 0.37 0.04 0.78 0.51 0.11 0.14 0.15 ]
[ 0.55 0.00 0.68 0.39 0.33 0.09 0.08 0.47 0.24 0.32 0.55 1.00 0.69 0.22 0.59 0.14 0.93 0.91 0.75 0.11 0.06 0.10 0.15 0.00 ]
[ 0.94 0.05 0.13 0.44 0.59 0.28 0.53 0.84 0.43 0.61 0.69 0.69 1.00 0.48 0.99 0.81 0.81 0.53 0.32 0.36 0.22 0.73 0.48 0.15 ]
[ 0.98 0.37 0.43 0.37 0.37 0.82 0.69 0.74 0.25 0.18 0.41 0.22 0.48 1.00 0.56 0.84 0.20 0.34 0.36 0.31 0.49 0.51 0.99 0.70 ]
[ 0.20 0.34 0.99 0.71 0.08 0.95 0.87 0.86 0.11 0.16 0.11 0.59 0.99 0.56 1.00 0.10 0.13 0.63 0.01 0.88 0.74 0.08 0.98 0.89 ]
[ 0.79 0.53 0.14 0.83 0.62 0.57 0.52 0.78 0.94 0.35 0.93 0.14 0.81 0.84 0.10 1.00 0.08 0.46 0.89 0.89 0.27 0.42 0.21 0.63 ]
[ 0.26 0.13 0.92 0.66 0.33 0.39 0.90 0.03 0.15 0.04 0.84 0.93 0.81 0.20 0.13 0.08 1.00 0.64 0.94 0.11 0.79 0.50 0.95 0.99 ]
[ 0.83 0.70 0.37 0.78 0.35 0.95 0.96 0.81 0.07 0.94 0.37 0.91 0.53 0.34 0.63 0.46 0.64 1.00 0.84 0.31 0.30 0.33 0.82 0.29 ]
[ 0.75 0.59 0.62 0.91 0.78 0.29 0.42 0.87 0.37 0.38 0.04 0.75 0.32 0.36 0.01 0.89 0.94 0.84 1.00 0.03 0.92 0.42 0.67 0.93 ]
[ 0.68 0.15 0.70 0.89 0.99 0.95 0.49 0.96 0.64 0.85 0.78 0.11 0.36 0.31 0.88 0.89 0.11 0.31 0.03 1.00 0.30 0.41 0.01 0.29 ]
[ 0.95 0.25 0.66 0.87 0.21 0.08 0.50 0.69 0.57 0.81 0.51 0.06 0.22 0.49 0.74 0.27 0.79 0.30 0.92 0.30 1.00 0.30 0.09 0.75 ]
[ 0.01 0.53 0.62 0.29 0.10 0.93 0.71 0.70 0.07 0.33 0.11 0.10 0.73 0.51 0.08 0.42 0.50 0.33 0.42 0.41 0.30 1.00 0.19 0.98 ]
[ 0.31 0.13 0.74 0.57 0.91 0.88 0.80 0.22 0.44 0.54 0.14 0.15 0.48 0.99 0.98 0.21 0.95 0.82 0.67 0.01 0.09 0.19 1.00 0.01 ]
[ 0.45 0.45 0.03 0.99 0.60 0.83 0.88 0.16 0.45 0.51 0.15 0.00 0.15 0.70 0.89 0.63 0.99 0.29 0.93 0.29 0.75 0.98 0.01 1.00 ]
];
