D = 26;
n = [ 1 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 1 0 1 1 1 0 0 ];

N = 26;
d = [ 25 4 5 15 5 10 11 23 9 11 6 14 14 3 26 14 8 6 26 14 22 10 3 11 18 21 ];
m = [
[ 1.00 0.68 0.95 0.01 0.31 0.45 0.04 0.05 0.31 0.02 0.49 0.37 0.47 0.78 0.30 0.00 0.05 0.37 0.34 0.53 0.13 0.70 0.59 0.15 0.25 0.53 ]
[ 0.68 1.00 0.13 0.45 0.32 0.39 0.28 0.07 0.07 0.23 0.08 0.38 0.68 0.13 0.43 0.99 0.14 0.92 0.37 0.62 0.70 0.66 0.62 0.74 0.03 0.96 ]
[ 0.95 0.13 1.00 0.27 0.16 0.66 0.86 0.31 0.92 0.39 0.44 0.37 0.71 0.83 0.66 0.78 0.91 0.89 0.87 0.29 0.57 0.99 0.72 0.56 0.14 0.64 ]
[ 0.01 0.45 0.27 1.00 0.93 0.75 0.33 0.59 0.37 0.08 0.62 0.33 0.35 0.78 0.99 0.21 0.10 0.91 0.60 0.54 0.28 0.30 0.37 0.94 0.09 0.28 ]
[ 0.31 0.32 0.16 0.93 1.00 0.82 0.95 0.57 0.39 0.95 0.29 0.95 0.08 0.93 0.88 0.83 0.26 0.47 0.20 0.34 0.08 0.53 0.69 0.87 0.52 0.90 ]
[ 0.45 0.39 0.66 0.75 0.82 1.00 0.96 0.42 0.49 0.50 0.71 0.80 0.88 0.64 0.88 0.16 0.47 0.84 0.74 0.86 0.78 0.03 0.81 0.87 0.96 0.69 ]
[ 0.04 0.28 0.86 0.33 0.95 0.96 1.00 0.70 0.22 0.16 0.90 0.56 0.24 0.43 0.25 0.11 0.94 0.15 0.07 0.37 0.64 0.57 0.07 0.44 0.45 0.71 ]
[ 0.05 0.07 0.31 0.59 0.57 0.42 0.70 1.00 0.32 0.61 0.18 0.16 0.35 0.04 0.94 0.38 0.85 0.81 0.33 0.54 0.51 0.55 0.69 0.41 0.11 0.93 ]
[ 0.31 0.07 0.92 0.37 0.39 0.49 0.22 0.32 1.00 0.84 0.37 0.04 0.78 0.51 0.11 0.14 0.15 0.69 0.22 0.59 0.14 0.93 0.91 0.75 0.11 0.06 ]
[ 0.02 0.23 0.39 0.08 0.95 0.50 0.16 0.61 0.84 1.00 0.10 0.15 0.00 0.48 0.99 0.81 0.81 0.53 0.32 0.36 0.22 0.73 0.48 0.15 0.56 0.84 ]
[ 0.49 0.08 0.44 0.62 0.29 0.71 0.90 0.18 0.37 0.10 1.00 0.20 0.34 0.36 0.31 0.49 0.51 0.99 0.70 0.10 0.13 0.63 0.01 0.88 0.74 0.08 ]
