D = 13;
n = [ 3 2 0 1 0 0 2 3 3 2 1 3 3 ];

N = 27;
d = [ 13 6 4 9 1 1 8 4 5 12 7 3 13 12 4 5 2 5 10 11 10 9 11 6 1 1 3 ];
m = [
[ 1.00 0.76 0.36 0.06 0.01 0.55 0.94 0.98 0.20 0.79 0.26 0.83 0.75 0.68 0.95 0.01 0.31 0.45 0.04 0.05 0.31 0.02 0.49 0.37 0.47 0.78 0.30 ]
[ 0.76 1.00 0.00 0.05 0.37 0.34 0.53 0.13 0.70 0.59 0.15 0.25 0.53 0.13 0.45 0.32 0.39 0.28 0.07 0.07 0.23 0.08 0.38 0.68 0.13 0.43 0.99 ]
[ 0.36 0.00 1.00 0.14 0.92 0.37 0.62 0.70 0.66 0.62 0.74 0.03 0.96 0.27 0.16 0.66 0.86 0.31 0.92 0.39 0.44 0.37 0.71 0.83 0.66 0.78 0.91 ]
[ 0.06 0.05 0.14 1.00 0.89 0.87 0.29 0.57 0.99 0.72 0.56 0.14 0.64 0.93 0.75 0.33 0.59 0.37 0.08 0.62 0.33 0.35 0.78 0.99 0.21 0.10 0.91 ]
[ 0.01 0.37 0.92 0.89 1.00 0.60 0.54 0.28 0.30 0.37 0.94 0.09 0.28 0.82 0.95 0.57 0.39 0.95 0.29 0.95 0.08 0.93 0.88 0.83 0.26 0.47 0.20 ]
[ 0.55 0.34 0.37 0.87 0.60 1.00 0.34 0.08 0.53 0.69 0.87 0.52 0.90 0.96 0.42 0.49 0.50 0.71 0.80 0.88 0.64 0.88 0.16 0.47 0.84 0.74 0.86 ]
[ 0.94 0.53 0.62 0.29 0.54 0.34 1.00 0.78 0.03 0.81 0.87 0.96 0.69 0.70 0.22 0.16 0.90 0.56 0.24 0.43 0.25 0.11 0.94 0.15 0.07 0.37 0.64 ]
[ 0.98 0.13 0.70 0.57 0.28 0.08 0.78 1.00 0.57 0.07 0.44 0.45 0.71 0.32 0.61 0.18 0.16 0.35 0.04 0.94 0.38 0.85 0.81 0.33 0.54 0.51 0.55 ]
[ 0.20 0.70 0.66 0.99 0.30 0.53 0.03 0.57 1.00 0.69 0.41 0.11 0.93 0.84 0.37 0.04 0.78 0.51 0.11 0.14 0.15 0.69 0.22 0.59 0.14 0.93 0.91 ]
[ 0.79 0.59 0.62 0.72 0.37 0.69 0.81 0.07 0.69 1.00 0.75 0.11 0.06 0.10 0.15 0.00 0.48 0.99 0.81 0.81 0.53 0.32 0.36 0.22 0.73 0.48 0.15 ]
[ 0.26 0.15 0.74 0.56 0.94 0.87 0.87 0.44 0.41 0.75 1.00 0.56 0.84 0.20 0.34 0.36 0.31 0.49 0.51 0.99 0.70 0.10 0.13 0.63 0.01 0.88 0.74 ]
[ 0.83 0.25 0.03 0.14 0.09 0.52 0.96 0.45 0.11 0.11 0.56 1.00 0.08 0.98 0.89 0.08 0.46 0.89 0.89 0.27 0.42 0.21 0.63 0.64 0.94 0.11 0.79 ]
[ 0.75 0.53 0.96 0.64 0.28 0.90 0.69 0.71 0.93 0.06 0.84 0.08 1.00 0.50 0.95 0.99 0.84 0.31 0.30 0.33 0.82 0.29 0.03 0.92 0.42 0.67 0.93 ]
[ 0.68 0.13 0.27 0.93 0.82 0.96 0.70 0.32 0.84 0.10 0.20 0.98 0.50 1.00 0.30 0.41 0.01 0.29 0.30 0.09 0.75 0.19 0.98 0.01 0.60 0.19 0.64 ]
[ 0.95 0.45 0.16 0.75 0.95 0.42 0.22 0.61 0.37 0.15 0.34 0.89 0.95 0.30 1.00 0.24 0.13 0.75 0.03 0.64 0.70 0.02 0.48 0.00 0.32 0.81 0.82 ]
[ 0.01 0.32 0.66 0.33 0.57 0.49 0.16 0.18 0.04 0.00 0.36 0.08 0.99 0.41 0.24 1.00 0.61 0.85 0.75 0.03 0.52 0.68 0.33 0.93 0.69 0.62 0.23 ]
[ 0.31 0.39 0.86 0.59 0.39 0.50 0.90 0.16 0.78 0.48 0.31 0.46 0.84 0.01 0.13 0.61 1.00 0.78 0.36 0.42 0.77 0.38 0.03 0.96 0.02 0.27 0.09 ]
[ 0.45 0.28 0.31 0.37 0.95 0.71 0.56 0.35 0.51 0.99 0.49 0.89 0.31 0.29 0.75 0.85 0.78 1.00 0.77 0.30 0.73 0.46 0.32 0.22 0.47 0.63 0.03 ]
[ 0.04 0.07 0.92 0.08 0.29 0.80 0.24 0.04 0.11 0.81 0.51 0.89 0.30 0.30 0.03 0.75 0.36 0.77 1.00 0.29 0.24 0.88 0.03 0.27 0.39 0.71 0.60 ]
[ 0.05 0.07 0.39 0.62 0.95 0.88 0.43 0.94 0.14 0.81 0.99 0.27 0.33 0.09 0.64 0.03 0.42 0.30 0.29 1.00 0.32 0.41 0.21 0.55 0.19 0.58 0.97 ]
[ 0.31 0.23 0.44 0.33 0.08 0.64 0.25 0.38 0.15 0.53 0.70 0.42 0.82 0.75 0.70 0.52 0.77 0.73 0.24 0.32 1.00 0.95 0.95 1.00 0.91 0.97 0.26 ]
