D = 10;
n = [ 3 2 0 1 0 0 2 3 3 2 ];

N = 28;
d = [ 8 8 10 3 4 3 3 10 4 4 3 8 2 10 9 7 1 2 3 3 9 4 1 5 7 5 6 4 ];
m = [
[ 1.00 0.34 0.48 0.76 0.36 0.06 0.01 0.55 0.94 0.98 0.20 0.79 0.26 0.83 0.75 0.68 0.95 0.01 0.31 0.45 0.04 0.05 0.31 0.02 0.49 0.37 0.47 0.78 ]
[ 0.34 1.00 0.30 0.00 0.05 0.37 0.34 0.53 0.13 0.70 0.59 0.15 0.25 0.53 0.13 0.45 0.32 0.39 0.28 0.07 0.07 0.23 0.08 0.38 0.68 0.13 0.43 0.99 ]
[ 0.48 0.30 1.00 0.14 0.92 0.37 0.62 0.70 0.66 0.62 0.74 0.03 0.96 0.27 0.16 0.66 0.86 0.31 0.92 0.39 0.44 0.37 0.71 0.83 0.66 0.78 0.91 0.89 ]
[ 0.76 0.00 0.14 1.00 0.87 0.29 0.57 0.99 0.72 0.56 0.14 0.64 0.93 0.75 0.33 0.59 0.37 0.08 0.62 0.33 0.35 0.78 0.99 0.21 0.10 0.91 0.60 0.54 ]
[ 0.36 0.05 0.92 0.87 1.00 0.28 0.30 0.37 0.94 0.09 0.28 0.82 0.95 0.57 0.39 0.95 0.29 0.95 0.08 0.93 0.88 0.83 0.26 0.47 0.20 0.34 0.08 0.53 ]
[ 0.06 0.37 0.37 0.29 0.28 1.00 0.69 0.87 0.52 0.90 0.96 0.42 0.49 0.50 0.71 0.80 0.88 0.64 0.88 0.16 0.47 0.84 0.74 0.86 0.78 0.03 0.81 0.87 ]
[ 0.01 0.34 0.62 0.57 0.30 0.69 1.00 0.96 0.69 0.70 0.22 0.16 0.90 0.56 0.24 0.43 0.25 0.11 0.94 0.15 0.07 0.37 0.64 0.57 0.07 0.44 0.45 0.71 ]
[ 0.55 0.53 0.70 0.99 0.37 0.87 0.96 1.00 0.32 0.61 0.18 0.16 0.35 0.04 0.94 0.38 0.85 0.81 0.33 0.54 0.51 0.55 0.69 0.41 0.11 0.93 0.84 0.37 ]
[ 0.94 0.13 0.66 0.72 0.94 0.52 0.69 0.32 1.00 0.04 0.78 0.51 0.11 0.14 0.15 0.69 0.22 0.59 0.14 0.93 0.91 0.75 0.11 0.06 0.10 0.15 0.00 0.48 ]
[ 0.98 0.70 0.62 0.56 0.09 0.90 0.70 0.61 0.04 1.00 0.99 0.81 0.81 0.53 0.32 0.36 0.22 0.73 0.48 0.15 0.56 0.84 0.20 0.34 0.36 0.31 0.49 0.51 ]
[ 0.20 0.59 0.74 0.14 0.28 0.96 0.22 0.18 0.78 0.99 1.00 0.99 0.70 0.10 0.13 0.63 0.01 0.88 0.74 0.08 0.98 0.89 0.08 0.46 0.89 0.89 0.27 0.42 ]
[ 0.79 0.15 0.03 0.64 0.82 0.42 0.16 0.16 0.51 0.81 0.99 1.00 0.21 0.63 0.64 0.94 0.11 0.79 0.50 0.95 0.99 0.84 0.31 0.30 0.33 0.82 0.29 0.03 ]
[ 0.26 0.25 0.96 0.93 0.95 0.49 0.90 0.35 0.11 0.81 0.70 0.21 1.00 0.92 0.42 0.67 0.93 0.30 0.41 0.01 0.29 0.30 0.09 0.75 0.19 0.98 0.01 0.60 ]
[ 0.83 0.53 0.27 0.75 0.57 0.50 0.56 0.04 0.14 0.53 0.10 0.63 0.92 1.00 0.19 0.64 0.24 0.13 0.75 0.03 0.64 0.70 0.02 0.48 0.00 0.32 0.81 0.82 ]
[ 0.75 0.13 0.16 0.33 0.39 0.71 0.24 0.94 0.15 0.32 0.13 0.64 0.42 0.19 1.00 0.61 0.85 0.75 0.03 0.52 0.68 0.33 0.93 0.69 0.62 0.23 0.78 0.36 ]
[ 0.68 0.45 0.66 0.59 0.95 0.80 0.43 0.38 0.69 0.36 0.63 0.94 0.67 0.64 0.61 1.00 0.42 0.77 0.38 0.03 0.96 0.02 0.27 0.09 0.77 0.30 0.73 0.46 ]
[ 0.95 0.32 0.86 0.37 0.29 0.88 0.25 0.85 0.22 0.22 0.01 0.11 0.93 0.24 0.85 0.42 1.00 0.32 0.22 0.47 0.63 0.03 0.29 0.24 0.88 0.03 0.27 0.39 ]
[ 0.01 0.39 0.31 0.08 0.95 0.64 0.11 0.81 0.59 0.73 0.88 0.79 0.30 0.13 0.75 0.77 0.32 1.00 0.71 0.60 0.32 0.41 0.21 0.55 0.19 0.58 0.97 0.95 ]
[ 0.31 0.28 0.92 0.62 0.08 0.88 0.94 0.33 0.14 0.48 0.74 0.50 0.41 0.75 0.03 0.38 0.22 0.71 1.00 0.95 1.00 0.91 0.97 0.26 0.01 0.74 0.56 0.74 ]
[ 0.45 0.07 0.39 0.33 0.93 0.16 0.15 0.54 0.93 0.15 0.08 0.95 0.01 0.03 0.52 0.03 0.47 0.60 0.95 1.00 0.20 0.88 0.96 0.66 0.52 0.99 0.95 0.75 ]
[ 0.04 0.07 0.44 0.35 0.88 0.47 0.07 0.51 0.91 0.56 0.98 0.99 0.29 0.64 0.68 0.96 0.63 0.32 1.00 0.20 1.00 0.86 0.99 0.02 0.26 0.70 0.62 0.58 ]
[ 0.05 0.23 0.37 0.78 0.83 0.84 0.37 0.55 0.75 0.84 0.89 0.84 0.30 0.70 0.33 0.02 0.03 0.41 0.91 0.88 0.86 1.00 0.11 0.83 0.13 0.30 0.41 0.10 ]
[ 0.31 0.08 0.71 0.99 0.26 0.74 0.64 0.69 0.11 0.20 0.08 0.31 0.09 0.02 0.93 0.27 0.29 0.21 0.97 0.96 0.99 0.11 1.00 0.25 0.36 0.10 0.16 0.33 ]
[ 0.02 0.38 0.83 0.21 0.47 0.86 0.57 0.41 0.06 0.34 0.46 0.30 0.75 0.48 0.69 0.09 0.24 0.55 0.26 0.66 0.02 0.83 0.25 1.00 0.36 0.17 0.06 0.93 ]
