D = 5;
n = [ 0 2 1 0 4 ];

N = 34;
d = [ 2 2 3 5 5 5 5 3 1 3 2 3 1 2 3 1 3 3 5 4 4 2 3 3 3 1 5 3 4 2 3 3 2 4 ];
m = [
[ 1.00 0.18 0.68 0.85 0.93 0.05 0.17 0.72 0.89 0.38 0.64 0.80 0.99 0.29 0.60 0.97 0.89 0.52 0.47 0.21 0.88 0.32 0.92 0.92 0.17 0.78 0.69 0.32 0.67 0.87 0.00 0.98 0.97 0.22 ]
[ 0.18 1.00 0.03 0.98 0.75 0.45 0.66 0.54 0.51 0.90 0.24 0.50 0.80 0.83 0.48 0.78 0.94 0.17 0.59 1.00 0.27 0.94 0.77 0.42 0.51 0.95 0.99 0.49 0.21 0.03 0.38 0.97 0.20 0.64 ]
[ 0.68 0.03 1.00 0.65 0.28 0.21 0.97 0.82 0.42 0.80 0.86 0.88 0.65 0.17 0.73 0.99 0.35 0.47 0.66 0.62 0.19 0.11 0.66 0.85 0.23 0.26 0.71 0.97 0.60 0.44 0.27 0.87 0.43 0.47 ]
[ 0.85 0.98 0.65 1.00 0.11 0.86 0.77 0.95 0.91 0.67 0.58 0.11 0.33 0.81 0.38 0.91 0.67 1.00 0.19 0.34 0.09 0.55 0.19 0.21 0.76 0.84 0.65 0.14 0.88 0.76 0.30 0.01 0.66 0.22 ]
[ 0.93 0.75 0.28 0.11 1.00 0.92 0.55 0.62 0.51 0.40 0.88 0.44 0.96 0.78 0.22 0.49 0.63 0.31 0.95 0.71 0.67 0.24 0.37 0.92 0.93 0.06 0.19 0.79 0.82 0.43 0.80 0.00 0.58 0.04 ]
[ 0.05 0.45 0.21 0.86 0.92 1.00 0.31 0.26 0.99 0.23 0.96 0.67 0.47 0.84 0.59 0.01 0.97 0.97 0.73 0.76 0.34 0.71 0.40 0.49 0.42 0.56 0.51 0.64 0.98 0.26 0.51 0.79 0.26 0.87 ]
[ 0.17 0.66 0.97 0.77 0.55 0.31 1.00 0.43 0.46 0.26 0.27 0.88 0.73 0.34 0.00 0.70 0.45 0.95 0.78 0.00 0.26 0.99 0.71 0.36 0.86 0.77 0.84 0.68 0.96 0.69 0.85 0.68 0.79 0.91 ]
[ 0.72 0.54 0.82 0.95 0.62 0.26 0.43 1.00 0.44 0.63 0.61 0.98 0.64 0.95 0.99 0.18 0.56 0.01 0.91 0.35 0.05 0.27 0.54 0.36 0.87 0.52 0.57 0.89 0.55 0.87 0.47 0.00 0.18 0.07 ]
[ 0.89 0.51 0.42 0.91 0.51 0.99 0.46 0.44 1.00 0.40 0.59 0.95 0.81 0.31 0.03 0.64 0.96 0.00 0.24 0.22 0.95 0.29 0.39 0.29 0.18 0.61 0.27 0.85 0.41 0.01 0.87 0.58 0.15 0.87 ]
[ 0.38 0.90 0.80 0.67 0.40 0.23 0.26 0.63 0.40 1.00 0.78 0.74 0.43 0.68 0.94 0.18 0.49 0.16 0.87 0.50 0.81 0.91 0.75 0.42 0.87 0.85 0.95 0.59 0.98 0.73 0.05 0.26 0.55 0.92 ]
[ 0.64 0.24 0.86 0.58 0.88 0.96 0.27 0.61 0.59 0.78 1.00 0.00 0.83 0.24 0.94 0.06 0.56 0.64 0.33 0.68 0.90 0.84 0.63 0.18 0.60 0.24 0.38 0.85 0.15 0.75 0.40 0.87 0.52 0.15 ]
[ 0.80 0.50 0.88 0.11 0.44 0.67 0.88 0.98 0.95 0.74 0.00 1.00 0.53 0.98 0.09 0.58 0.40 0.75 0.51 0.73 0.70 0.25 0.15 0.90 0.33 0.36 0.34 0.93 0.20 0.96 0.05 0.84 0.84 0.96 ]
[ 0.99 0.80 0.65 0.33 0.96 0.47 0.73 0.64 0.81 0.43 0.83 0.53 1.00 0.71 0.39 0.42 0.40 0.92 0.67 0.23 0.51 0.05 0.28 0.53 0.22 0.30 0.93 0.99 0.95 0.71 0.37 0.53 0.55 0.90 ]
[ 0.29 0.83 0.17 0.81 0.78 0.84 0.34 0.95 0.31 0.68 0.24 0.98 0.71 1.00 0.69 0.40 0.72 0.40 0.23 0.98 0.97 0.00 0.90 0.88 0.85 0.06 0.03 0.56 0.26 0.30 0.42 0.73 0.48 0.85 ]
[ 0.60 0.48 0.73 0.38 0.22 0.59 0.00 0.99 0.03 0.94 0.94 0.09 0.39 0.69 1.00 0.10 0.42 0.64 0.87 0.71 0.95 0.89 0.13 0.59 0.06 0.86 0.89 0.04 0.87 0.57 0.30 0.86 0.86 0.21 ]
[ 0.97 0.78 0.99 0.91 0.49 0.01 0.70 0.18 0.64 0.18 0.06 0.58 0.42 0.40 0.10 1.00 0.71 0.55 0.64 0.49 0.90 0.15 0.78 0.34 0.93 0.31 0.33 0.69 0.86 0.19 0.57 0.91 0.17 0.75 ]
[ 0.89 0.94 0.35 0.67 0.63 0.97 0.45 0.56 0.96 0.49 0.56 0.40 0.40 0.72 0.42 0.71 1.00 0.70 0.34 0.47 0.70 0.90 0.51 0.56 0.51 0.55 0.04 0.87 0.71 0.49 0.25 0.25 0.31 0.39 ]
