D = 11;
n = [ 0 1 2 1 0 1 2 1 0 1 0 ];

N = 37;
d = [ 2 3 3 4 6 7 7 8 10 8 5 9 1 10 1 1 10 8 11 11 8 2 8 3 3 5 5 3 4 4 1 9 6 2 3 10 5 ];
m = [
[ 1.00 0.52 0.77 0.81 0.86 0.86 0.38 0.74 0.78 0.86 0.61 0.67 0.13 0.91 0.46 0.98 0.76 0.38 0.69 0.07 0.94 0.50 0.39 0.58 0.95 0.42 0.83 0.72 0.18 0.50 0.92 0.38 0.97 0.22 0.99 0.44 0.86 ]
[ 0.52 1.00 0.43 0.89 0.61 0.96 0.04 0.27 0.07 0.34 0.64 0.41 0.21 0.10 0.67 0.66 0.22 0.20 0.30 0.52 0.33 0.99 0.78 0.53 0.34 0.05 0.54 0.15 0.78 0.73 0.36 0.97 0.40 0.79 0.30 0.46 0.62 ]
[ 0.77 0.43 1.00 0.82 0.91 0.82 0.90 0.95 0.19 0.51 0.40 0.94 0.77 0.19 0.89 0.12 0.44 0.82 0.94 0.61 0.91 0.64 0.81 0.57 0.16 0.99 0.92 0.17 0.84 0.94 0.86 0.70 0.62 0.94 0.62 0.35 0.75 ]
[ 0.81 0.89 0.82 1.00 0.72 0.05 0.97 0.50 0.65 0.38 0.34 0.98 0.94 0.89 0.42 0.26 0.88 0.88 0.99 0.47 0.98 0.24 0.24 0.91 0.93 0.57 0.86 0.95 0.39 0.23 0.75 0.64 0.86 0.00 0.16 0.84 0.74 ]
[ 0.86 0.61 0.91 0.72 1.00 0.75 0.77 0.81 0.18 0.38 0.12 0.54 0.23 0.58 0.39 0.54 0.84 0.99 0.46 0.11 0.62 0.97 0.19 0.36 0.47 0.84 0.91 0.68 0.18 0.41 0.89 0.71 0.06 0.88 0.60 0.24 0.51 ]
[ 0.86 0.96 0.82 0.05 0.75 1.00 0.98 0.00 0.28 0.25 0.63 0.89 0.26 0.34 0.87 0.97 0.47 0.45 0.88 0.73 0.42 0.10 0.17 0.85 0.81 0.18 0.55 0.74 0.17 0.32 0.97 0.29 0.16 0.46 0.78 0.40 0.44 ]
[ 0.38 0.04 0.90 0.97 0.77 0.98 1.00 0.58 0.89 0.61 0.70 0.73 0.83 0.21 0.97 0.02 0.39 0.98 0.15 0.55 0.55 0.00 0.84 0.71 0.04 0.21 0.30 0.35 0.96 0.95 0.69 0.80 0.39 0.30 0.89 0.89 0.86 ]
[ 0.74 0.27 0.95 0.50 0.81 0.00 0.58 1.00 0.90 0.27 0.48 0.56 0.13 0.00 0.25 0.21 0.18 0.76 0.68 0.42 0.92 0.39 0.39 0.00 0.98 0.64 0.52 0.95 0.83 0.44 0.74 0.30 0.38 0.80 0.90 0.00 0.96 ]
[ 0.78 0.07 0.19 0.65 0.18 0.28 0.89 0.90 1.00 0.49 0.11 0.64 0.98 1.00 0.34 0.94 0.19 0.96 0.98 0.91 0.56 0.64 0.71 0.97 0.00 0.37 0.23 0.81 0.30 0.90 0.83 0.96 0.92 0.21 0.95 0.18 0.80 ]
[ 0.86 0.34 0.51 0.38 0.38 0.25 0.61 0.27 0.49 1.00 0.25 0.38 0.07 0.53 0.24 0.21 0.18 0.96 0.48 0.72 0.20 0.16 0.82 0.93 0.23 0.53 0.19 0.91 0.68 0.33 0.58 0.81 0.61 0.19 0.47 0.90 0.27 ]
