D = 8;
n = [ 2 1 3 2 1 2 1 0 ];

N = 39;
d = [ 1 1 2 3 3 3 4 4 5 6 6 7 8 3 1 7 4 6 1 6 6 7 3 5 7 2 4 2 8 4 7 3 8 3 8 6 8 3 8 ];
m = [
[ 1.00 0.98 0.43 0.52 0.77 0.81 0.86 0.86 0.38 0.74 0.78 0.86 0.61 0.67 0.13 0.91 0.46 0.98 0.76 0.38 0.69 0.07 0.94 0.50 0.39 0.58 0.95 0.42 0.83 0.72 0.18 0.50 0.92 0.38 0.97 0.22 0.99 0.44 0.86 ]
[ 0.98 1.00 0.43 0.89 0.61 0.96 0.04 0.27 0.07 0.34 0.64 0.41 0.21 0.10 0.67 0.66 0.22 0.20 0.30 0.52 0.33 0.99 0.78 0.53 0.34 0.05 0.54 0.15 0.78 0.73 0.36 0.97 0.40 0.79 0.30 0.46 0.62 0.82 0.91 ]
[ 0.43 0.43 1.00 0.82 0.90 0.95 0.19 0.51 0.40 0.94 0.77 0.19 0.89 0.12 0.44 0.82 0.94 0.61 0.91 0.64 0.81 0.57 0.16 0.99 0.92 0.17 0.84 0.94 0.86 0.70 0.62 0.94 0.62 0.35 0.75 0.72 0.05 0.97 0.50 ]
[ 0.52 0.89 0.82 1.00 0.65 0.38 0.34 0.98 0.94 0.89 0.42 0.26 0.88 0.88 0.99 0.47 0.98 0.24 0.24 0.91 0.93 0.57 0.86 0.95 0.39 0.23 0.75 0.64 0.86 0.00 0.16 0.84 0.74 0.75 0.77 0.81 0.18 0.38 0.12 ]
[ 0.77 0.61 0.90 0.65 1.00 0.54 0.23 0.58 0.39 0.54 0.84 0.99 0.46 0.11 0.62 0.97 0.19 0.36 0.47 0.84 0.91 0.68 0.18 0.41 0.89 0.71 0.06 0.88 0.60 0.24 0.51 0.98 0.00 0.28 0.25 0.63 0.89 0.26 0.34 ]
[ 0.81 0.96 0.95 0.38 0.54 1.00 0.87 0.97 0.47 0.45 0.88 0.73 0.42 0.10 0.17 0.85 0.81 0.18 0.55 0.74 0.17 0.32 0.97 0.29 0.16 0.46 0.78 0.40 0.44 0.58 0.89 0.61 0.70 0.73 0.83 0.21 0.97 0.02 0.39 ]
[ 0.86 0.04 0.19 0.34 0.23 0.87 1.00 0.98 0.15 0.55 0.55 0.00 0.84 0.71 0.04 0.21 0.30 0.35 0.96 0.95 0.69 0.80 0.39 0.30 0.89 0.89 0.86 0.90 0.27 0.48 0.56 0.13 0.00 0.25 0.21 0.18 0.76 0.68 0.42 ]
[ 0.86 0.27 0.51 0.98 0.58 0.97 0.98 1.00 0.92 0.39 0.39 0.00 0.98 0.64 0.52 0.95 0.83 0.44 0.74 0.30 0.38 0.80 0.90 0.00 0.96 0.49 0.11 0.64 0.98 1.00 0.34 0.94 0.19 0.96 0.98 0.91 0.56 0.64 0.71 ]
[ 0.38 0.07 0.40 0.94 0.39 0.47 0.15 0.92 1.00 0.97 0.00 0.37 0.23 0.81 0.30 0.90 0.83 0.96 0.92 0.21 0.95 0.18 0.80 0.25 0.38 0.07 0.53 0.24 0.21 0.18 0.96 0.48 0.72 0.20 0.16 0.82 0.93 0.23 0.53 ]
[ 0.74 0.34 0.94 0.89 0.54 0.45 0.55 0.39 0.97 1.00 0.19 0.91 0.68 0.33 0.58 0.81 0.61 0.19 0.47 0.90 0.27 0.95 0.18 0.25 0.00 0.63 0.62 0.73 0.37 0.45 0.00 0.00 0.24 0.91 0.23 0.36 0.78 0.26 0.50 ]
[ 0.78 0.64 0.77 0.42 0.84 0.88 0.55 0.39 0.00 0.19 1.00 0.37 0.92 0.37 0.77 0.63 0.26 0.92 0.88 0.41 0.81 0.26 0.40 0.18 0.89 0.52 0.50 0.07 0.36 0.86 0.67 0.78 0.69 0.49 0.35 0.34 0.61 0.89 0.98 ]
[ 0.86 0.41 0.19 0.26 0.99 0.73 0.00 0.00 0.37 0.91 0.37 1.00 0.35 0.53 0.79 0.60 1.00 0.23 0.25 0.75 0.68 0.47 0.57 0.86 0.84 0.37 0.69 0.59 0.90 0.98 0.30 0.09 0.92 0.04 0.56 0.62 0.70 0.94 0.76 ]
[ 0.61 0.21 0.89 0.88 0.46 0.42 0.84 0.98 0.23 0.68 0.92 0.35 1.00 0.89 0.46 0.25 0.97 0.34 0.99 0.91 0.60 0.05 0.66 0.96 0.72 0.62 0.93 0.85 0.81 0.35 0.74 0.57 0.27 0.66 0.15 0.32 0.22 0.69 0.34 ]
[ 0.67 0.10 0.12 0.88 0.11 0.10 0.71 0.64 0.81 0.33 0.37 0.53 0.89 1.00 0.87 0.99 0.63 0.20 0.78 0.82 0.43 0.57 0.43 0.98 0.77 0.31 0.51 0.67 0.26 0.71 0.22 0.24 0.88 0.00 0.22 0.45 0.59 0.77 0.57 ]
[ 0.13 0.67 0.44 0.99 0.62 0.17 0.04 0.52 0.30 0.58 0.77 0.79 0.46 0.87 1.00 0.50 0.53 0.81 0.77 0.44 0.45 0.83 0.93 0.98 0.78 0.69 0.89 0.00 0.80 0.00 0.08 0.72 0.67 0.92 0.16 0.82 0.50 0.74 0.23 ]
[ 0.91 0.66 0.82 0.47 0.97 0.85 0.21 0.95 0.90 0.81 0.63 0.60 0.25 0.99 0.50 1.00 0.27 0.61 0.18 0.20 0.59 0.89 0.92 0.18 0.77 0.95 0.48 0.95 0.22 0.97 0.59 0.36 0.77 0.76 0.06 0.00 0.85 0.52 0.69 ]
