D = 9;
n = [ 3 1 3 3 0 2 3 0 2 ];

N = 44;
d = [ 1 1 1 2 3 3 3 4 4 4 6 6 7 7 7 9 9 1 5 6 4 6 8 8 2 3 6 4 2 4 9 7 1 8 8 3 5 2 6 6 7 9 1 7 ];
m = [
[ 1.00 0.59 0.38 0.25 0.31 0.96 0.00 0.62 0.43 0.77 0.75 0.62 0.04 0.88 0.29 0.71 0.19 0.53 0.78 0.36 0.72 0.24 0.55 0.97 0.63 0.95 0.34 0.39 0.24 0.10 0.32 0.89 0.20 0.47 0.41 0.91 0.63 0.68 0.38 0.30 0.90 0.55 0.26 0.24 ]
[ 0.59 1.00 0.49 0.57 0.90 0.18 0.58 0.90 0.32 0.27 0.33 0.27 0.93 0.58 0.88 0.91 0.86 0.95 0.05 0.90 0.87 0.17 0.98 0.65 0.23 0.16 0.72 0.99 0.93 0.27 0.68 0.27 0.02 0.45 0.23 0.26 0.01 0.99 0.94 0.18 0.53 0.20 0.89 0.64 ]
[ 0.38 0.49 1.00 0.57 0.57 0.47 0.29 0.58 0.01 0.41 0.99 0.47 0.44 0.53 0.65 0.51 0.46 0.97 0.54 0.15 0.69 0.99 0.20 0.57 0.35 0.45 0.92 0.23 0.79 0.37 0.68 0.44 0.94 0.05 0.95 0.89 0.71 0.43 0.69 0.17 1.00 0.89 0.90 0.35 ]
[ 0.25 0.57 0.57 1.00 0.86 0.77 0.45 0.00 0.93 0.87 0.95 0.57 0.61 0.39 0.16 0.49 0.73 0.44 0.28 0.45 0.37 0.21 0.57 0.96 0.46 0.36 0.38 0.94 0.78 0.91 0.38 0.78 0.64 0.38 0.17 0.02 0.01 0.20 0.38 0.69 0.65 0.00 0.18 0.93 ]
[ 0.31 0.90 0.57 0.86 1.00 0.74 0.92 0.69 0.95 0.86 0.33 0.15 0.23 0.86 0.42 0.62 0.92 0.99 0.40 0.49 0.16 0.37 0.21 0.76 0.17 0.63 0.99 0.89 0.84 0.41 0.18 0.57 0.50 0.19 0.93 0.65 0.98 0.15 0.24 0.95 0.72 0.92 0.19 0.68 ]
[ 0.96 0.18 0.47 0.77 0.74 1.00 0.21 0.45 0.26 0.95 0.93 0.08 0.32 0.56 0.33 0.86 0.46 0.54 0.24 0.84 0.11 0.31 0.75 0.99 0.63 0.95 0.37 0.36 0.43 0.95 0.07 0.86 0.50 0.27 0.59 0.00 0.41 0.18 0.96 0.26 0.42 0.46 0.86 0.81 ]
[ 0.00 0.58 0.29 0.45 0.92 0.21 1.00 0.85 0.90 0.00 0.19 0.88 0.42 0.28 0.53 0.41 0.18 0.88 0.66 0.24 0.91 0.94 0.64 0.20 0.00 0.69 0.57 0.16 0.79 0.39 0.14 0.36 0.41 0.57 0.57 0.89 0.16 0.62 0.65 0.24 0.46 0.19 0.46 0.29 ]
[ 0.62 0.90 0.58 0.00 0.69 0.45 0.85 1.00 0.49 0.35 0.98 0.74 0.47 0.40 0.85 0.26 0.95 0.01 0.00 0.31 0.27 0.61 0.56 0.91 0.30 0.31 0.71 0.50 0.33 0.91 0.83 0.48 0.95 0.23 0.85 0.58 0.48 0.45 0.16 0.15 0.69 0.77 0.17 0.59 ]
[ 0.43 0.32 0.01 0.93 0.95 0.26 0.90 0.49 1.00 0.38 0.57 0.86 0.37 0.41 0.67 0.68 0.57 0.95 0.36 0.98 0.77 0.51 0.30 0.26 0.73 0.76 0.71 0.50 0.60 0.52 0.89 0.67 0.93 0.78 0.17 0.24 0.42 0.63 0.88 0.92 0.90 0.45 0.32 0.31 ]
[ 0.77 0.27 0.41 0.87 0.86 0.95 0.00 0.35 0.38 1.00 0.71 0.34 0.19 0.81 0.91 0.91 0.58 0.39 0.88 0.57 0.75 0.40 0.40 0.37 0.66 0.92 0.36 0.09 0.69 0.81 0.44 0.57 0.78 0.85 0.00 0.59 0.72 0.97 0.17 0.36 0.39 0.22 0.25 0.92 ]
