D = 9;
n = [ 4 0 0 0 2 2 3 4 3 ];

N = 48;
d = [ 1 1 1 1 5 5 6 6 7 7 7 8 8 8 8 9 9 9 6 9 6 7 4 5 7 3 4 4 3 3 1 1 6 9 6 1 2 7 3 3 7 4 1 8 9 9 1 8 ];
m = [
[ 1.00 0.22 0.00 0.00 0.71 0.79 0.49 0.59 0.70 0.21 0.36 0.56 0.18 0.80 0.26 0.13 0.26 0.33 0.51 0.90 0.49 0.97 0.43 0.52 0.36 0.30 0.03 0.93 0.44 0.50 0.56 0.66 0.20 0.82 0.04 0.98 0.08 0.96 0.24 0.23 0.74 0.19 0.87 0.37 0.18 0.23 0.00 0.12 ]
[ 0.22 1.00 0.89 0.90 0.00 0.59 0.71 0.48 0.23 0.96 0.86 0.93 0.62 0.63 0.31 0.72 0.90 0.27 0.38 0.86 0.86 1.00 0.75 0.91 0.19 0.29 0.96 0.28 0.47 0.44 0.57 0.16 0.34 0.61 0.88 0.71 0.91 0.21 0.30 0.88 0.57 0.41 0.27 0.12 0.45 0.90 0.44 0.83 ]
[ 0.00 0.89 1.00 0.51 0.35 0.05 0.80 0.74 0.15 0.48 0.90 0.09 0.44 0.33 0.44 0.40 0.11 0.01 0.92 0.36 0.04 0.73 0.42 0.28 0.67 0.94 0.66 0.69 0.84 0.37 0.64 0.23 0.47 0.86 0.11 0.62 0.16 0.00 0.43 0.06 0.79 0.90 0.68 0.69 0.53 0.30 0.50 0.86 ]
[ 0.00 0.90 0.51 1.00 0.40 0.83 0.81 0.99 0.90 0.23 0.60 0.51 0.51 0.54 0.44 0.26 0.87 0.98 0.89 0.93 0.27 0.77 0.97 0.19 0.89 0.78 0.61 0.92 0.35 0.91 0.40 0.61 0.99 0.86 0.07 0.71 0.19 0.69 0.52 0.18 0.85 0.97 0.41 0.97 0.37 0.90 0.73 0.25 ]
[ 0.71 0.00 0.35 0.40 1.00 0.54 0.82 0.71 0.65 0.00 0.92 0.84 0.00 0.97 0.66 0.83 0.98 0.96 0.86 0.74 0.86 0.58 0.29 0.96 0.39 0.75 0.80 0.71 0.40 0.56 0.30 0.27 0.40 0.32 1.00 0.32 0.19 0.67 0.92 0.32 0.76 0.00 0.71 0.42 0.86 0.60 0.88 0.35 ]
[ 0.79 0.59 0.05 0.83 0.54 1.00 0.53 0.52 0.28 0.88 0.61 0.85 0.48 0.87 0.39 0.74 0.80 0.29 0.32 0.21 0.18 0.68 0.54 0.51 0.77 0.85 0.65 0.47 0.49 0.92 0.76 0.84 0.52 0.97 0.17 0.31 0.31 0.60 0.34 0.08 0.74 0.11 0.93 0.68 0.70 0.74 0.49 0.92 ]
[ 0.49 0.71 0.80 0.81 0.82 0.53 1.00 0.16 0.69 0.21 0.22 0.84 0.86 0.79 0.00 0.68 0.23 0.60 0.20 0.20 0.50 0.68 0.28 0.39 0.93 0.51 0.49 0.93 0.79 0.87 0.27 0.94 0.31 0.93 0.78 0.55 0.90 0.67 0.86 0.81 0.48 0.27 0.34 0.88 0.92 0.63 0.32 0.78 ]
[ 0.59 0.48 0.74 0.99 0.71 0.52 0.16 1.00 0.93 0.69 0.21 0.74 0.62 0.99 0.62 0.91 0.90 0.23 0.33 0.72 0.60 0.90 0.97 0.40 0.65 0.96 0.49 0.31 0.88 0.80 0.21 1.00 0.78 0.20 0.06 0.76 0.42 0.81 0.47 0.92 0.46 0.83 0.73 0.86 0.42 0.75 0.40 0.79 ]
[ 0.70 0.23 0.15 0.90 0.65 0.28 0.69 0.93 1.00 0.81 0.00 0.40 0.34 0.34 0.90 0.80 0.80 0.20 0.20 0.15 0.00 0.16 0.24 0.23 0.96 0.96 0.17 0.16 0.43 0.27 0.67 0.97 0.53 0.00 0.65 0.47 0.89 0.96 0.95 0.17 0.89 0.13 0.22 0.99 0.45 0.27 0.24 0.24 ]
[ 0.21 0.96 0.48 0.23 0.00 0.88 0.21 0.69 0.81 1.00 0.05 0.82 0.18 0.67 0.83 0.31 0.19 0.70 0.38 0.36 0.63 0.45 0.60 0.44 0.42 0.89 0.57 0.68 0.61 0.99 0.15 0.33 0.00 0.18 0.69 0.10 0.44 0.59 0.57 0.81 0.58 0.60 0.21 0.86 0.52 0.62 0.94 0.43 ]
