D = 10;
n = [ 0 0 3 2 1 0 2 3 0 0 ];

N = 49;
d = [ 3 3 3 4 4 5 7 7 8 8 8 9 1 2 6 8 10 9 10 6 1 9 8 7 7 5 1 5 1 9 8 2 3 6 9 7 9 10 6 4 10 10 4 2 2 10 1 3 10 ];
m = [
[ 1.00 0.16 0.76 0.28 0.62 0.38 1.00 0.00 0.27 0.61 0.54 0.21 0.98 0.68 0.98 0.37 0.81 0.44 0.65 0.92 0.24 0.74 0.89 0.94 0.09 0.54 0.34 0.73 0.00 0.57 0.95 0.33 0.29 0.49 0.71 0.15 0.86 0.26 0.92 0.47 0.15 0.47 0.00 0.84 0.79 0.23 0.98 0.10 0.48 ]
[ 0.16 1.00 0.53 0.21 0.57 0.97 0.16 0.22 0.28 0.03 0.30 0.11 0.42 0.70 0.31 0.13 0.62 0.85 0.59 0.69 0.34 0.84 0.13 0.11 0.26 0.10 0.88 0.94 0.19 0.86 0.85 0.27 0.36 0.76 0.04 0.25 0.30 0.97 0.88 0.24 0.55 0.67 0.31 0.38 0.64 0.56 0.40 0.39 0.80 ]
[ 0.76 0.53 1.00 0.55 0.76 0.67 0.00 0.55 0.86 0.04 0.96 0.28 0.90 0.73 0.29 0.30 0.56 0.32 0.98 0.70 0.39 0.73 0.39 0.57 0.56 0.73 0.16 0.12 0.52 0.85 0.13 0.58 0.27 0.10 0.38 0.25 0.99 0.22 0.42 0.65 0.56 0.89 0.08 0.82 0.66 0.97 0.26 0.18 0.89 ]
[ 0.28 0.21 0.55 1.00 0.42 0.88 0.89 0.50 0.92 0.20 0.74 0.95 0.33 0.88 0.38 0.87 0.93 0.53 0.61 0.35 0.92 0.93 0.94 0.24 0.80 0.28 0.75 0.13 0.00 0.22 0.46 0.92 0.55 0.23 0.48 0.45 0.43 0.86 0.92 0.89 0.18 0.64 0.37 0.64 0.63 0.68 0.73 0.96 0.86 ]
[ 0.62 0.57 0.76 0.42 1.00 0.53 0.69 0.17 0.13 0.90 0.03 0.74 0.19 0.19 0.23 0.00 0.12 0.55 0.41 0.60 0.77 0.37 0.03 0.92 0.25 0.96 0.67 0.90 0.06 0.18 1.00 0.56 0.38 0.11 0.83 0.48 0.98 0.04 0.20 0.49 0.31 0.62 0.53 0.82 0.76 0.64 0.70 0.59 0.45 ]
[ 0.38 0.97 0.67 0.88 0.53 1.00 0.72 0.11 0.32 0.20 0.60 0.00 0.24 0.46 0.00 0.98 0.90 0.77 0.51 0.87 0.00 0.32 0.11 0.58 0.40 0.18 0.91 0.55 0.97 0.17 0.80 0.18 0.71 0.74 0.41 0.36 0.81 0.91 0.57 0.02 0.76 0.06 0.77 0.97 0.75 0.76 0.00 0.79 0.01 ]
[ 1.00 0.16 0.00 0.89 0.69 0.72 1.00 0.94 0.25 0.52 0.23 0.95 0.62 0.80 0.55 0.16 0.85 0.94 0.73 0.55 0.67 0.41 0.33 0.19 0.02 0.65 0.62 0.18 0.22 1.00 0.21 0.48 0.83 0.71 0.00 0.91 0.37 0.97 0.87 0.88 0.99 0.32 0.47 0.30 0.67 0.70 0.35 0.77 0.11 ]
[ 0.00 0.22 0.55 0.50 0.17 0.11 0.94 1.00 0.27 0.93 0.99 0.91 0.15 0.00 0.29 0.44 0.37 0.47 0.71 0.96 0.18 0.34 0.84 0.55 0.97 0.93 0.19 0.96 0.42 0.36 0.40 0.56 0.90 0.59 0.90 0.21 0.06 0.28 0.84 0.42 0.75 0.24 0.34 0.96 0.25 0.32 0.67 0.27 0.98 ]
[ 0.27 0.28 0.86 0.92 0.13 0.32 0.25 0.27 1.00 0.87 0.23 0.54 0.55 0.82 0.08 0.90 0.31 0.35 0.37 0.87 0.85 0.83 0.31 0.72 0.99 0.37 0.28 0.56 0.09 0.90 0.76 0.49 0.86 0.57 0.96 0.77 0.25 0.93 1.00 0.49 0.39 0.81 0.95 0.35 0.20 0.43 0.31 0.01 0.10 ]
[ 0.61 0.03 0.04 0.20 0.90 0.20 0.52 0.93 0.87 1.00 0.96 0.43 0.88 0.07 0.79 0.87 0.05 0.29 0.84 0.98 0.87 0.98 0.98 0.06 0.42 0.93 0.48 0.65 0.92 0.42 0.59 0.97 1.00 0.89 0.74 0.30 0.18 0.53 0.25 0.68 0.19 0.95 0.88 0.27 0.93 0.18 0.20 0.26 0.97 ]
[ 0.54 0.30 0.96 0.74 0.03 0.60 0.23 0.99 0.23 0.96 1.00 0.84 0.56 0.10 0.34 0.50 0.88 0.80 0.53 0.67 0.99 0.43 0.48 0.60 0.33 0.56 0.89 0.65 0.69 0.92 0.54 0.45 0.29 1.00 0.14 0.48 0.10 0.38 0.36 0.62 0.00 0.32 1.00 0.38 0.55 0.34 0.89 0.18 0.44 ]
[ 0.21 0.11 0.28 0.95 0.74 0.00 0.95 0.91 0.54 0.43 0.84 1.00 0.83 0.05 0.94 0.05 0.50 0.71 0.24 0.03 0.84 0.88 0.86 0.85 0.40 0.93 0.33 0.70 0.21 0.99 0.90 0.88 0.66 0.34 0.91 0.30 0.65 0.62 0.26 0.18 0.81 0.78 0.50 0.45 0.97 0.36 0.59 0.80 0.93 ]
[ 0.98 0.42 0.90 0.33 0.19 0.24 0.62 0.15 0.55 0.88 0.56 0.83 1.00 0.00 0.98 0.45 0.44 0.77 0.83 0.29 0.50 0.91 0.89 0.87 0.77 0.87 0.24 0.81 0.02 0.64 0.13 0.89 0.14 0.91 0.10 0.91 0.41 0.78 0.76 0.50 0.53 0.69 0.36 0.26 0.74 0.92 0.83 0.80 0.75 ]
[ 0.68 0.70 0.73 0.88 0.19 0.46 0.80 0.00 0.82 0.07 0.10 0.05 0.00 1.00 0.74 0.81 0.96 0.18 0.82 0.95 0.95 0.23 0.78 0.24 0.76 0.79 0.95 0.20 0.97 0.00 0.62 0.98 0.31 0.99 0.26 0.56 0.52 0.66 0.65 0.22 0.17 0.64 0.66 0.92 0.44 0.33 0.76 0.16 0.38 ]
[ 0.98 0.31 0.29 0.38 0.23 0.00 0.55 0.29 0.08 0.79 0.34 0.94 0.98 0.74 1.00 0.84 0.75 0.22 0.42 0.40 0.84 0.98 0.51 0.42 0.28 0.55 0.89 0.96 0.83 0.29 0.64 0.97 0.68 0.81 0.64 0.89 0.96 0.64 0.65 0.51 0.80 0.93 0.80 0.34 0.81 0.88 0.95 0.88 0.76 ]
[ 0.37 0.13 0.30 0.87 0.00 0.98 0.16 0.44 0.90 0.87 0.50 0.05 0.45 0.81 0.84 1.00 0.93 0.92 0.89 0.99 0.46 0.18 0.52 0.17 0.02 0.33 0.13 0.77 0.97 0.86 0.14 0.27 0.52 0.32 0.97 0.68 0.68 0.87 0.70 0.38 0.26 0.40 0.69 0.86 0.97 0.59 0.23 0.27 0.43 ]
[ 0.81 0.62 0.56 0.93 0.12 0.90 0.85 0.37 0.31 0.05 0.88 0.50 0.44 0.96 0.75 0.93 1.00 0.06 0.93 0.43 0.15 0.57 0.67 0.63 0.50 0.79 0.34 0.77 0.27 0.68 0.90 0.79 0.90 0.99 0.51 0.29 0.74 0.32 0.64 0.92 0.83 0.49 0.43 0.35 0.98 0.74 0.99 0.14 0.22 ]
[ 0.44 0.85 0.32 0.53 0.55 0.77 0.94 0.47 0.35 0.29 0.80 0.71 0.77 0.18 0.22 0.92 0.06 1.00 0.28 0.25 0.23 0.26 0.94 0.35 0.86 0.47 0.51 0.80 0.44 0.74 0.86 0.16 0.87 0.73 0.65 0.62 0.99 0.28 0.00 0.92 0.97 0.19 0.33 0.34 0.39 0.78 0.25 0.58 0.97 ]
[ 0.65 0.59 0.98 0.61 0.41 0.51 0.73 0.71 0.37 0.84 0.53 0.24 0.83 0.82 0.42 0.89 0.93 0.28 1.00 0.99 0.46 0.69 0.77 0.92 0.90 0.16 0.62 0.45 0.84 0.15 0.97 0.99 0.94 0.21 0.32 0.51 1.00 0.82 0.78 0.34 0.90 0.90 0.40 0.81 0.46 0.61 0.97 0.29 0.23 ]
[ 0.92 0.69 0.70 0.35 0.60 0.87 0.55 0.96 0.87 0.98 0.67 0.03 0.29 0.95 0.40 0.99 0.43 0.25 0.99 1.00 0.12 0.38 0.01 0.58 0.26 0.91 0.96 0.11 0.68 0.97 0.91 0.58 0.47 0.61 0.73 0.80 0.25 0.99 0.55 0.00 0.66 0.58 0.74 0.98 0.23 0.62 0.40 0.45 0.90 ]
[ 0.24 0.34 0.39 0.92 0.77 0.00 0.67 0.18 0.85 0.87 0.99 0.84 0.50 0.95 0.84 0.46 0.15 0.23 0.46 0.12 1.00 0.21 0.62 0.99 1.00 0.35 0.96 0.42 1.00 0.59 0.39 0.11 0.47 0.33 0.04 0.32 0.08 0.56 0.27 0.08 0.62 0.90 0.62 0.77 0.65 0.49 0.17 0.93 0.94 ]
[ 0.74 0.84 0.73 0.93 0.37 0.32 0.41 0.34 0.83 0.98 0.43 0.88 0.91 0.23 0.98 0.18 0.57 0.26 0.69 0.38 0.21 1.00 0.36 0.92 0.45 0.74 0.28 0.93 0.28 0.93 0.57 0.33 0.74 0.15 0.86 0.08 0.51 0.38 0.81 0.39 0.96 0.42 0.88 0.95 0.86 0.79 0.41 0.27 0.26 ]
[ 0.89 0.13 0.39 0.94 0.03 0.11 0.33 0.84 0.31 0.98 0.48 0.86 0.89 0.78 0.51 0.52 0.67 0.94 0.77 0.01 0.62 0.36 1.00 0.53 0.30 0.96 0.27 0.53 0.74 0.49 0.00 0.98 0.35 0.03 0.76 0.94 0.96 0.66 0.99 0.50 0.87 0.75 0.66 0.41 0.69 0.39 0.38 0.77 0.85 ]
[ 0.94 0.11 0.57 0.24 0.92 0.58 0.19 0.55 0.72 0.06 0.60 0.85 0.87 0.24 0.42 0.17 0.63 0.35 0.92 0.58 0.99 0.92 0.53 1.00 0.89 0.46 0.46 0.61 0.87 0.20 0.64 0.28 0.16 0.00 0.43 0.33 0.22 0.84 0.51 0.90 0.98 0.00 0.96 0.30 0.72 0.84 1.00 0.20 0.32 ]
[ 0.09 0.26 0.56 0.80 0.25 0.40 0.02 0.97 0.99 0.42 0.33 0.40 0.77 0.76 0.28 0.02 0.50 0.86 0.90 0.26 1.00 0.45 0.30 0.89 1.00 0.20 0.49 1.00 0.80 0.23 0.23 0.56 0.55 0.11 0.45 0.67 0.35 0.23 0.43 0.44 0.89 0.41 0.38 0.98 0.82 0.51 0.64 0.68 0.98 ]
[ 0.54 0.10 0.73 0.28 0.96 0.18 0.65 0.93 0.37 0.93 0.56 0.93 0.87 0.79 0.55 0.33 0.79 0.47 0.16 0.91 0.35 0.74 0.96 0.46 0.20 1.00 0.94 0.07 0.53 0.86 0.85 0.13 0.22 0.78 0.98 0.72 0.48 0.67 0.73 0.20 0.65 0.00 0.37 0.53 0.69 0.65 0.34 0.89 0.34 ]
[ 0.34 0.88 0.16 0.75 0.67 0.91 0.62 0.19 0.28 0.48 0.89 0.33 0.24 0.95 0.89 0.13 0.34 0.51 0.62 0.96 0.96 0.28 0.27 0.46 0.49 0.94 1.00 0.55 0.89 0.93 0.34 0.66 0.26 0.37 0.98 0.74 0.49 0.98 0.61 0.64 0.67 0.94 0.90 0.96 0.83 0.94 0.95 0.92 0.00 ]
[ 0.73 0.94 0.12 0.13 0.90 0.55 0.18 0.96 0.56 0.65 0.65 0.70 0.81 0.20 0.96 0.77 0.77 0.80 0.45 0.11 0.42 0.93 0.53 0.61 1.00 0.07 0.55 1.00 0.71 0.39 0.91 0.08 0.91 0.46 0.93 0.65 0.83 0.73 0.92 0.23 0.84 0.46 0.73 0.96 0.70 0.62 0.59 0.83 0.00 ]
[ 0.00 0.19 0.52 0.00 0.06 0.97 0.22 0.42 0.09 0.92 0.69 0.21 0.02 0.97 0.83 0.97 0.27 0.44 0.84 0.68 1.00 0.28 0.74 0.87 0.80 0.53 0.89 0.71 1.00 0.85 0.69 0.15 0.92 0.77 0.32 0.66 0.38 0.50 0.91 0.69 0.39 0.41 0.95 0.85 0.96 0.29 0.96 0.34 0.01 ]
[ 0.57 0.86 0.85 0.22 0.18 0.17 1.00 0.36 0.90 0.42 0.92 0.99 0.64 0.00 0.29 0.86 0.68 0.74 0.15 0.97 0.59 0.93 0.49 0.20 0.23 0.86 0.93 0.39 0.85 1.00 0.86 0.87 0.50 0.84 0.94 0.33 0.55 0.98 0.55 0.36 0.28 0.55 0.56 0.57 0.92 0.85 0.79 0.40 0.00 ]
[ 0.95 0.85 0.13 0.46 1.00 0.80 0.21 0.40 0.76 0.59 0.54 0.90 0.13 0.62 0.64 0.14 0.90 0.86 0.97 0.91 0.39 0.57 0.00 0.64 0.23 0.85 0.34 0.91 0.69 0.86 1.00 0.38 0.89 0.64 0.35 0.50 0.75 0.52 0.88 0.16 0.26 0.28 0.96 0.85 0.68 0.60 0.96 0.09 0.63 ]
