D = 14;
n = [ 2 2 1 2 0 0 2 2 0 2 1 0 1 1 ];

N = 54;
d = [ 1 1 2 2 3 4 4 7 7 8 8 10 10 11 13 14 1 13 9 12 6 1 8 14 1 7 1 9 11 3 3 6 2 2 5 6 13 5 14 13 13 5 14 12 5 8 7 3 6 14 13 12 14 6 ];
m = [
[ 1.00 0.11 0.34 0.80 0.54 0.25 0.94 0.37 0.59 0.40 0.71 0.55 0.98 0.93 0.92 0.11 0.88 0.41 0.50 0.59 0.87 0.46 0.75 0.06 0.82 0.23 0.38 0.80 0.18 0.29 0.57 0.86 0.40 0.31 0.68 0.79 0.59 0.00 0.49 0.19 0.86 0.20 0.25 0.68 0.71 0.51 0.98 0.91 0.97 0.13 0.56 0.94 0.37 0.26 ]
[ 0.11 1.00 0.19 0.68 0.18 0.81 0.56 0.92 0.80 0.63 0.46 0.42 0.77 0.99 0.79 0.83 0.46 0.17 0.39 0.94 0.94 0.55 0.04 0.94 0.86 0.99 0.90 0.68 0.93 0.96 0.26 0.62 0.71 0.21 0.48 0.52 0.32 0.89 0.26 0.95 0.27 0.96 0.77 0.67 0.24 0.75 0.24 0.13 0.31 0.20 0.95 0.70 0.96 0.42 ]
[ 0.34 0.19 1.00 0.82 0.86 0.09 0.60 0.89 0.77 0.73 0.64 0.35 0.77 0.55 0.30 0.54 0.26 0.21 0.23 0.55 0.28 0.85 0.60 0.88 0.10 0.89 0.85 0.82 0.19 0.12 0.68 0.89 0.60 0.92 0.45 0.82 0.88 0.45 0.30 0.91 0.10 0.89 0.29 0.54 0.66 0.53 0.69 0.00 0.45 0.76 0.59 0.87 0.23 0.95 ]
[ 0.80 0.68 0.82 1.00 0.38 0.05 0.83 0.92 0.28 0.29 0.91 1.00 0.41 0.35 0.17 0.84 0.19 0.76 0.89 0.87 0.72 0.70 0.92 0.92 0.79 0.24 0.32 0.27 0.99 0.43 0.57 0.58 0.08 0.74 0.17 0.37 0.49 0.60 0.39 0.95 0.96 0.93 0.78 0.55 0.28 0.97 0.40 0.47 0.79 0.94 0.89 0.70 0.86 0.96 ]
[ 0.54 0.18 0.86 0.38 1.00 0.50 0.59 0.88 0.88 0.78 0.99 0.66 0.77 0.26 0.81 0.59 0.16 0.50 0.64 0.89 0.78 0.73 0.82 0.00 0.87 0.58 0.84 0.94 0.56 0.98 0.60 0.53 0.00 0.48 0.69 0.88 0.94 0.67 0.60 0.46 0.98 0.83 0.50 0.42 0.33 0.21 0.65 0.66 0.84 0.94 0.90 0.68 0.99 0.91 ]
[ 0.25 0.81 0.09 0.05 0.50 1.00 0.88 0.81 0.41 0.73 0.94 0.01 0.36 0.16 0.29 0.80 0.81 0.00 0.37 0.96 0.00 0.30 0.76 0.53 0.50 0.66 0.70 0.53 0.00 0.74 0.03 0.03 0.71 0.00 0.38 0.28 0.19 1.00 0.26 0.64 0.61 0.58 0.52 0.64 0.33 0.80 0.86 0.93 0.55 0.74 0.89 0.94 0.92 0.59 ]
[ 0.94 0.56 0.60 0.83 0.59 0.88 1.00 0.06 0.38 0.08 0.46 0.00 0.25 0.57 0.86 0.18 0.91 0.06 0.74 0.62 0.79 0.90 0.95 0.75 0.89 0.51 0.40 0.56 0.67 0.92 0.20 0.95 0.93 0.76 0.91 0.32 0.54 0.72 0.93 0.88 0.56 0.86 0.36 0.46 0.74 0.74 0.47 0.45 0.94 0.41 0.73 0.40 0.29 0.56 ]
[ 0.37 0.92 0.89 0.92 0.88 0.81 0.06 1.00 0.74 0.56 0.49 0.00 0.70 0.97 0.88 0.61 0.29 0.51 0.68 0.56 0.59 0.23 0.43 0.57 0.23 0.65 0.76 0.79 0.96 0.92 0.48 0.82 0.37 0.76 0.34 0.73 0.10 0.79 0.31 0.27 0.99 0.78 0.34 0.47 0.53 0.13 0.86 0.62 0.04 0.47 1.00 0.48 0.88 0.63 ]
[ 0.59 0.80 0.77 0.28 0.88 0.41 0.38 0.74 1.00 0.79 0.72 0.67 0.09 0.52 0.84 0.16 0.20 0.61 0.49 0.35 0.50 0.30 0.80 0.40 0.79 0.92 0.86 0.46 0.32 0.69 0.85 0.20 0.00 0.65 0.41 0.25 0.26 0.52 0.40 0.48 0.78 0.47 0.73 0.19 0.14 0.36 0.86 0.30 0.83 0.16 0.57 0.60 0.57 0.98 ]
[ 0.40 0.63 0.73 0.29 0.78 0.73 0.08 0.56 0.79 1.00 0.26 0.99 0.21 0.95 0.20 0.46 0.96 0.25 0.74 0.85 0.36 0.26 0.27 0.60 0.84 0.66 0.98 0.29 0.20 0.76 0.94 0.87 0.19 0.29 0.59 0.96 0.00 0.00 0.97 0.95 0.02 0.83 0.12 0.54 0.70 0.76 0.69 0.83 0.75 0.88 0.14 0.33 0.67 0.93 ]
[ 0.71 0.46 0.64 0.91 0.99 0.94 0.46 0.49 0.72 0.26 1.00 0.98 0.16 0.98 0.78 0.74 0.94 0.20 0.35 1.00 0.96 0.35 0.78 0.66 0.76 0.59 0.18 0.55 0.92 0.19 0.86 0.00 0.95 0.79 0.72 0.25 0.93 0.39 0.76 0.87 0.45 0.00 0.72 0.23 0.66 0.71 0.15 0.62 0.93 0.66 0.85 0.98 0.84 0.44 ]
[ 0.55 0.42 0.35 1.00 0.66 0.01 0.00 0.00 0.67 0.99 0.98 1.00 0.63 0.55 0.44 0.00 0.32 0.48 0.94 0.46 0.20 0.20 0.97 0.58 0.34 0.40 0.21 0.67 0.98 0.00 0.94 0.33 0.42 0.91 0.67 0.47 0.55 0.29 0.54 0.86 0.66 0.46 0.32 0.71 0.50 0.97 0.95 0.18 0.00 0.92 0.81 0.52 0.53 0.34 ]
[ 0.98 0.77 0.77 0.41 0.77 0.36 0.25 0.70 0.09 0.21 0.16 0.63 1.00 0.73 0.86 0.92 0.39 0.50 0.37 0.92 0.00 0.93 0.58 0.04 0.60 0.19 0.89 0.45 0.57 0.35 0.27 0.80 0.89 0.49 0.61 0.91 0.53 0.70 0.49 0.31 0.35 0.36 0.76 0.87 0.85 0.87 0.03 0.95 0.93 0.15 0.24 0.75 0.37 0.12 ]
[ 0.93 0.99 0.55 0.35 0.26 0.16 0.57 0.97 0.52 0.95 0.98 0.55 0.73 1.00 0.65 0.80 0.38 0.56 0.83 0.63 0.28 0.87 0.81 0.72 0.84 0.59 0.88 0.70 0.24 0.90 0.61 0.74 0.92 0.28 0.88 0.92 0.66 0.65 0.42 0.87 0.38 0.49 0.31 0.86 0.75 0.29 0.95 0.50 0.49 0.56 0.54 0.85 0.57 0.99 ]
