D = 12;
n = [ 0 3 2 1 2 2 1 1 3 3 1 0 ];

N = 58;
d = [ 2 2 2 3 3 4 5 5 6 6 7 8 9 9 9 10 10 10 11 6 4 10 12 8 9 12 5 8 5 2 2 8 1 6 10 3 2 7 7 9 5 12 3 3 1 5 7 8 10 3 2 2 4 5 1 1 4 9 ];
m = [
[ 1.00 0.43 0.98 0.58 0.71 0.87 0.34 0.61 0.92 0.62 0.04 0.24 0.93 0.60 0.81 0.23 0.66 0.75 0.88 0.00 0.83 0.90 0.29 0.52 0.18 0.39 0.72 0.84 0.70 0.61 0.18 0.50 0.94 0.78 0.88 0.44 0.04 0.16 0.41 0.02 0.87 0.34 0.97 0.14 0.40 0.99 0.92 0.92 0.47 0.30 0.65 0.97 0.91 0.49 0.90 0.28 0.26 0.43 ]
[ 0.43 1.00 0.65 0.48 0.99 0.48 0.98 0.44 0.04 1.00 0.89 0.84 0.55 0.46 0.87 0.43 0.21 0.88 0.87 0.76 0.21 0.44 0.33 0.89 0.07 0.00 0.67 0.51 0.55 0.76 0.86 0.79 0.56 0.54 0.98 0.00 0.98 0.56 0.32 0.25 0.42 0.97 0.41 0.45 0.39 0.61 0.51 0.68 0.67 0.07 0.37 0.41 0.82 0.51 0.97 0.66 0.04 0.02 ]
[ 0.98 0.65 1.00 0.34 0.07 0.82 0.92 0.34 0.39 0.65 0.00 0.17 0.50 0.42 0.96 0.33 0.38 0.63 0.55 0.87 0.71 0.86 0.30 0.29 0.76 0.27 0.00 0.30 0.74 0.92 0.00 0.20 0.56 0.17 0.31 0.58 0.65 0.19 0.39 0.36 0.66 0.68 0.72 0.23 0.82 0.41 0.67 0.73 0.74 0.56 0.47 0.91 0.59 0.81 0.96 0.52 0.44 0.90 ]
[ 0.58 0.48 0.34 1.00 0.42 0.87 0.86 0.57 0.14 0.21 0.36 0.75 0.98 0.80 0.95 0.93 0.24 0.74 0.05 0.69 0.63 0.17 0.06 0.49 0.19 0.26 0.89 0.23 0.33 0.95 0.79 0.05 0.03 0.55 0.43 0.28 0.32 0.71 0.75 0.17 0.77 0.33 0.30 0.35 0.43 0.43 0.23 0.90 0.80 0.71 0.34 0.43 0.30 0.88 0.93 0.83 0.44 0.52 ]
[ 0.71 0.99 0.07 0.42 1.00 0.57 0.21 0.68 0.37 0.31 0.26 0.94 0.49 0.81 0.91 0.22 0.30 0.69 0.85 0.44 0.72 0.38 0.16 0.43 0.81 0.85 0.70 0.19 0.92 0.87 0.27 0.41 0.98 0.09 0.38 0.42 0.16 0.18 0.71 0.40 0.20 0.74 0.81 0.25 0.78 0.88 0.55 0.47 0.66 0.37 0.17 0.29 0.45 0.19 0.64 0.99 0.68 0.09 ]
[ 0.87 0.48 0.82 0.87 0.57 1.00 0.64 0.20 0.20 0.62 0.75 0.22 0.26 0.61 0.23 0.30 0.23 0.68 0.62 0.55 0.51 0.23 0.84 0.97 0.48 0.96 0.58 0.80 0.03 0.81 0.47 0.76 0.44 0.91 0.90 0.08 0.26 0.86 0.72 0.29 0.42 0.95 0.64 0.69 0.26 0.89 0.76 0.27 0.96 0.41 0.49 0.83 0.50 0.12 0.82 0.94 0.77 0.40 ]
[ 0.34 0.98 0.92 0.86 0.21 0.64 1.00 0.72 0.51 0.98 0.55 0.13 1.00 0.00 0.41 0.69 0.64 0.68 0.30 0.66 0.64 0.20 0.45 0.69 0.28 0.43 0.37 0.73 0.87 0.39 0.29 0.66 0.53 0.61 0.08 0.99 0.47 0.03 0.64 0.47 0.96 0.73 0.82 0.20 0.23 0.93 0.53 0.29 0.68 0.75 0.33 0.55 0.73 0.09 0.67 0.43 0.78 0.47 ]
[ 0.61 0.44 0.34 0.57 0.68 0.20 0.72 1.00 0.76 0.81 0.82 0.34 0.70 0.57 0.39 0.98 0.33 0.36 0.29 0.56 0.83 0.42 0.88 0.00 0.20 0.95 0.37 0.38 0.83 0.44 0.25 0.41 0.23 0.18 0.16 0.97 0.80 0.90 0.83 0.54 0.08 0.22 0.91 0.61 0.31 0.78 0.80 0.87 0.20 0.31 0.87 0.18 0.97 0.76 0.53 0.71 0.62 0.79 ]
[ 0.92 0.04 0.39 0.14 0.37 0.20 0.51 0.76 1.00 0.37 0.50 0.60 0.99 0.95 0.58 0.03 0.72 0.75 0.06 0.31 0.42 0.66 0.97 0.20 0.50 0.36 0.14 0.43 0.93 0.81 0.97 0.83 0.52 0.48 0.47 0.34 0.92 0.85 0.44 0.17 0.49 0.99 0.34 0.36 0.41 0.13 0.44 0.97 0.63 0.79 0.99 0.83 0.29 0.11 0.20 0.93 0.21 0.84 ]
[ 0.62 1.00 0.65 0.21 0.31 0.62 0.98 0.81 0.37 1.00 0.96 0.25 0.52 0.35 0.99 0.98 0.38 0.66 0.84 0.65 0.95 0.70 0.28 0.37 0.96 0.59 0.94 0.58 0.71 0.20 0.83 0.35 0.96 0.55 0.96 0.80 0.65 0.26 0.17 0.02 0.70 0.35 0.53 0.93 0.72 0.17 0.53 0.86 0.38 0.18 0.99 0.92 0.62 0.52 0.20 0.49 0.48 0.89 ]
