D = 18;
n = [ 1 2 2 1 2 2 1 0 0 1 1 1 2 2 1 0 0 0 ];

N = 60;
d = [ 1 2 2 3 3 4 5 5 6 6 7 10 11 12 13 13 14 14 15 4 9 16 1 7 5 2 17 11 11 1 3 4 6 15 10 14 3 18 16 6 6 18 5 1 8 17 5 3 17 10 6 6 5 4 12 9 4 9 18 12 ];
m = [
[ 1.00 0.50 0.43 0.36 0.84 0.43 0.36 0.72 0.68 0.23 0.31 0.19 0.37 0.25 0.11 0.32 0.60 0.99 0.51 0.16 0.78 0.39 0.88 0.37 0.44 0.26 0.91 0.71 0.97 0.80 0.14 0.89 0.78 0.10 0.43 0.79 0.19 0.50 0.91 0.30 0.33 0.07 0.58 0.91 0.88 0.79 0.49 0.96 0.42 0.97 0.17 0.22 0.15 0.39 0.91 0.32 0.82 0.00 0.93 0.96 ]
[ 0.50 1.00 0.03 0.13 0.53 0.21 0.46 0.11 0.92 0.90 0.48 0.14 0.40 0.24 0.00 0.73 0.85 0.87 1.00 0.72 0.96 0.42 0.37 0.00 0.53 0.77 0.79 0.97 0.32 0.39 0.88 0.29 0.71 0.66 1.00 0.55 0.59 0.61 0.68 0.62 0.74 0.28 0.79 0.57 0.27 0.52 0.66 1.00 0.66 0.36 0.58 0.84 0.37 0.51 0.02 0.41 0.67 0.67 0.93 0.72 ]
[ 0.43 0.03 1.00 0.89 0.22 0.86 0.52 0.71 0.51 0.95 0.60 0.87 0.86 0.38 0.89 0.00 0.66 0.90 0.36 0.77 0.59 0.49 0.68 0.83 0.95 0.97 0.63 0.48 0.32 0.30 0.98 0.55 0.72 0.26 0.55 0.51 0.16 0.90 0.89 0.19 0.85 0.05 0.69 0.47 0.56 0.09 0.79 0.86 0.21 0.98 0.36 0.76 0.40 0.86 0.56 0.60 1.00 0.35 0.66 0.97 ]
[ 0.36 0.13 0.89 1.00 0.43 0.97 0.92 0.86 0.00 0.76 0.43 0.23 0.56 0.70 0.80 0.76 0.98 0.72 0.93 0.44 0.81 0.62 0.31 0.36 0.60 0.18 0.43 0.68 0.93 0.30 0.48 0.83 0.78 0.16 0.38 0.39 0.88 0.52 0.53 0.30 0.85 0.31 0.45 0.41 0.52 0.43 0.62 0.90 0.26 0.18 0.12 0.69 0.43 0.91 0.24 0.24 0.75 0.53 0.39 0.89 ]
[ 0.84 0.53 0.22 0.43 1.00 0.08 0.75 0.85 0.67 0.94 0.95 0.88 0.40 0.66 0.51 0.90 0.16 0.85 0.49 0.07 0.88 0.40 0.87 0.04 0.93 0.61 0.31 0.61 0.43 0.38 0.33 0.53 0.75 0.72 0.76 0.86 0.32 0.22 0.71 0.89 0.30 0.94 0.96 0.18 0.94 0.19 0.17 0.25 0.24 0.30 0.31 0.20 0.64 0.75 0.53 0.74 0.18 0.03 0.60 0.81 ]
[ 0.43 0.21 0.86 0.97 0.08 1.00 0.58 0.25 0.57 0.51 0.31 0.67 0.85 0.99 1.00 0.29 0.14 0.04 0.48 0.69 0.66 0.91 0.65 0.84 0.71 0.18 0.31 0.50 0.56 0.99 0.33 0.20 0.26 0.27 0.12 0.67 0.61 0.98 0.60 0.64 0.42 0.48 0.52 0.98 0.91 0.63 0.76 0.98 0.22 0.61 1.00 0.48 0.50 0.15 0.89 0.55 0.46 0.33 0.85 0.21 ]
[ 0.36 0.46 0.52 0.92 0.75 0.58 1.00 0.13 0.22 0.51 0.68 0.00 0.44 0.82 0.84 0.90 0.56 0.58 0.00 0.65 0.08 0.20 0.69 0.92 0.57 0.86 1.00 0.53 0.29 0.28 0.20 0.53 0.14 0.80 0.44 0.18 0.38 0.93 0.09 0.59 0.31 0.69 0.40 0.94 0.71 0.67 0.34 0.51 0.07 0.28 0.22 0.70 0.90 0.93 0.90 0.30 0.74 0.68 0.35 0.68 ]
[ 0.72 0.11 0.71 0.86 0.85 0.25 0.13 1.00 0.22 0.82 0.71 0.94 0.80 0.00 0.16 0.76 0.91 0.14 0.52 0.56 0.83 0.74 0.74 0.80 0.34 0.77 0.88 0.30 0.35 0.54 0.84 0.96 0.58 0.67 0.74 0.31 0.76 0.83 0.88 0.61 0.38 0.24 0.79 0.16 0.90 0.93 0.15 0.62 0.85 0.69 0.67 0.10 0.01 0.39 0.52 0.71 0.54 0.91 0.04 0.62 ]
[ 0.68 0.92 0.51 0.00 0.67 0.57 0.22 0.22 1.00 0.15 0.98 0.48 0.59 0.83 0.36 0.43 0.38 0.55 0.68 0.62 0.99 0.48 0.63 0.70 0.37 0.08 0.70 0.96 0.49 0.72 0.07 0.66 0.61 0.92 0.42 1.00 0.38 0.10 0.27 0.41 0.32 0.62 0.99 0.92 0.26 0.03 0.46 0.40 0.33 0.52 0.78 1.00 0.80 0.32 0.23 0.56 0.93 0.91 0.95 0.99 ]
[ 0.23 0.90 0.95 0.76 0.94 0.51 0.51 0.82 0.15 1.00 0.20 0.45 0.22 0.09 0.57 0.16 0.60 0.00 0.55 0.83 0.97 0.34 0.87 0.93 0.31 0.08 0.44 0.49 0.97 0.54 0.98 0.28 0.40 0.22 0.97 0.94 0.62 0.65 0.91 0.46 0.56 0.96 0.96 0.80 0.49 0.63 0.29 0.96 0.17 0.07 0.79 0.45 0.84 0.43 0.42 0.19 0.74 0.99 0.82 0.01 ]
