D = 15;
n = [ 1 2 2 2 3 3 3 1 3 3 0 1 0 3 0 ];

N = 65;
d = [ 1 2 2 3 3 4 4 5 5 5 6 6 6 7 7 7 8 9 9 9 10 10 10 12 14 14 14 8 7 9 9 7 7 8 13 3 12 4 13 14 6 13 1 3 11 12 15 13 11 9 6 6 12 13 11 3 12 1 11 4 9 4 2 7 3 ];
m = [
[ 1.00 0.86 0.23 0.88 0.77 0.94 0.08 0.57 0.32 0.42 0.71 0.05 0.74 0.87 0.44 0.74 0.95 0.65 0.65 0.31 0.52 0.59 0.30 0.54 0.88 0.41 0.61 0.25 0.93 0.24 0.98 0.74 0.75 0.35 0.49 0.87 0.40 0.21 0.85 0.18 0.56 0.88 0.24 0.96 0.56 0.58 0.74 0.80 0.85 0.33 0.11 0.50 0.29 0.62 0.31 0.46 0.25 0.86 0.15 0.80 0.95 0.17 0.84 0.30 0.87 ]
[ 0.86 1.00 0.50 0.77 0.84 0.56 0.36 0.91 0.94 0.43 0.69 0.49 0.85 0.03 0.10 0.83 0.88 0.39 0.17 0.65 0.37 0.62 0.23 0.40 0.08 0.91 0.26 0.16 0.86 0.27 0.48 0.58 0.35 0.91 0.29 0.05 0.92 0.02 0.16 0.34 0.32 0.13 0.56 0.93 0.27 0.42 0.98 0.05 0.83 0.47 0.75 0.63 0.96 0.74 0.36 0.90 0.12 0.82 0.26 0.18 0.89 0.82 0.45 0.89 0.16 ]
[ 0.23 0.50 1.00 0.94 0.93 0.27 0.20 0.00 0.91 0.91 0.14 0.98 0.70 0.41 0.94 0.20 0.88 0.16 0.40 0.30 0.32 0.91 0.54 0.52 0.51 0.74 0.52 0.12 0.02 0.44 0.80 0.49 0.73 0.71 0.32 0.44 0.92 0.84 0.30 0.00 0.66 0.73 0.82 0.99 0.61 0.63 0.16 0.13 0.85 1.00 0.60 0.57 0.49 0.00 0.52 0.95 0.39 0.05 0.16 0.48 0.93 1.00 0.55 0.74 0.87 ]
[ 0.88 0.77 0.94 1.00 0.64 0.98 0.99 0.88 0.24 0.82 0.30 0.97 0.97 0.91 0.25 0.75 0.79 0.89 0.87 0.84 0.66 0.54 0.13 1.00 0.91 0.70 0.04 0.28 0.48 0.42 0.55 0.65 0.62 0.30 0.42 0.64 0.86 0.70 0.84 1.00 0.96 0.19 0.43 0.20 0.74 0.48 0.96 0.98 0.02 0.30 0.36 0.61 0.88 0.40 0.88 0.56 0.87 0.14 0.98 0.43 0.92 0.87 0.86 0.52 0.21 ]
[ 0.77 0.84 0.93 0.64 1.00 0.66 0.61 0.70 0.72 0.85 0.49 0.83 0.31 0.25 0.98 0.97 0.91 0.93 0.80 0.60 0.00 0.91 0.46 0.28 0.56 0.89 0.97 0.56 0.20 0.94 0.42 0.84 0.51 0.33 0.74 0.94 0.21 0.33 0.96 0.97 0.68 0.80 0.80 0.84 0.15 0.27 0.61 0.25 0.21 0.24 0.63 0.70 0.64 0.36 0.48 0.67 0.28 0.71 0.28 0.23 0.38 0.94 0.47 0.27 0.23 ]
[ 0.94 0.56 0.27 0.98 0.66 1.00 0.07 0.00 0.89 0.96 0.77 0.68 0.99 0.28 0.70 0.97 0.43 0.00 0.95 0.98 0.36 0.95 0.41 0.30 0.42 0.87 0.10 0.00 0.62 0.44 0.75 0.25 0.12 0.58 0.32 0.94 0.49 0.20 0.16 0.87 0.57 0.54 0.55 0.63 0.25 0.86 0.37 0.59 0.69 0.69 0.46 0.44 0.85 0.00 0.85 0.99 0.36 0.84 0.06 0.33 0.16 0.66 0.00 0.81 0.68 ]
[ 0.08 0.36 0.20 0.99 0.61 0.07 1.00 0.98 0.96 0.77 0.89 0.94 0.77 0.17 0.58 0.89 0.04 0.45 0.03 0.58 0.07 0.97 0.35 0.68 0.19 0.27 0.52 0.43 0.87 0.66 0.35 0.99 0.29 0.44 0.87 0.55 0.56 0.70 0.23 0.77 0.28 0.92 0.74 0.25 0.37 0.63 0.98 0.24 0.79 0.92 0.54 0.56 0.45 0.15 0.80 0.96 0.00 0.28 0.69 0.84 0.42 0.43 0.67 0.86 0.78 ]
[ 0.57 0.91 0.00 0.88 0.70 0.00 0.98 1.00 0.90 0.88 0.93 0.69 0.39 0.72 0.17 0.26 0.97 0.35 0.10 0.57 0.60 0.18 0.28 0.42 0.76 0.74 0.99 0.34 0.80 0.49 0.17 0.26 0.55 0.54 0.22 0.34 0.50 0.49 0.33 0.88 0.46 0.51 0.60 0.94 0.77 0.52 0.96 0.65 0.24 0.54 0.45 0.84 0.25 0.58 0.39 0.52 0.74 0.26 0.73 0.86 0.79 0.09 0.35 0.16 0.94 ]
[ 0.32 0.94 0.91 0.24 0.72 0.89 0.96 0.90 1.00 0.61 0.42 1.00 0.87 0.14 0.43 0.34 0.49 0.66 0.31 0.16 0.42 0.73 0.85 0.22 0.44 0.61 0.91 0.90 0.30 0.16 0.96 0.74 0.96 0.93 0.90 0.86 0.27 0.45 0.68 0.12 0.36 0.84 0.19 0.34 0.94 0.77 0.55 0.49 0.37 0.31 0.50 0.45 0.88 0.13 0.06 0.27 0.18 0.45 0.49 0.42 1.00 0.40 0.16 0.74 0.97 ]
[ 0.42 0.43 0.91 0.82 0.85 0.96 0.77 0.88 0.61 1.00 0.85 0.43 0.85 0.00 0.73 0.62 0.97 0.49 0.71 0.46 1.00 0.48 0.76 0.32 0.98 0.52 0.54 0.39 0.98 0.33 0.94 0.00 0.43 0.56 0.22 0.72 0.25 0.18 0.28 0.59 0.00 0.28 0.77 0.34 0.96 0.29 0.69 0.99 0.88 0.92 0.37 0.41 0.97 0.81 0.98 0.69 0.82 0.29 0.64 0.21 0.56 0.44 0.86 0.31 0.53 ]
