D = 24;
n = [ 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 1 ];

N = 68;
d = [ 5 9 10 12 14 15 17 18 19 20 22 24 6 13 5 12 17 12 11 3 15 5 12 24 15 12 20 5 7 19 18 12 8 2 16 19 13 21 15 24 7 17 11 12 22 8 24 6 11 10 1 1 14 12 17 21 15 12 17 21 22 10 24 22 11 15 16 16 ];
m = [
[ 1.00 0.99 0.23 0.28 0.18 0.95 0.90 0.06 0.53 0.53 0.80 0.54 0.85 0.38 0.92 0.70 0.25 0.37 0.93 0.56 0.71 0.72 0.71 0.92 0.93 0.74 0.79 0.89 0.89 0.83 0.97 0.95 0.50 0.29 0.49 0.95 0.17 0.44 0.00 0.75 0.29 0.16 0.68 0.79 0.95 0.94 0.36 0.19 0.77 0.46 0.08 0.57 0.89 0.88 0.68 0.33 0.80 0.94 0.63 0.39 0.19 0.68 0.40 0.57 0.75 0.88 0.04 0.88 ]
[ 0.99 1.00 0.77 0.95 0.50 0.58 0.27 0.22 0.70 0.03 0.44 0.29 0.72 0.16 0.98 0.86 0.16 0.63 0.95 0.53 0.31 0.09 0.00 0.66 0.87 0.49 0.94 0.03 0.04 0.91 0.75 0.17 0.57 0.63 0.84 0.85 0.32 0.72 0.53 0.78 0.66 0.65 0.98 0.62 0.99 0.22 0.58 0.69 0.45 0.64 0.48 0.57 0.77 0.40 0.83 0.26 0.95 0.85 0.00 0.63 0.95 0.00 0.48 0.76 0.53 0.63 0.65 0.99 ]
[ 0.23 0.77 1.00 0.77 0.67 0.35 0.93 0.91 0.90 0.61 0.23 0.69 0.18 0.26 0.48 0.31 0.99 0.38 0.33 0.66 0.47 0.66 0.00 0.87 0.68 0.69 0.65 0.94 0.87 0.64 0.90 0.34 0.38 0.72 0.48 0.82 0.07 0.30 0.91 0.93 1.00 0.85 0.91 0.30 0.48 0.56 0.90 0.35 0.21 0.76 0.23 0.18 0.71 0.16 0.95 0.91 0.13 0.89 0.86 0.74 0.06 0.90 0.36 0.43 0.62 0.81 0.22 0.91 ]
[ 0.28 0.95 0.77 1.00 0.32 0.23 0.82 0.50 0.00 0.70 0.83 0.16 0.65 0.97 0.96 0.00 0.25 0.02 0.74 0.20 0.24 0.58 0.03 0.00 0.64 0.63 0.57 0.69 0.25 0.00 0.99 0.97 0.97 0.40 0.19 0.26 0.45 0.45 0.51 0.58 0.90 0.82 0.61 0.56 0.67 0.39 0.15 0.83 0.87 0.66 0.93 0.37 0.27 0.85 0.42 0.82 0.63 0.93 0.93 0.58 0.88 0.00 0.29 0.78 0.34 0.96 0.70 0.97 ]
[ 0.18 0.50 0.67 0.32 1.00 0.12 0.97 0.78 0.44 0.22 0.02 0.73 0.86 0.48 0.84 0.25 0.62 0.23 0.77 0.85 0.95 0.29 0.31 0.75 0.96 0.99 0.43 0.27 0.75 0.07 0.38 0.66 0.85 0.42 0.68 0.00 0.44 0.97 0.42 0.65 0.58 0.83 0.21 0.62 0.58 0.00 0.00 0.94 0.60 0.18 0.54 0.91 0.88 0.99 0.14 0.69 0.91 0.80 0.93 0.94 0.36 0.86 0.56 0.82 0.39 0.33 0.71 0.18 ]
[ 0.95 0.58 0.35 0.23 0.12 1.00 0.30 0.20 0.69 0.22 0.89 0.24 0.96 0.98 0.62 0.70 0.62 0.49 0.68 0.79 0.43 0.55 0.80 0.69 0.49 0.99 0.78 0.94 0.69 0.60 0.46 0.64 0.27 0.23 0.99 0.48 0.83 0.81 0.62 0.57 0.56 0.99 0.93 0.02 0.15 0.96 0.88 0.93 0.59 0.33 0.00 0.66 0.59 0.97 0.92 0.25 0.24 0.52 0.28 0.66 0.16 0.32 0.60 0.82 0.37 0.31 0.89 0.67 ]
[ 0.90 0.27 0.93 0.82 0.97 0.30 1.00 0.96 0.00 0.27 0.93 0.89 0.36 0.41 0.94 0.39 0.23 0.95 0.66 0.22 0.78 0.53 0.96 0.00 0.34 0.69 0.90 0.94 0.74 0.77 0.19 0.51 0.75 0.70 0.16 0.96 0.40 0.75 0.45 0.71 0.20 0.20 0.23 0.80 0.88 0.23 0.93 0.90 0.79 0.21 0.55 0.89 0.55 0.25 0.91 0.96 0.51 0.74 0.49 0.55 0.94 0.76 0.90 0.55 0.37 0.87 0.07 0.71 ]
[ 0.06 0.22 0.91 0.50 0.78 0.20 0.96 1.00 0.93 0.20 0.78 0.05 0.55 0.18 0.81 0.64 0.37 0.10 0.96 0.76 0.77 0.82 0.45 0.47 0.64 0.97 0.37 0.00 0.77 0.19 0.33 0.60 0.15 0.48 0.00 0.64 0.19 0.52 0.84 0.96 0.77 0.82 0.86 0.74 0.27 0.26 0.91 0.68 0.74 0.62 0.81 1.00 0.83 0.00 0.47 0.42 0.89 0.18 0.59 0.91 0.17 0.78 0.44 0.95 0.59 0.96 0.63 0.55 ]
[ 0.53 0.70 0.90 0.00 0.44 0.69 0.00 0.93 1.00 0.88 0.94 0.40 0.16 0.39 0.79 0.80 0.69 0.78 0.43 0.38 0.55 0.39 0.51 0.17 0.95 0.62 0.80 0.35 0.59 0.16 0.57 0.98 0.78 0.18 0.22 0.38 0.37 0.83 0.65 0.14 0.04 0.95 0.58 0.25 0.58 0.71 0.21 0.57 0.47 0.89 0.85 0.31 0.36 0.87 0.29 0.43 0.60 0.94 0.86 0.00 0.63 0.35 1.00 0.50 0.45 0.34 0.25 0.30 ]
[ 0.53 0.03 0.61 0.70 0.22 0.22 0.27 0.20 0.88 1.00 0.28 0.56 0.57 0.57 0.34 0.62 0.00 0.45 0.92 0.37 0.00 0.35 0.38 0.83 0.64 0.50 0.55 0.05 0.98 0.97 0.82 0.00 0.09 0.00 0.19 0.90 0.99 0.66 0.08 0.79 0.61 0.58 0.51 0.13 0.90 0.96 0.31 0.27 0.39 0.37 0.06 0.71 0.00 0.52 0.13 0.44 0.04 0.85 0.93 0.33 0.08 0.02 0.89 0.12 0.27 0.82 0.82 0.41 ]
[ 0.80 0.44 0.23 0.83 0.02 0.89 0.93 0.78 0.94 0.28 1.00 0.84 0.67 0.49 0.34 0.26 0.24 0.48 0.20 0.43 0.61 0.85 0.34 0.86 0.96 0.13 0.89 0.18 0.95 0.87 0.32 0.32 0.85 0.69 0.65 0.34 0.97 0.98 0.48 0.35 0.82 0.42 0.99 0.89 0.81 0.58 0.66 0.55 0.54 0.73 0.50 0.95 0.91 0.40 0.46 0.87 0.68 0.59 0.14 0.40 0.34 0.20 0.97 0.67 0.84 0.61 0.95 0.70 ]
[ 0.54 0.29 0.69 0.16 0.73 0.24 0.89 0.05 0.40 0.56 0.84 1.00 0.73 0.99 0.69 0.63 0.53 0.04 0.03 0.38 0.93 0.48 0.17 0.66 0.70 0.93 0.63 0.93 0.45 0.70 0.52 0.11 0.70 0.52 0.93 0.47 0.33 0.47 0.87 0.36 0.54 0.42 0.22 0.67 0.43 0.66 0.16 0.15 0.45 0.97 0.42 0.21 0.25 0.79 0.65 0.88 0.17 0.93 0.92 0.00 0.77 0.43 0.97 0.72 0.89 0.06 0.66 0.41 ]
[ 0.85 0.72 0.18 0.65 0.86 0.96 0.36 0.55 0.16 0.57 0.67 0.73 1.00 0.67 0.34 0.60 0.30 0.52 0.44 0.89 0.90 0.47 0.84 0.94 0.00 0.98 0.30 0.98 0.93 0.93 0.50 0.86 0.69 0.00 0.93 0.88 0.21 0.16 0.29 0.71 0.97 0.60 0.75 0.97 0.39 0.30 0.52 0.77 0.53 0.18 0.37 0.80 0.65 0.81 0.80 0.11 0.00 0.40 0.33 0.48 0.93 0.87 0.00 0.78 0.53 0.01 0.52 0.72 ]
[ 0.38 0.16 0.26 0.97 0.48 0.98 0.41 0.18 0.39 0.57 0.49 0.99 0.67 1.00 0.71 0.42 0.47 0.92 0.86 0.50 0.25 0.88 0.87 0.00 0.47 0.21 0.35 0.67 0.86 0.63 0.81 0.98 0.62 0.29 0.33 0.90 0.00 0.84 0.89 0.79 0.58 0.93 0.99 0.15 0.87 0.49 0.01 0.92 0.91 0.15 0.14 0.52 0.38 0.24 0.62 0.22 0.63 0.54 0.67 0.44 0.96 0.92 0.58 0.94 0.95 0.28 0.65 0.93 ]
