D = 15;
n = [ 1 0 0 1 0 0 3 2 1 1 3 3 0 3 1 ];

N = 70;
d = [ 1 4 7 7 7 8 8 9 10 11 11 11 12 12 12 14 14 14 15 13 10 7 11 15 6 2 3 14 11 7 9 12 8 11 6 9 4 2 2 5 3 1 6 9 14 6 2 6 8 10 10 9 8 12 1 5 14 10 3 9 1 12 5 15 14 3 15 2 4 1 ];
m = [
[ 1.00 0.57 0.27 0.84 0.89 0.84 0.00 0.94 0.75 0.37 0.22 0.32 0.87 0.67 0.83 0.94 0.90 0.07 0.40 0.44 0.75 0.58 0.64 0.27 0.88 0.00 0.04 0.27 0.16 0.23 0.89 0.32 0.45 0.55 0.69 0.33 0.85 0.16 0.88 0.19 0.46 0.62 0.44 0.22 0.24 0.86 0.35 0.93 0.66 0.54 0.32 0.79 0.90 0.25 0.88 0.89 0.66 0.05 0.71 0.54 0.95 0.90 0.99 0.62 0.98 0.00 0.02 0.01 0.91 0.93 ]
[ 0.57 1.00 0.88 0.88 0.07 0.27 0.82 0.27 0.90 0.30 0.67 0.81 0.99 0.56 0.31 0.46 0.64 0.51 0.64 0.96 0.13 0.69 0.51 0.65 0.96 0.86 0.99 0.76 0.29 0.99 0.25 0.00 0.41 0.66 0.32 0.04 0.37 0.81 0.82 0.60 0.94 0.26 0.68 0.06 0.50 0.91 0.66 0.92 0.81 0.27 0.60 0.37 0.91 0.70 0.78 0.20 0.88 1.00 0.33 0.78 0.65 0.44 0.64 0.53 0.24 0.74 0.02 0.66 0.91 0.81 ]
[ 0.27 0.88 1.00 0.82 0.70 0.32 0.01 0.26 0.89 0.89 0.90 0.57 0.58 0.55 0.50 0.58 0.32 0.96 0.39 0.29 0.74 0.78 0.81 0.98 0.99 0.78 0.87 0.21 0.30 0.03 0.39 0.99 0.73 0.69 0.43 0.36 0.06 0.26 0.89 0.93 0.29 0.91 0.81 0.18 0.23 0.76 0.17 0.00 0.76 0.72 0.98 0.39 0.27 0.89 0.68 0.86 0.93 0.04 0.47 0.76 0.75 0.49 0.87 0.90 0.70 0.19 0.99 0.71 0.79 0.95 ]
[ 0.84 0.88 0.82 1.00 0.00 0.65 0.79 0.13 0.62 0.94 0.50 0.97 0.76 0.88 0.98 0.80 0.36 0.39 0.31 0.86 0.72 0.50 0.15 0.48 0.16 0.82 0.12 0.38 0.71 0.55 0.98 0.28 0.72 0.94 0.14 0.83 0.47 0.92 0.76 0.25 0.18 0.91 0.73 0.54 0.30 0.34 0.59 0.31 0.83 0.50 0.50 0.61 0.14 0.91 0.21 0.64 0.60 1.00 0.97 0.86 0.63 0.22 0.72 0.68 0.26 0.63 0.66 0.94 0.47 0.50 ]
[ 0.89 0.07 0.70 0.00 1.00 0.55 0.95 0.04 0.63 0.32 0.24 0.87 0.30 0.54 0.68 0.31 0.40 0.96 0.60 0.84 0.97 0.39 0.97 0.24 0.66 0.32 0.35 0.86 0.41 0.92 0.39 0.54 0.95 0.62 0.52 0.07 0.88 0.67 0.44 0.46 0.33 0.15 0.22 0.86 0.66 0.57 0.03 0.70 0.47 0.88 0.24 0.35 0.43 0.38 0.79 0.00 0.27 0.82 0.56 0.96 0.97 0.61 0.49 0.94 0.34 0.54 0.29 0.93 0.55 0.98 ]
[ 0.84 0.27 0.32 0.65 0.55 1.00 0.93 0.90 0.24 0.91 0.38 0.68 0.91 0.14 0.31 0.34 0.95 0.69 0.15 0.43 0.99 0.99 0.80 0.02 0.93 0.68 0.62 1.00 0.14 1.00 0.50 0.63 0.86 0.85 0.70 0.60 0.62 0.26 0.75 0.61 0.97 0.89 0.81 0.56 0.00 0.94 0.66 0.68 0.80 0.13 0.84 0.62 0.99 0.74 0.22 0.88 0.81 0.72 0.09 0.00 0.38 0.54 0.91 0.80 0.51 0.91 0.22 0.88 0.36 0.59 ]
[ 0.00 0.82 0.01 0.79 0.95 0.93 1.00 0.25 0.79 0.93 0.51 0.74 0.57 0.23 0.31 0.92 0.78 0.83 0.48 0.37 0.25 0.62 0.16 0.59 0.78 0.61 0.32 0.99 0.62 0.00 0.09 0.18 0.47 0.96 0.86 0.56 0.95 0.85 0.19 0.60 0.97 0.90 0.71 0.98 0.40 0.40 0.39 0.45 0.44 0.00 0.93 0.37 0.99 0.66 0.59 0.05 0.87 0.99 0.43 0.16 0.94 0.31 0.31 0.83 0.18 0.69 0.92 0.35 0.10 0.20 ]
[ 0.94 0.27 0.26 0.13 0.04 0.90 0.25 1.00 0.90 0.98 0.83 0.58 0.17 0.32 0.93 0.27 0.21 0.69 0.90 0.63 0.59 0.87 1.00 0.93 0.57 0.72 0.03 0.81 0.00 0.28 0.94 0.15 0.66 0.21 0.48 0.55 0.33 0.42 0.51 0.01 0.88 0.95 0.60 0.67 0.26 0.64 0.54 0.18 0.74 0.27 0.68 0.08 0.89 0.54 0.54 0.60 0.87 0.55 0.43 0.58 0.89 0.35 0.85 0.02 0.46 0.26 0.15 0.31 0.59 0.20 ]
[ 0.75 0.90 0.89 0.62 0.63 0.24 0.79 0.90 1.00 0.44 0.82 0.16 0.89 0.75 0.99 0.28 0.79 0.08 0.18 0.89 0.30 0.79 0.93 0.00 0.59 0.60 0.63 0.39 0.46 0.22 0.96 0.93 0.22 0.52 0.67 0.06 0.96 0.98 0.31 0.44 0.24 0.28 0.31 0.01 0.35 1.00 0.90 0.82 0.30 0.55 0.16 0.80 0.10 0.99 0.29 0.96 0.44 0.87 0.46 0.37 0.41 0.66 0.73 0.27 0.88 0.16 0.96 0.82 0.66 0.31 ]
[ 0.37 0.30 0.89 0.94 0.32 0.91 0.93 0.98 0.44 1.00 0.34 0.34 0.77 0.38 0.60 0.20 0.82 0.67 0.50 0.73 0.95 0.76 0.70 0.96 0.67 0.47 0.14 0.64 0.26 0.26 0.63 0.12 0.17 0.46 0.48 0.88 0.24 0.93 0.78 0.45 0.88 0.61 0.94 0.82 0.43 0.93 0.05 0.96 0.80 0.78 0.46 0.93 0.26 0.92 0.89 0.65 0.70 0.94 0.67 0.27 0.63 0.30 0.87 0.43 0.22 0.46 0.42 0.87 0.16 0.59 ]
